episode,reward,eps
179,1297.5760000000241,0.2915
180,1087.1460000000252,0.2875
181,1536.7340000000272,0.2835
182,1508.9070000000231,0.2796
183,929.278000000019,0.2756
184,1535.3410000000245,0.2717
185,1537.9280000000274,0.2677
186,1773.7660000000276,0.2638
187,1648.432000000027,0.2598
188,1207.2380000000242,0.2558
189,1432.9240000000277,0.2519
190,1373.5500000000277,0.2479
191,1783.4850000000279,0.244
192,1352.3420000000253,0.24
193,1381.8810000000278,0.236
194,1544.6040000000276,0.2321
195,1509.5870000000289,0.2281
196,1041.1280000000302,0.2242
197,1158.2020000000298,0.2202
198,1489.960000000027,0.2163
199,1532.8750000000277,0.2123
200,1431.4390000000285,0.2083
201,1556.265000000029,0.2044
202,1462.6560000000288,0.2004
203,1521.1530000000248,0.1965
204,1584.8580000000265,0.1925
205,1375.199000000029,0.1885
206,1318.751000000027,0.1846
207,1510.988000000028,0.1806
208,1556.750000000027,0.1767
209,1867.8420000000287,0.1727
210,1453.1050000000257,0.1688
211,1586.624000000027,0.1648
212,675.5340000000175,0.1608
213,1510.364000000025,0.1569
214,1710.5650000000303,0.1529
215,973.7710000000224,0.149
216,1468.398000000024,0.145
217,1257.025000000023,0.141
218,1630.3770000000295,0.1371
219,1725.4030000000284,0.1331
220,1273.6080000000252,0.1292
221,1449.4760000000247,0.1252
222,1367.698000000024,0.1212
223,1643.187000000029,0.1173
224,1673.6680000000279,0.1133
225,1425.4390000000258,0.1094
226,1484.1220000000303,0.1054
227,1434.8730000000287,0.1015
228,1521.0210000000286,0.0975
229,1680.6780000000279,0.0935
230,1368.5720000000304,0.0896
231,1679.8960000000297,0.0856
232,1268.5930000000276,0.0817
233,1224.0610000000247,0.0777
234,1521.1370000000297,0.0738
235,215.3799999999975,0.0698
236,1078.6650000000295,0.0658
237,1007.3110000000356,0.0619
238,919.4750000000273,0.0579
239,1179.4890000000316,0.054
240,1714.5470000000291,0.05
241,1476.5170000000287,0.05
242,1508.7840000000303,0.05
243,170.44900000001385,0.05
244,1294.043000000024,0.05
245,1618.5300000000316,0.05
246,1574.1890000000274,0.05
247,1643.1590000000274,0.05
248,1932.7990000000277,0.05
249,1360.075000000024,0.05
250,1718.6340000000337,0.05
251,1879.3860000000275,0.05
252,1811.88000000003,0.05
253,1592.2950000000299,0.05
254,1723.547000000029,0.05
255,1781.1130000000264,0.05
256,1897.4300000000267,0.05
257,1562.471000000031,0.05
258,765.6510000000188,0.05
259,1496.1660000000272,0.05
260,1671.4430000000245,0.05
261,2038.0370000000278,0.05
262,1591.2590000000268,0.05
263,1726.127000000028,0.05
264,931.3110000000196,0.05
265,1662.541000000025,0.05
266,1365.1330000000232,0.05
267,1253.6960000000238,0.05
268,1538.702000000024,0.05
269,1302.407000000024,0.05
270,1852.035000000027,0.05
271,1830.257000000027,0.05
272,1344.8120000000263,0.05
273,1611.748000000026,0.05
274,1790.3220000000274,0.05
275,1449.2980000000284,0.05
276,1389.6200000000279,0.05
277,752.7880000000227,0.05
278,1647.4950000000247,0.05
279,1650.5570000000268,0.05
280,1619.8860000000236,0.05
281,642.8490000000185,0.05
282,1181.511000000021,0.05
283,1668.4130000000255,0.05
284,1679.4740000000254,0.05
285,1287.583000000024,0.05
286,1583.8370000000282,0.05
287,1159.284000000025,0.05
288,1400.6930000000268,0.05
289,1750.4950000000263,0.05
290,1819.5830000000296,0.05
291,1502.9340000000268,0.05
292,892.9880000000302,0.05
293,1490.1610000000303,0.05
294,1328.4320000000255,0.05
295,1532.5270000000235,0.05
296,1500.699000000027,0.05
297,1900.6650000000275,0.05
298,1241.778000000021,0.05
299,1592.7200000000253,0.05
