step,episode,ep_return,epsilon
81,1,-372.0990,0.9997
160,2,-378.2860,0.9995
209,3,-421.3600,0.9993
288,4,-182.4100,0.9991
371,5,11.2280,0.9988
430,6,-107.4550,0.9986
509,7,-96.6120,0.9984
584,8,-668.9930,0.9982
646,9,-91.7180,0.9980
730,10,64.4640,0.9977
779,11,-23.9960,0.9975
876,12,129.2800,0.9972
973,13,-364.8500,0.9969
1045,14,-100.3470,0.9967
1109,15,-106.9710,0.9965
1170,16,-235.2160,0.9963
1237,17,-736.5980,0.9961
1340,18,-176.0210,0.9958
1408,19,-277.5710,0.9955
1494,20,-688.9030,0.9953
1574,21,-1.8160,0.9950
1633,22,-447.2110,0.9948
1724,23,-591.1030,0.9945
1785,24,-17.3590,0.9944
1898,25,17.8540,0.9940
1967,26,-293.2980,0.9938
2024,27,-182.3350,0.9936
2104,28,-199.1310,0.9933
2179,29,-63.9400,0.9931
2277,30,-103.2970,0.9928
2351,31,-332.3830,0.9926
2440,32,-501.7200,0.9923
2525,33,72.0020,0.9920
2604,34,-492.5450,0.9918
2671,35,-461.8100,0.9915
2755,36,-398.6350,0.9913
2847,37,-529.6250,0.9910
2947,38,76.9550,0.9907
3008,39,-144.8330,0.9905
3122,40,18.6470,0.9901
3217,41,158.3870,0.9898
3309,42,-192.9100,0.9895
3442,43,59.5720,0.9891
3489,44,-169.1180,0.9890
3559,45,-132.8340,0.9887
3660,46,147.9930,0.9884
3741,47,-380.8700,0.9882
3826,48,-283.3490,0.9879
3881,49,-408.7130,0.9877
3957,50,-38.5680,0.9875
4029,51,-649.8950,0.9872
4136,52,-657.1620,0.9869
4207,53,-105.0160,0.9867
4281,54,65.9370,0.9864
4356,55,-161.6170,0.9862
4431,56,-296.9840,0.9860
4514,57,-204.3600,0.9857
4561,58,-264.9800,0.9856
4668,59,-466.1750,0.9852
4765,60,-222.1780,0.9849
4851,61,-362.8710,0.9846
4919,62,-159.2320,0.9844
4997,63,57.7330,0.9842
5073,64,-47.3570,0.9839
5135,65,-174.7110,0.9837
5233,66,-69.1770,0.9834
5300,67,-153.3280,0.9832
5414,68,-136.0480,0.9829
5490,69,-180.2120,0.9826
5547,70,-162.6440,0.9824
5628,71,-870.1040,0.9822
5693,72,-305.6810,0.9820
5782,73,3.0250,0.9817
5865,74,116.4050,0.9814
5915,75,-301.0320,0.9813
5983,76,-155.9370,0.9811
6078,77,-222.7840,0.9808
6177,78,-272.2830,0.9804
6240,79,-101.7560,0.9802
6326,80,-14.4440,0.9800
6386,81,-197.6580,0.9798
6518,82,-210.1240,0.9794
6594,83,-259.8380,0.9791
6670,84,-259.3560,0.9789
6718,85,-174.7240,0.9787
6817,86,-60.3360,0.9784
6899,87,-211.8080,0.9782
6957,88,-306.4040,0.9780
7037,89,-283.1930,0.9777
7109,90,-26.3980,0.9775
7182,91,-326.9150,0.9773
7242,92,-376.6550,0.9771
7310,93,-1.9780,0.9769
7384,94,-149.1590,0.9766
7459,95,-405.4910,0.9764
7574,96,157.4460,0.9760
7633,97,-251.4660,0.9758
7695,98,-382.4190,0.9756
7767,99,-113.1670,0.9754
7837,100,-43.1870,0.9752
7897,101,-91.6140,0.9750
7967,102,-257.7050,0.9748
8039,103,-399.5160,0.9745
8110,104,-387.7130,0.9743
8172,105,-132.0430,0.9741
8238,106,-350.8050,0.9739
8307,107,-161.9300,0.9737
8393,108,-526.7070,0.9734
8478,109,82.3230,0.9732
8546,110,-103.9570,0.9729
8627,111,-114.3760,0.9727
8715,112,-543.7800,0.9724
8793,113,-200.4950,0.9722
8882,114,-83.6000,0.9719
8980,115,-432.0430,0.9716
9052,116,-183.2910,0.9713
9122,117,-6.8430,0.9711
9186,118,-146.5140,0.9709
9280,119,-266.5160,0.9706
9350,120,-999.6730,0.9704
9467,121,21.8660,0.9700
9543,122,-410.5500,0.9698
9620,123,-673.0230,0.9695
9678,124,-566.7730,0.9694
9753,125,-345.7170,0.9691
