step,episode,ep_return,epsilon
81,1,-372.0990,0.9997
160,2,-378.2860,0.9995
209,3,-421.3600,0.9993
288,4,-182.4100,0.9991
371,5,11.2280,0.9988
439,6,-196.6760,0.9986
502,7,-346.8330,0.9984
578,8,-1381.4210,0.9982
668,9,-570.6860,0.9979
744,10,-124.7630,0.9976
823,11,-205.0680,0.9974
906,12,-616.3800,0.9971
1006,13,-325.9470,0.9968
1077,14,-516.4070,0.9966
1166,15,-24.0140,0.9963
1257,16,-912.8200,0.9960
1335,17,-167.8460,0.9958
1451,18,-395.8240,0.9954
1501,19,-235.5380,0.9952
1566,20,-263.2480,0.9950
1645,21,-99.1820,0.9948
1717,22,-154.2920,0.9946
1782,23,-111.6760,0.9944
1854,24,-260.8010,0.9941
1960,25,173.6930,0.9938
2015,26,-413.7380,0.9936
2095,27,-317.0910,0.9934
2150,28,-229.7490,0.9932
2229,29,-4.6810,0.9929
2300,30,-125.5580,0.9927
2362,31,-143.7170,0.9925
2419,32,-437.7470,0.9923
2499,33,-308.7790,0.9921
2572,34,-452.7070,0.9919
2662,35,40.0020,0.9916
2742,36,-785.1900,0.9913
2826,37,-418.3990,0.9911
2947,38,121.6000,0.9907
3031,39,-35.3020,0.9904
3088,40,-362.4800,0.9902
3162,41,32.9800,0.9900
3250,42,-260.3990,0.9897
3328,43,-330.7030,0.9895
3395,44,-291.4300,0.9893
3486,45,154.0600,0.9890
3543,46,-123.7770,0.9888
3593,47,-105.3700,0.9886
3674,48,17.3520,0.9884
3739,49,-341.1570,0.9882
3830,50,-566.6470,0.9879
3883,51,-259.7500,0.9877
3961,52,-73.0030,0.9875
4058,53,-76.3540,0.9872
4132,54,-178.3600,0.9869
4228,55,46.5440,0.9866
4283,56,-325.8330,0.9864
4376,57,14.7100,0.9861
4438,58,-415.5240,0.9859
4512,59,-107.8940,0.9857
4584,60,-97.8520,0.9855
4656,61,-632.2170,0.9853
4731,62,-177.0800,0.9850
4804,63,-482.1120,0.9848
4890,64,-195.6550,0.9845
4951,65,-196.2010,0.9843
5024,66,-203.9080,0.9841
5151,67,-184.7760,0.9837
5213,68,-0.7520,0.9835
5289,69,-26.7400,0.9833
5360,70,-291.5160,0.9830
5452,71,-8.0110,0.9827
5520,72,-430.8830,0.9825
5578,73,-130.0810,0.9823
5658,74,130.6550,0.9821
5747,75,-452.9830,0.9818
5817,76,-647.3600,0.9816
5875,77,-48.8590,0.9814
5970,78,211.6170,0.9811
6050,79,-246.8840,0.9808
6120,80,-4.1430,0.9806
6199,81,-15.0200,0.9804
6258,82,-189.9480,0.9802
6349,83,-483.9320,0.9799
6423,84,-510.0950,0.9797
6495,85,99.0070,0.9794
6577,86,-537.6600,0.9792
6651,87,-545.1970,0.9789
6733,88,-216.0670,0.9787
6799,89,-411.3110,0.9785
6878,90,-182.8060,0.9782
6945,91,-39.6220,0.9780
7013,92,-289.8480,0.9778
7080,93,-83.5720,0.9776
7147,94,-428.4610,0.9774
7197,95,-313.3340,0.9772
7285,96,-334.7880,0.9769
7346,97,-584.7970,0.9767
7422,98,-564.2880,0.9765
7489,99,-367.7310,0.9763
7565,100,-192.8320,0.9760
7647,101,-412.2830,0.9758
7711,102,-310.5470,0.9756
7779,103,-38.1500,0.9754
7842,104,-25.8670,0.9752
7903,105,-601.9060,0.9750
7994,106,-595.0810,0.9747
8117,107,70.3070,0.9743
8177,108,-101.5610,0.9741
8237,109,-1.8120,0.9739
8300,110,-429.3580,0.9737
8409,111,2.4170,0.9734
8498,112,-174.1800,0.9731
8550,113,-169.0340,0.9729
8650,114,-29.4640,0.9726
8707,115,-257.1000,0.9724
8794,116,-309.1670,0.9722
8860,117,-68.6540,0.9719
8915,118,-219.2030,0.9718
9001,119,35.4460,0.9715
9083,120,-71.0720,0.9712
9166,121,-65.4110,0.9710
9272,122,-38.7000,0.9706
9339,123,79.1410,0.9704
9411,124,-261.9860,0.9702
9490,125,-258.3940,0.9700
