step,episode,ep_return,epsilon
74,1,-332.0510,0.9998
182,2,-810.2710,0.9994
305,3,-624.5830,0.9990
357,4,-85.0490,0.9989
441,5,66.3980,0.9986
556,6,-57.2790,0.9982
605,7,-108.7180,0.9981
687,8,-346.3690,0.9978
731,9,-228.7840,0.9977
802,10,0.3370,0.9975
867,11,-121.2550,0.9973
937,12,-476.1480,0.9970
1036,13,98.9250,0.9967
1123,14,-390.1150,0.9964
1191,15,-100.6890,0.9962
1276,16,-145.3450,0.9960
1362,17,-114.0500,0.9957
1430,18,-97.5390,0.9955
1495,19,-183.7050,0.9953
1560,20,-305.4120,0.9951
1617,21,-159.8290,0.9949
1703,22,-488.9250,0.9946
1764,23,-214.8110,0.9944
1830,24,-130.7880,0.9942
1895,25,-90.0810,0.9940
1956,26,25.6800,0.9938
2029,27,-245.2240,0.9936
2104,28,-169.0520,0.9933
2170,29,-171.0110,0.9931
2247,30,-190.8230,0.9929
2312,31,-181.9170,0.9927
2381,32,-210.7470,0.9925
2475,33,-26.2510,0.9922
2600,34,-105.6970,0.9918
2732,35,103.8770,0.9914
2805,36,-507.1440,0.9911
2874,37,-233.0090,0.9909
2943,38,-241.4490,0.9907
3027,39,-125.7910,0.9904
3107,40,-308.6810,0.9902
3174,41,-277.3360,0.9900
3240,42,-91.5170,0.9897
3314,43,-166.7860,0.9895
3402,44,-221.2000,0.9892
3466,45,-215.1170,0.9890
3538,46,-580.3180,0.9888
3597,47,-214.9780,0.9886
3677,48,-28.0390,0.9884
3780,49,-104.7420,0.9880
3843,50,-498.3260,0.9878
3910,51,-150.5160,0.9876
3968,52,-244.4960,0.9874
4029,53,-238.6900,0.9872
4088,54,-415.8060,0.9871
4194,55,-462.3800,0.9867
4287,56,-194.3190,0.9864
4375,57,-453.2380,0.9861
4439,58,-399.6770,0.9859
4523,59,67.8340,0.9857
4572,60,-123.7710,0.9855
4643,61,-160.3500,0.9853
4793,62,-68.8230,0.9848
4847,63,-499.1760,0.9847
4908,64,-411.1870,0.9845
4965,65,-445.9400,0.9843
5053,66,-229.3060,0.9840
5132,67,-431.2800,0.9838
5199,68,9.5550,0.9835
5280,69,-121.1910,0.9833
5362,70,-97.6010,0.9830
5433,71,-70.7910,0.9828
5505,72,-384.1370,0.9826
5567,73,-82.2030,0.9824
5624,74,-93.7110,0.9822
5729,75,109.8010,0.9819
5797,76,-396.5200,0.9816
5860,77,-197.4110,0.9814
5926,78,-392.9410,0.9812
6002,79,-17.5120,0.9810
6058,80,-166.4570,0.9808
6110,81,-166.3420,0.9807
6192,82,-404.6860,0.9804
6267,83,3.5970,0.9802
6335,84,-48.4490,0.9799
6449,85,-28.5790,0.9796
6530,86,-109.5150,0.9793
6599,87,-143.6510,0.9791
6674,88,-242.9100,0.9789
6752,89,-304.4680,0.9786
6857,90,-290.7080,0.9783
6933,91,-96.1660,0.9780
7008,92,-312.9190,0.9778
7089,93,-28.4670,0.9776
7202,94,57.8530,0.9772
7281,95,-33.5690,0.9769
7337,96,-162.4460,0.9768
7423,97,141.7080,0.9765
7530,98,-424.1880,0.9762
7615,99,-355.5430,0.9759
7717,100,-236.3360,0.9756
7785,101,-193.2280,0.9754
7864,102,-659.1360,0.9751
7975,103,57.8080,0.9747
8052,104,-382.1770,0.9745
8141,105,-79.1360,0.9742
8237,106,-15.7740,0.9739
8311,107,-295.1030,0.9737
8405,108,-57.0350,0.9734
8479,109,-66.3800,0.9732
8566,110,-444.7680,0.9729
8628,111,-488.1510,0.9727
8694,112,-85.4420,0.9725
8756,113,-285.5040,0.9723
8814,114,-169.5620,0.9721
8888,115,-19.4370,0.9719
8991,116,37.3170,0.9715
9091,117,-676.7440,0.9712
9157,118,-157.2520,0.9710
9246,119,-445.9900,0.9707
9319,120,-67.0750,0.9705
9388,121,-292.8920,0.9703
9462,122,-200.5010,0.9700
9561,123,31.0060,0.9697
9637,124,-222.5630,0.9695
9695,125,-157.8760,0.9693
9756,126,-281.7180,0.9691
9828,127,-179.7700,0.9689
9944,128,207.2020,0.9685
10004,129,-223.2440,0.9683
10069,130,-52.2480,0.9681
10128,131,-132.9040,0.9679
10201,132,-374.5430,0.9677
10277,133,-41.4750,0.9675
10377,134,-911.5200,0.9671
10451,135,-218.8140,0.9669
10523,136,14.1610,0.9667
10607,137,-516.0200,0.9664
10675,138,-63.0850,0.9662
10732,139,-121.1470,0.9660
10832,140,-3.5990,0.9657
10927,141,-200.6970,0.9654
11012,142,-374.5910,0.9651
11085,143,-438.7250,0.9649
11161,144,-418.9750,0.9647
11255,145,48.6340,0.9644
11312,146,-451.5220,0.9642
11403,147,-282.0070,0.9639
11472,148,-101.3730,0.9637
11560,149,-130.9090,0.9634
11633,150,-116.7350,0.9632
11715,151,-710.6700,0.9629
11784,152,-408.8910,0.9627
11850,153,-86.7320,0.9625
11909,154,-450.8730,0.9623
11986,155,89.0980,0.9620
12052,156,-267.8370,0.9618
12133,157,-69.0820,0.9616
12215,158,46.8500,0.9613
12302,159,-290.0590,0.9610
12368,160,-186.5950,0.9608
12471,161,-157.7440,0.9605
12534,162,-161.1060,0.9603
12618,163,-132.1690,0.9600
12673,164,-89.5890,0.9599
12743,165,-202.9030,0.9597
12823,166,77.0980,0.9594
12898,167,-168.7000,0.9592
12984,168,-91.6210,0.9589
13039,169,-261.0040,0.9587
13120,170,-34.1930,0.9585
13199,171,-360.8640,0.9582
13263,172,-152.6690,0.9580
13328,173,-134.4760,0.9578
13394,174,-314.7420,0.9576
13457,175,-304.8770,0.9574
13540,176,-411.4950,0.9571
13602,177,-312.3940,0.9569
13667,178,-66.5500,0.9567
13747,179,-287.5200,0.9565
13851,180,-823.4740,0.9561
13908,181,-130.2560,0.9560
13965,182,-368.5840,0.9558
14076,183,229.8610,0.9554
14158,184,68.3170,0.9552
14238,185,-103.3810,0.9549
14306,186,-160.7360,0.9547
14366,187,-156.9780,0.9545
14430,188,-422.0410,0.9543
14488,189,-9.9150,0.9541
14527,190,-252.3010,0.9540
14596,191,-431.3420,0.9538
14644,192,-364.2890,0.9536
14762,193,94.5110,0.9533
14832,194,-479.4820,0.9530
14922,195,-296.6760,0.9528
14982,196,-562.4800,0.9526
15062,197,39.9040,0.9523
15152,198,64.1520,0.9520
15211,199,-299.3800,0.9518
15285,200,-299.3280,0.9516
15402,201,-21.7570,0.9512
15461,202,-171.2810,0.9510
15568,203,-96.9370,0.9507
15631,204,-146.3790,0.9505
15699,205,-25.6260,0.9503
15760,206,-140.5050,0.9501
15830,207,-453.1510,0.9499
15919,208,21.5750,0.9496
16008,209,-59.4680,0.9493
16081,210,-262.5070,0.9491
16144,211,-126.5520,0.9489
16209,212,-170.7200,0.9487
16275,213,-535.8760,0.9485
16347,214,-312.2350,0.9482
16398,215,-606.9230,0.9481
16465,216,-290.1360,0.9479
16545,217,-149.3930,0.9476
16623,218,-212.2910,0.9474
16689,219,-57.9680,0.9472
16765,220,19.5920,0.9469
16823,221,-305.8360,0.9467
16919,222,-6.9950,0.9464
16991,223,-88.7020,0.9462
17082,224,9.4400,0.9459
17158,225,-506.7570,0.9457
17234,226,-443.0430,0.9454
17312,227,-641.3200,0.9452
17398,228,-123.8660,0.9449
17483,229,-248.3570,0.9446
17578,230,-510.1080,0.9443
17679,231,-200.9750,0.9440
17737,232,-212.6240,0.9438
17818,233,-167.5380,0.9436
17870,234,-225.7300,0.9434
17979,235,-230.0610,0.9431
18057,236,-672.5420,0.9428
18114,237,-349.6930,0.9426
18166,238,-508.9720,0.9425
18224,239,-166.7130,0.9423
18296,240,-353.8930,0.9421
18358,241,51.0110,0.9419
18424,242,-27.1580,0.9417
18492,243,-780.7040,0.9414
18571,244,-416.2930,0.9412
18652,245,-168.7790,0.9409
18728,246,7.3870,0.9407
18786,247,-146.0780,0.9405
18838,248,-416.1460,0.9403
18886,249,-427.5850,0.9402
19006,250,210.6850,0.9398
19110,251,-209.0940,0.9395
19205,252,-216.1270,0.9392
19295,253,-425.5560,0.9389
19365,254,-106.8220,0.9387
19435,255,-482.6010,0.9385
19528,256,-231.1470,0.9382
19612,257,-660.9210,0.9379
19697,258,-224.6350,0.9376
19775,259,-113.6260,0.9374
19880,260,80.6300,0.9370
19934,261,-129.3670,0.9369
20001,262,-25.6000,0.9367
