episode,return,loss
0,-114.929,66707.0078
1,-240.763,71174.4375
2,-889.011,231253.1094
3,-241.963,56675.6016
4,-895.473,230971.7188
5,49.982,21327.5879
6,486.306,14985.8379
7,-471.784,120704.0234
8,-807.001,249297.4062
9,738.694,33058.7969
10,-433.219,115802.4844
11,472.203,19365.7695
12,-382.871,75506.3672
13,159.903,46604.6055
14,-55.031,33817.1875
15,-572.793,201029.8906
16,-251.346,81015.4609
17,-930.95,239679.3125
18,1066.021,72493.25
19,-81.197,41618.1836
20,-312.545,92389.2266
21,-656.076,143774.4062
22,1.534,27916.875
23,-644.347,168324.4688
24,45.548,27021.9688
25,-340.685,56061.5586
26,-1314.86,489453.25
27,622.523,35369.1875
28,-258.532,62668.1914
29,-206.003,42618.4219
30,-583.2,147417.3594
31,-220.193,49111.0391
32,-179.745,71724.1016
33,-451.362,87326.7031
34,-554.528,161831.4219
35,-320.608,81860.0703
36,-228.375,84989.5781
37,-49.842,38193.6289
38,-371.681,82692.875
39,323.242,12182.8809
40,7.42,34141.9102
41,177.03,21118.9883
42,270.033,20540.4336
43,-362.163,114906.9844
44,-210.432,45308.5898
45,-178.819,93809.2266
46,-814.434,188398.9375
47,284.029,13249.8643
48,222.042,8936.4746
49,-126.199,53296.5195
50,-434.972,119330.6328
51,546.26,22836.6641
52,-459.194,87424.2734
53,1.462,55827.0586
54,908.931,57270.9375
55,-158.395,55552.957
56,-283.387,53438.4648
57,-73.899,40147.7812
58,41.732,11743.0693
59,77.787,27857.1543
60,-569.955,120171.0938
61,-709.156,153721.2344
62,-122.852,36313.9883
63,465.27,11542.2285
64,-185.278,42013.2969
65,-264.389,56015.4609
66,377.968,7304.6479
67,-264.114,48578.1133
68,-618.88,151468.375
69,60.46,25549.6973
70,-776.329,206556.9062
71,-592.967,133783.1406
72,-108.044,51209.2109
73,-381.575,53574.9219
74,-525.422,88415.5
75,-153.578,25945.5098
76,-17.016,32906.8633
77,95.156,18409.5762
78,-750.355,236232.2812
79,200.094,7775.3535
80,-241.186,67287.4766
81,-808.885,179170.9844
82,-46.667,33781.4219
83,-635.147,159708.2969
84,-206.271,18960.7109
85,-408.151,76500.9531
86,78.805,24492.2578
87,-281.583,56684.2031
88,-682.652,134096.2031
89,-235.144,37868.5977
90,-513.433,117575.7266
91,-35.17,42362.5469
92,-667.144,102163.7578
93,-955.097,300965.1875
94,-942.205,236622.25
95,-507.162,96094.8125
96,-573.174,106462.7344
97,-513.914,104245.2031
98,-754.959,167055.6875
99,-202.498,29667.1953
100,-585.376,150126.2656
101,-248.471,31891.9492
102,-645.731,152965.1875
103,-552.783,98652.4688
104,-106.858,58699.9609
105,-797.23,109263.8125
106,67.731,13741.6416
107,75.289,21250.7363
108,-14.189,14344.3633
109,228.423,9713.2158
110,-267.166,30193.5156
111,212.759,2940.3442
112,-522.515,50304.8672
113,24.184,34520.2617
114,-37.972,32623.0215
115,-768.193,216984.8906
116,-755.774,167305.2031
117,-79.085,25822.666
118,118.536,19443.6934
119,-246.464,22857.4414
120,-82.472,16314.1465
121,-245.671,44394.9648
122,-767.723,141330.0312
123,-519.079,98115.6016
124,222.638,7959.7476
125,-139.244,26347.7734
126,150.107,47346.8086
127,-584.376,170246.8906
128,-520.556,116310.7031
129,302.135,16371.6436
130,-143.027,20681.6191
131,-552.717,119713.9766
132,-849.657,206660.7344
133,189.357,8274.8564
134,-319.049,75779.3125
135,315.405,18547.3887
136,-179.337,31889.6777
137,-124.488,15810.29
138,-692.092,138654.2188
139,37.75,33269.918
140,-368.959,65560.0938
141,-194.741,32748.0664
142,-720.394,187586.9844
143,-92.105,23832.9102
144,-440.116,59141.4922
145,-629.085,112277.8594
146,-382.909,43444.3086
147,-176.036,57882.3633
148,-567.113,120827.5156
149,-1022.001,285698.8125
150,-816.83,240572.9844
