episode,return,cost_per_order,loss
191,-270.302,270.302,12.8795
192,-42.06,42.06,-7.1702
193,135.462,-135.462,-16.1484
194,-207.225,207.225,-4.6593
195,97.565,-97.565,-15.2357
196,-263.097,263.097,17.4929
197,-126.88,126.88,-5.1998
198,-100.604,100.604,11.7399
199,-180.359,180.359,-21.8278
200,-166.263,166.263,4.2145
201,-374.078,374.078,-7.1965
202,-154.599,154.599,-1.2656
203,-769.543,769.543,5.0582
204,-622.285,622.285,-16.9993
205,111.4,-111.4,-2.0407
206,-347.952,347.952,0.787
207,-178.123,178.123,0.3153
208,-261.741,261.741,-24.3598
209,-116.427,116.427,-19.5589
210,-6.13,6.13,-5.4671
211,-85.163,85.163,-9.3239
212,-380.011,380.011,-3.9662
213,-395.763,395.763,-5.9792
214,213.925,-213.925,4.5072
215,-133.25,133.25,9.4589
216,-639.094,639.094,3.2467
217,-97.348,97.348,10.7807
218,-188.433,188.433,9.6653
219,-248.632,248.632,0.548
220,-343.784,343.784,-21.5527
221,-344.232,344.232,-21.3788
222,-227.967,227.967,0.3384
223,-10.478,10.478,-13.7783
224,70.995,-70.995,-1.0136
225,-175.972,175.972,2.3185
226,-211.433,211.433,-11.64
227,-246.758,246.758,-7.0457
228,-891.259,891.259,-12.6092
229,-5.519,5.519,2.8458
230,-201.192,201.192,-2.1298
231,-114.924,114.924,-4.6182
232,-622.77,622.77,-0.9954
233,-834.703,834.703,-3.7218
234,-502.947,502.947,-5.6933
235,-101.409,101.409,2.8339
236,-243.893,243.893,-16.289
237,-444.342,444.342,2.4526
238,-113.335,113.335,-0.2694
239,-332.347,332.347,-0.4439
240,-85.116,85.116,18.3383
241,-325.84,325.84,-12.6731
242,-264.297,264.297,5.5201
243,-300.806,300.806,-8.1217
244,75.061,-75.061,6.1769
245,-56.276,56.276,-2.6425
246,-84.878,84.878,1.6881
247,-170.216,170.216,1.6613
248,-1091.224,1091.224,-8.3513
249,-307.187,307.187,2.35
250,-664.443,664.443,-0.0609
251,-40.765,40.765,-4.1114
252,204.371,-204.371,-10.6946
253,-192.464,192.464,-17.2578
254,-526.741,526.741,0.6097
255,-461.824,461.824,-11.4419
256,259.46,-259.46,0.119
257,-292.356,292.356,-3.9418
258,-18.864,18.864,-7.4698
259,-455.128,455.128,-6.4628
260,-140.001,140.001,1.9981
261,-1045.33,1045.33,-8.5652
262,-143.156,143.156,-19.8879
263,-334.712,334.712,-4.9852
264,-396.944,396.944,-7.7965
265,-493.056,493.056,-8.8302
266,-272.029,272.029,-2.5509
267,-142.281,142.281,-5.9816
268,94.829,-94.829,5.239
269,-161.009,161.009,6.3507
270,-122.103,122.103,13.3737
271,-333.481,333.481,6.7145
272,11.121,-11.121,3.3193
273,-124.254,124.254,-9.6243
274,-93.275,93.275,-12.3824
275,-751.224,751.224,9.0251
276,-182.503,182.503,11.193
277,-378.385,378.385,-5.7623
278,-219.66,219.66,-4.0457
279,10.45,-10.45,-0.4097
280,-175.099,175.099,-3.4779
281,-325.56,325.56,-18.7065
282,-85.735,85.735,4.9689
283,-281.48,281.48,-12.0016
284,-452.956,452.956,-15.6309
285,-1008.38,1008.38,18.9528
286,-439.776,439.776,-5.6753
287,-487.168,487.168,0.9028
288,-5.365,5.365,-20.4605
289,-231.993,231.993,10.1839
290,-385.527,385.527,2.4415
291,-151.884,151.884,-13.3879
292,-28.756,28.756,7.0774
293,-120.668,120.668,-16.2199
294,101.016,-101.016,1.2285
295,135.523,-135.523,-0.3899
296,-116.466,116.466,-14.8537
297,-371.814,371.814,-7.5248
298,-402.325,402.325,-1.2812
299,-131.639,131.639,-0.9298
300,-63.901,63.901,3.2979
301,-96.611,96.611,-14.4946
302,-11.713,11.713,3.3684
303,-231.441,231.441,6.2343
304,-424.936,424.936,-9.3399
305,-216.756,216.756,6.8899
306,-882.721,882.721,2.4589
307,-350.606,350.606,0.3112
308,-36.829,36.829,4.6702
309,115.825,-115.825,-16.774
310,-173.936,173.936,-20.3994
311,118.456,-118.456,-18.5846
312,-218.111,218.111,-8.181
313,-472.191,472.191,4.4673
314,-398.1,398.1,-6.5673
315,-214.722,214.722,5.4878
316,-103.662,103.662,1.9156
317,-224.209,224.209,0.2406
318,-312.79,312.79,-14.565
319,-162.193,162.193,-8.0342
320,-415.669,415.669,-2.809
321,-314.784,314.784,-23.5018
322,-66.768,66.768,5.0935
323,-110.845,110.845,-12.7736
324,-171.165,171.165,-17.3279
325,-893.895,893.895,-5.1896
326,-225.961,225.961,7.7963
327,-87.997,87.997,-2.4043
328,-123.596,123.596,8.6826
329,65.261,-65.261,-7.9077
330,88.313,-88.313,-13.0751
331,-233.749,233.749,-19.2326
332,-566.844,566.844,9.8503
333,-7.218,7.218,12.2953
334,-22.839,22.839,-13.9084
335,-256.202,256.202,-2.1044
336,-119.617,119.617,0.2976
337,-217.407,217.407,-9.596
338,161.005,-161.005,-1.8996
339,36.213,-36.213,1.6535
340,-47.542,47.542,-8.1311
341,-218.847,218.847,-15.195
342,101.928,-101.928,4.0999
343,-272.744,272.744,5.9062
344,-69.788,69.788,-3.5466
345,-124.039,124.039,-2.3752
346,-121.753,121.753,-8.0069
347,-358.916,358.916,2.272
348,-66.24,66.24,0.1436
349,-138.958,138.958,10.3412
350,-164.347,164.347,13.6278
351,-450.871,450.871,-8.0692
352,-260.493,260.493,10.5948
353,-447.671,447.671,-0.0414
354,-47.703,47.703,7.7846
355,-130.742,130.742,11.711
356,-26.888,26.888,6.8144
357,-10.126,10.126,-12.0616
358,-267.489,267.489,-13.1633
359,-170.763,170.763,-0.1946
360,-36.363,36.363,11.1748
361,-327.699,327.699,-4.9179
362,-170.836,170.836,16.4277
363,-167.741,167.741,3.8027
364,-243.816,243.816,2.4475
365,-74.545,74.545,6.297
366,-351.729,351.729,6.152
367,-431.372,431.372,-14.5139
368,-140.748,140.748,8.5874
369,-297.101,297.101,-6.1367
370,71.524,-71.524,10.6431
371,-192.639,192.639,19.3398
372,-133.648,133.648,10.7135
373,-11.838,11.838,12.0136
374,-273.551,273.551,-6.0167
375,-136.905,136.905,5.2264
376,-127.361,127.361,6.4874
377,179.642,-179.642,-2.8767
378,-131.614,131.614,1.29
379,-129.145,129.145,14.0274
380,-197.669,197.669,-6.4116
381,-507.776,507.776,-7.3557
382,-56.006,56.006,1.6219
383,-257.332,257.332,7.85
384,-508.633,508.633,8.0653
385,-333.661,333.661,-4.9375
386,-168.952,168.952,-2.7185
387,-334.01,334.01,7.637
388,-457.621,457.621,-9.5084
389,-82.633,82.633,7.0612
390,-67.276,67.276,1.1289
391,17.558,-17.558,1.2963
392,-571.654,571.654,-1.6891
393,-177.944,177.944,-2.256
394,92.293,-92.293,5.4612
395,-279.894,279.894,7.2902
396,-274.975,274.975,-3.5473
397,-126.06,126.06,1.2345
398,-41.476,41.476,1.8313
399,27.127,-27.127,-1.3505
400,-237.907,237.907,5.6334
