episode,return,loss
0,-182.261,29640.4102
1,-272.317,44409.2812
2,-376.003,73952.9375
3,26.047,14327.4678
4,-134.099,25786.8906
5,-507.401,134063.0625
6,-310.168,61036.7695
7,-198.725,40878.6719
8,10.701,16962.6875
9,-26.292,15471.5088
10,-477.339,117499.7734
11,-182.542,36590.3125
12,-198.204,33578.3633
13,-101.92,22439.8066
14,-36.748,18908.6465
15,68.771,9652.8965
16,-127.88,28130.9102
17,-204.471,30610.9199
18,70.368,8515.5791
19,-246.821,44481.543
20,-42.313,11521.2422
21,-131.092,19395.0625
22,-80.001,16438.8047
23,-211.723,31237.7383
24,-219.433,32451.0254
25,-311.752,51101.2148
26,-117.96,23834.6172
27,-18.674,14662.8154
28,-190.275,29237.8164
29,-169.138,25757.9844
30,-160.214,25551.457
31,44.32,7766.3018
32,-199.317,25729.7188
33,-161.578,25359.4746
34,-105.609,13436.666
35,-184.109,34073.75
36,-294.295,50653.043
37,-93.751,10055.251
38,-308.693,51440.0977
39,-220.926,31624.8477
40,-176.118,18770.8027
41,-294.658,45190.582
42,-124.492,14988.2266
43,-79.07,8725.9941
44,-66.285,6887.6616
45,-20.982,8079.7817
46,-244.812,38860.3047
47,-5.325,5254.0913
48,-115.623,10146.1562
49,1.633,5048.3613
50,-205.831,20745.7129
51,-131.714,10652.9316
52,-200.341,17613.6797
53,-200.311,22072.0371
54,83.577,5401.4727
55,-257.478,22867.3438
56,-254.114,29080.0898
57,-153.839,11059.9512
58,-150.194,5320.9443
59,-179.179,11927.9512
60,-39.952,5122.312
61,-216.155,14746.5078
62,-275.0,23093.6191
63,-140.844,4982.6987
64,-128.656,8218.0645
65,-169.325,5674.6724
66,-144.714,4095.1638
67,-215.389,12162.8047
68,-360.634,24596.1719
69,-326.377,20339.5
70,18.548,8180.4219
71,-240.912,15828.6143
72,-160.13,4528.667
73,-171.044,5367.2021
74,-35.494,5656.0615
75,-123.311,4625.2505
76,-105.807,4787.0913
77,-94.314,8829.1465
78,-130.858,4849.9888
79,19.43,9392.5801
80,-184.381,10678.3701
81,-64.844,7749.4668
82,-63.028,6157.0542
83,-83.801,7589.4849
84,-279.632,14809.9072
85,-46.253,3799.6675
86,-1.743,8310.7422
87,-153.474,5528.4619
88,-332.016,18306.4688
89,-85.418,7602.2451
90,-128.581,3589.7212
91,-35.272,7511.8096
92,-309.072,12080.0586
93,-188.35,5921.3286
94,-129.001,5280.1899
95,-183.593,3795.6636
96,-150.116,6186.2983
97,-93.265,4251.5278
98,-69.001,4344.4478
99,-63.858,4507.9824
100,-145.679,5658.1895
101,-342.041,17520.2676
102,-130.33,9635.3125
103,-209.631,8624.251
104,-114.455,6454.6626
105,-76.224,2817.3867
106,-34.566,5343.189
107,54.756,10007.5371
108,-205.091,4043.1782
109,-10.454,5347.0938
110,-250.998,8616.0449
111,-63.67,3122.4529
112,-18.693,5414.1143
113,-160.558,10193.8584
114,-95.407,3560.7798
115,-169.324,6091.1294
