step,episode,ep_return,epsilon
74,1,-332.0510,0.9998
182,2,-810.2710,0.9994
305,3,-624.5830,0.9990
357,4,-85.0490,0.9989
441,5,66.3980,0.9986
556,6,-57.2790,0.9982
605,7,-108.7180,0.9981
687,8,-346.3690,0.9978
731,9,-228.7840,0.9977
802,10,0.3370,0.9975
867,11,-121.2550,0.9973
937,12,-476.1480,0.9970
1036,13,98.9250,0.9967
1123,14,-390.1150,0.9964
1191,15,-100.6890,0.9962
1276,16,-145.3450,0.9960
1362,17,-114.0500,0.9957
1430,18,-97.5390,0.9955
1495,19,-183.7050,0.9953
1560,20,-305.4120,0.9951
1617,21,-159.8290,0.9949
1703,22,-488.9250,0.9946
1764,23,-214.8110,0.9944
1830,24,-130.7880,0.9942
1895,25,-90.0810,0.9940
1956,26,25.6800,0.9938
2029,27,-245.2240,0.9936
2104,28,-169.0520,0.9933
2170,29,-171.0110,0.9931
2247,30,-190.8230,0.9929
2312,31,-181.9170,0.9927
2381,32,-210.7470,0.9925
2475,33,-26.2510,0.9922
2600,34,-105.6970,0.9918
2732,35,103.8770,0.9914
2805,36,-507.1440,0.9911
2874,37,-233.0090,0.9909
2943,38,-241.4490,0.9907
3027,39,-125.7910,0.9904
3107,40,-308.6810,0.9902
3174,41,-277.3360,0.9900
3240,42,-91.5170,0.9897
3314,43,-166.7860,0.9895
3402,44,-221.2000,0.9892
3466,45,-215.1170,0.9890
3538,46,-580.3180,0.9888
3597,47,-214.9780,0.9886
3677,48,-28.0390,0.9884
3780,49,-104.7420,0.9880
3843,50,-498.3260,0.9878
3910,51,-150.5160,0.9876
3968,52,-244.4960,0.9874
4029,53,-238.6900,0.9872
4088,54,-415.8060,0.9871
4194,55,-462.3800,0.9867
4287,56,-194.3190,0.9864
4375,57,-453.2380,0.9861
4439,58,-399.6770,0.9859
4523,59,67.8340,0.9857
4572,60,-123.7710,0.9855
4643,61,-160.3500,0.9853
4793,62,-68.8230,0.9848
4847,63,-499.1760,0.9847
4908,64,-411.1870,0.9845
4965,65,-445.9400,0.9843
5053,66,-229.3060,0.9840
5132,67,-108.3130,0.9838
5187,68,-85.1850,0.9836
5255,69,-236.1720,0.9834
5320,70,43.3690,0.9832
5389,71,38.4020,0.9829
5470,72,-298.0980,0.9827
5540,73,-572.9140,0.9825
5614,74,-182.5020,0.9822
5688,75,-182.8070,0.9820
5762,76,-295.4890,0.9818
5824,77,-673.0140,0.9816
5913,78,-450.0970,0.9813
5987,79,-1059.8980,0.9810
6066,80,-293.3380,0.9808
6148,81,-212.5770,0.9805
6232,82,86.0120,0.9803
6340,83,-106.9980,0.9799
6421,84,-200.5390,0.9797
6505,85,-388.9740,0.9794
6605,86,-268.8610,0.9791
6648,87,-183.4280,0.9790
6772,88,75.8560,0.9786
6865,89,-221.2550,0.9783
6970,90,-303.1900,0.9779
7075,91,24.7550,0.9776
7142,92,48.9180,0.9774
7204,93,-190.3810,0.9772
7281,94,-49.7790,0.9769
7377,95,-204.7530,0.9766
7438,96,-183.0660,0.9764
7554,97,257.2660,0.9761
7613,98,-227.5360,0.9759
7702,99,-67.8300,0.9756
7774,100,-236.7100,0.9754
7839,101,-182.5220,0.9752
7921,102,-240.5530,0.9749
7978,103,-268.9170,0.9747
8085,104,-696.2600,0.9744
8193,105,-371.8260,0.9741
8308,106,34.3050,0.9737
8364,107,-355.5180,0.9735
8446,108,-0.1330,0.9733
8518,109,-54.0910,0.9730
8580,110,-115.9790,0.9728
8676,111,-47.1570,0.9725
8733,112,-234.7930,0.9723
8849,113,153.0510,0.9720
8971,114,-165.1820,0.9716
9031,115,-189.7910,0.9714
9130,116,93.2430,0.9711
9209,117,-319.7030,0.9708
9285,118,-18.3120,0.9706
9381,119,-15.4720,0.9703
9455,120,-362.6430,0.9701
9552,121,-624.7470,0.9698
9622,122,-102.0690,0.9695
9697,123,-281.5120,0.9693
9755,124,-101.3960,0.9691
9833,125,-390.3750,0.9689
9953,126,219.5290,0.9685
10034,127,7.3530,0.9682
10123,128,-161.4080,0.9679
10184,129,-394.2940,0.9678
10239,130,-416.1730,0.9676
10312,131,-71.8000,0.9673
10406,132,-962.4860,0.9671
10481,133,-633.8810,0.9668
10547,134,-189.9530,0.9666
10609,135,-95.2840,0.9664
10682,136,-558.7910,0.9662
10737,137,-75.7700,0.9660
10803,138,-368.2220,0.9658
10875,139,-116.5630,0.9656
10937,140,-107.6200,0.9654
10995,141,-145.8190,0.9652
11065,142,-300.0830,0.9650
11141,143,-1002.2550,0.9647
11219,144,-53.4010,0.9645
11303,145,-342.7750,0.9642
11419,146,-58.3660,0.9638
11496,147,-181.9450,0.9636
11587,148,42.6420,0.9633
11655,149,-116.8390,0.9631
11734,150,61.3680,0.9628
11787,151,-355.3140,0.9627
11864,152,-371.4030,0.9624
11927,153,-101.6350,0.9622
12017,154,144.4480,0.9619
12104,155,127.6290,0.9617
12208,156,-251.9920,0.9613
12281,157,-57.8090,0.9611
12347,158,-101.7010,0.9609
12451,159,-70.4720,0.9606
12526,160,-49.2500,0.9603
12593,161,-277.3750,0.9601
12648,162,-641.9380,0.9600
12708,163,-276.9190,0.9598
12806,164,81.2270,0.9595
12862,165,-49.2730,0.9593
12928,166,-38.8690,0.9591
12995,167,-169.4100,0.9589
13108,168,111.9560,0.9585
13200,169,-464.7120,0.9582
13250,170,-475.8070,0.9580
13327,171,-144.7430,0.9578
13393,172,-216.9690,0.9576
13512,173,172.4100,0.9572
13570,174,-145.2730,0.9570
13649,175,-335.3050,0.9568
13728,176,-253.0630,0.9565
13801,177,34.4810,0.9563
13888,178,-506.6750,0.9560
13948,179,-277.8790,0.9558
14014,180,-317.6710,0.9556
14090,181,-648.5580,0.9554
14160,182,-640.9450,0.9552
14233,183,-371.4820,0.9549
14283,184,-312.6570,0.9548
14349,185,-471.5630,0.9546
14430,186,-423.0760,0.9543
14487,187,-340.3090,0.9541
14547,188,-69.4550,0.9539
14639,189,-666.5740,0.9536
14700,190,-191.4940,0.9535
14758,191,-167.7560,0.9533
14820,192,-302.3580,0.9531
14892,193,38.5890,0.9528
14963,194,27.3110,0.9526
15026,195,-167.2920,0.9524
15107,196,-913.5190,0.9522
15169,197,-416.7960,0.9520
15250,198,-120.9590,0.9517
15337,199,-1171.6680,0.9514
15413,200,33.5140,0.9512
15481,201,-250.9810,0.9510
15524,202,-345.5550,0.9508
15631,203,47.7960,0.9505
15708,204,40.8470,0.9503
15812,205,-512.7390,0.9499
15908,206,-1.0530,0.9496
15990,207,-460.1780,0.9494
16103,208,-215.3810,0.9490
16163,209,-556.9700,0.9488
16215,210,-79.0980,0.9487
16276,211,-565.9000,0.9485
16334,212,-358.7420,0.9483
16414,213,-147.3360,0.9480
16481,214,-118.2470,0.9478
16565,215,74.3400,0.9475
16654,216,-536.4270,0.9473
16751,217,-46.9790,0.9470
16813,218,-78.6650,0.9468
16880,219,-125.8040,0.9465
16965,220,-78.4100,0.9463
17024,221,-316.8200,0.9461
17089,222,-272.1000,0.9459
17157,223,-358.4810,0.9457
17243,224,-144.5880,0.9454
17354,225,-171.8270,0.9450
17429,226,-1164.0990,0.9448
17497,227,-183.5880,0.9446
17610,228,-37.2620,0.9442
17710,229,-68.1040,0.9439
17774,230,-152.4610,0.9437
17905,231,206.6610,0.9433
17955,232,-425.9800,0.9431
18008,233,-75.2040,0.9430
18082,234,-236.2570,0.9427
18128,235,-128.9980,0.9426
18195,236,-131.5850,0.9424
18266,237,-61.9420,0.9422
18326,238,84.8970,0.9420
18388,239,-41.7000,0.9418
18463,240,-63.1680,0.9415
18524,241,-298.7790,0.9413
18608,242,-677.5720,0.9411
18698,243,-123.8210,0.9408
18790,244,63.6130,0.9405
18846,245,-33.7720,0.9403
18913,246,-514.1060,0.9401
18979,247,-94.2670,0.9399
19058,248,66.3380,0.9397
19149,249,111.5890,0.9394
19205,250,-309.7200,0.9392
19274,251,-338.5580,0.9390
19350,252,-57.7280,0.9387
19423,253,31.2660,0.9385
19524,254,-341.5740,0.9382
19617,255,6.7910,0.9379
19682,256,-904.6670,0.9377
19767,257,-25.7910,0.9374
19858,258,-106.4800,0.9371
19965,259,21.1150,0.9368
20038,260,-264.7830,0.9365
20101,261,-225.9260,0.9364
20175,262,-23.3400,0.9361
