episode,reward,eps,n_states
0,1943.8880000000015,1.0,101
1,1657.7560000000003,0.997,125
2,1940.8640000000007,0.9941,162
3,1895.9800000000002,0.9911,190
4,1845.5790000000004,0.9881,210
5,1890.3329999999992,0.9852,228
6,1718.1260000000002,0.9822,234
7,1828.9050000000004,0.9792,247
8,2141.0180000000005,0.9762,253
9,1885.3790000000017,0.9733,265
10,1846.2630000000013,0.9703,272
11,1965.9120000000016,0.9673,283
12,1922.8290000000006,0.9644,289
13,1801.5510000000015,0.9614,293
14,1822.762000000001,0.9584,305
15,1706.150999999999,0.9555,309
16,1893.4009999999994,0.9525,317
17,1912.9340000000004,0.9495,327
18,1710.2409999999988,0.9466,335
19,1885.9560000000004,0.9436,337
20,1866.8420000000008,0.9406,341
21,1718.181,0.9377,345
22,1776.9790000000012,0.9347,347
23,1757.4920000000009,0.9317,351
24,1795.6400000000006,0.9287,357
25,1838.8639999999998,0.9258,363
26,1783.5610000000004,0.9228,366
27,1819.6140000000003,0.9198,367
28,1854.5780000000002,0.9169,376
29,1922.9140000000011,0.9139,381
30,1849.489000000001,0.9109,392
31,1787.7000000000014,0.908,397
32,2040.2590000000014,0.905,401
33,1935.4440000000004,0.902,405
34,2083.8100000000004,0.8991,407
35,2102.5650000000005,0.8961,411
36,1988.3120000000008,0.8931,414
37,2033.115,0.8902,416
38,1833.5759999999989,0.8872,417
39,1802.1509999999996,0.8842,423
40,2011.9750000000013,0.8812,425
41,1760.0250000000008,0.8783,425
42,1762.468000000001,0.8753,430
43,1944.2100000000003,0.8723,433
44,1905.1680000000003,0.8694,438
45,1866.6270000000004,0.8664,440
46,1780.1499999999996,0.8634,440
47,1888.7890000000004,0.8605,443
48,1828.6270000000004,0.8575,450
49,2018.4649999999992,0.8545,451
50,1844.2580000000005,0.8516,454
51,1898.3520000000005,0.8486,455
52,1896.678000000002,0.8456,460
53,2037.7710000000013,0.8427,460
54,1916.5519999999992,0.8397,461
55,1806.8180000000013,0.8367,461
56,1973.7380000000007,0.8337,463
57,1962.0530000000003,0.8308,463
58,1715.891000000001,0.8278,467
59,1956.772999999999,0.8248,467
60,1962.2490000000003,0.8219,469
61,1723.1380000000006,0.8189,470
62,1970.5789999999997,0.8159,471
63,1963.430000000001,0.813,473
64,1849.184000000001,0.81,474
65,1779.943000000001,0.807,478
66,1955.2620000000002,0.8041,479
67,1899.4140000000014,0.8011,482
68,1853.462000000001,0.7981,483
69,1900.8960000000004,0.7952,484
70,2058.094000000001,0.7922,485
71,1685.4049999999997,0.7892,486
72,1846.7059999999994,0.7863,488
73,1888.2050000000008,0.7833,491
74,1709.7300000000005,0.7803,492
75,1825.7760000000007,0.7773,492
76,2052.5040000000004,0.7744,492
77,1932.0630000000006,0.7714,493
78,1780.0370000000012,0.7684,497
79,2092.078000000001,0.7655,498
80,1992.662000000001,0.7625,500
81,1807.3290000000009,0.7595,502
82,1738.9780000000007,0.7566,505
83,2010.0220000000008,0.7536,506
84,1842.5990000000015,0.7506,508
85,1938.2100000000005,0.7477,508
86,1818.3470000000011,0.7447,509
87,1707.787,0.7417,512
88,1798.8070000000005,0.7388,515
89,1835.9910000000004,0.7358,517
90,1855.4690000000012,0.7328,522
91,1909.1790000000005,0.7298,524
