episode,return,loss
0,42.886,6490.1797
1,-159.355,28546.5879
2,-581.624,120955.6797
3,-360.649,75913.4531
4,-608.803,134641.4219
5,-884.56,236325.2031
6,-634.653,147689.9688
7,-76.46,14192.542
8,-163.433,52805.4844
9,-477.787,94730.4453
10,-295.749,60998.4375
11,-300.765,74389.9688
12,-654.307,148028.1094
13,-437.033,99443.4453
14,-321.606,70131.5391
15,361.664,23882.7949
16,-520.722,102770.8438
17,-178.533,41790.168
18,-83.123,19258.4219
19,-326.259,55693.5586
20,-287.707,52863.2539
21,-226.802,35163.0039
22,-99.93,23042.9492
23,-169.714,28269.6094
24,-463.73,85718.7266
25,-148.0,27433.7715
26,-121.654,26602.043
27,-12.431,26635.5645
28,-470.401,106523.7734
29,-464.149,74584.4531
30,-304.087,67590.6172
31,278.534,17729.3574
32,-312.828,52521.0781
33,-476.765,98663.0391
34,-95.439,24994.7617
35,-330.602,79274.7109
36,-147.309,28866.0
37,-294.281,67705.2734
38,-405.429,89179.4688
39,102.192,17184.2695
40,-332.091,67951.1094
41,-134.778,28139.457
42,-246.38,36661.2266
43,-645.945,143649.7031
44,18.486,21866.0254
45,-89.271,29611.623
46,-64.905,28772.6406
47,-666.433,144939.8594
48,-485.521,99218.3125
49,-425.846,92574.25
50,-386.038,81426.2422
51,-180.934,27812.5117
52,-741.246,186361.6094
53,-741.992,196757.4688
54,-141.405,25877.9727
55,-206.965,43618.2539
56,-188.434,34273.5898
57,-217.35,39457.8984
58,-330.022,61047.8359
59,-332.9,62432.0352
60,-301.088,47399.5898
61,-241.667,43100.5898
62,-214.939,34699.4141
63,-371.767,60823.5625
64,-804.264,211937.1719
65,-340.208,64450.1953
66,-459.903,72774.2578
67,-433.567,75950.4844
68,-623.123,153154.2344
69,70.674,11091.2061
70,-431.443,82770.3984
71,-106.986,24178.2559
72,-23.684,18260.5859
73,-393.704,76529.875
74,-37.71,14584.5527
75,-655.968,156477.5781
76,-334.906,65645.625
77,-414.275,90597.1016
78,-628.44,139343.8438
79,-303.399,62313.1992
80,-796.364,191296.0469
81,-94.153,19417.2539
82,-358.865,65938.0938
83,-389.695,63329.3359
84,-226.432,36556.1055
85,-148.924,26081.0781
86,-639.927,142438.5469
87,-276.253,40034.9453
88,-572.826,113230.8359
89,-204.388,33195.043
90,-405.01,72579.5156
91,-123.169,19543.3457
92,-623.587,137756.7969
93,-753.205,179559.1406
94,-206.661,39177.5
95,-410.033,75857.0781
96,-801.435,190730.2969
97,-914.352,234969.75
98,-727.027,194932.4062
99,-91.104,21783.1953
100,-426.454,91892.7734
101,-302.295,44980.9375
102,-296.084,47633.793
103,-291.624,53993.8789
104,-256.373,41534.1406
105,-453.344,87620.5469
106,-994.913,268443.2188
107,85.025,16374.5303
108,-558.351,123504.0703
109,-427.362,92181.5234
110,-746.84,164936.9688
111,146.092,11379.708
112,-317.39,41517.1797
113,-468.365,88732.0156
114,-639.843,129895.2031
115,-197.817,30295.2012
116,-125.619,25129.1289
117,-358.003,83287.7734
118,-100.835,38556.6797
119,-183.561,25893.1973
120,-146.108,23881.9941
121,-287.171,58309.25
122,-638.892,144973.75
123,-640.739,148196.8281
124,-500.853,112090.9297
125,-582.913,124420.4141
126,-797.502,184927.1406
127,-621.468,132975.3594
128,-239.062,41208.3438
129,-353.022,56658.8086
130,-587.988,139835.7031
131,-102.032,23035.0215
132,-306.294,48572.3477
133,-164.065,28455.2051
134,-108.818,31085.4707
135,-691.898,172953.9375
136,-426.95,84783.5547
137,-123.158,18433.3047
138,-419.853,87595.8516
139,-263.855,72982.8359
140,-964.86,269982.5
141,-37.029,35967.4258
142,-379.22,83861.1641
143,-112.19,26734.2793
144,-399.916,83080.3047
145,23.081,11575.9668
146,-160.982,32295.7754
147,-123.274,26118.5977
148,-192.497,56667.9453
149,-327.737,53647.3516
150,-291.972,63881.3164
151,-119.572,29676.8262
152,-226.485,35054.1797
153,-169.519,40130.1211
154,-108.815,17668.9102
155,-382.367,60476.5352
156,-102.168,31819.3574
157,-164.674,40988.7227
158,-77.144,15601.0928
159,-512.156,93663.8516
160,-395.076,73521.9844
161,-633.496,145875.5
162,-301.794,56935.6641
163,-332.338,55901.2773
164,-567.445,111705.5078
165,-38.734,25104.0566
166,-38.102,25912.8672
167,-57.39,15502.9668
168,-37.484,28743.5293
169,-188.844,38347.0234
170,-529.132,100424.125
171,-334.079,55378.7031
172,-20.742,10714.2168
173,-68.567,18271.9727
174,-399.285,81116.4219
175,-287.111,51372.5742
176,-636.129,121358.6562
177,-414.399,91827.3203
178,-697.314,165829.0938
179,-619.838,152984.5312
180,-19.415,18918.6484
181,-327.481,49116.5273
182,-53.446,34987.0195
183,-468.686,82276.3516
184,44.753,10075.1846
185,-492.971,107986.2734
186,-884.783,233931.0156
187,-340.174,69667.2422
188,-499.176,102487.75
189,-900.97,221126.0469
190,-167.593,27517.9668
191,-333.131,62950.9844
192,-435.833,87909.0469
193,-136.779,20218.1641
194,-430.316,85550.1562
195,-405.455,69511.2422
196,-180.074,34305.6914
197,-385.998,81801.8438
198,-708.843,160843.9531
199,-162.195,31262.4395
200,9.819,7524.1323
201,-31.798,18685.7246
202,-226.595,46602.2227
203,-701.268,155676.9531
204,96.663,11700.9248
205,-410.065,81823.9609
206,-437.396,89219.3438
207,-709.364,135191.5938
208,-99.186,18635.6836
209,-555.541,110735.0859
210,-436.922,77657.4297
211,-196.529,50424.3633
212,-56.833,17400.8477
213,-137.249,24331.7949
214,-286.048,50183.875
215,-168.408,23466.9766
216,171.522,17389.5625
217,-200.845,36763.1484
218,-628.393,142310.9219
219,-19.578,10059.9541
220,-360.242,69422.8672
221,-400.647,79120.6562
222,-132.185,30536.7559
223,-376.211,79112.3906
224,-214.16,35330.1484
225,-306.293,41055.0977
226,-311.147,49148.1953
227,-958.696,298566.9062
228,-43.985,22735.0176
229,-228.278,47032.8945
230,-254.339,46451.5586
231,-423.465,75235.7969
232,-348.454,62926.1016
233,-638.302,125624.9844
234,-137.675,28810.5625
235,-300.079,45389.875
236,-416.548,83827.3672
237,-388.236,72093.8438
238,-351.199,59665.7852
239,-82.782,28028.1484
240,-566.438,112828.4531
241,-86.673,21967.6836
242,-397.947,74912.9062
243,-189.835,32422.3594
244,-142.887,19623.6699
245,-198.217,33241.707
246,-93.701,16739.7754
247,-475.669,81225.7891
248,-98.974,20065.6895
249,-212.166,37422.4453
250,-460.125,100128.2266
251,-315.742,62549.2188
252,-143.21,21621.8535
253,-243.023,38937.2383
254,-326.273,60613.3633
255,-100.861,22753.6387
256,-345.433,52457.3594
257,-263.532,50511.5586
258,-487.179,80969.0938
259,-355.513,61095.3281
260,-173.753,27921.123
261,-350.38,61167.0742
262,-339.774,59935.3672
263,-662.798,152178.2031
264,-259.878,53543.7266
265,-26.302,26616.7363
266,-211.611,41530.9648
267,-161.365,31266.9277
268,-145.92,29124.0762
269,-389.544,59246.9062
270,-246.527,44375.293
271,-257.147,52106.2773
272,-308.814,52960.3594
273,18.217,24206.0312
274,-320.319,51868.1484
275,-572.207,133520.1562
276,-788.885,186849.2656
277,-53.568,13655.1201
278,-511.772,98813.2422
279,-328.144,54256.9258
280,-280.312,51793.6797
281,-306.271,43653.3984
282,-350.262,56592.8516
283,-242.835,34892.582
284,-523.841,110777.6172
285,-67.551,25716.5938
286,-603.712,133567.125
287,-217.804,49737.332
288,-59.752,19569.8926
289,-145.997,35451.9336
290,-112.516,25067.75
291,-526.74,100054.5078
292,-26.886,12363.6543
293,-138.512,25145.0781
294,154.526,10336.7246
295,-48.709,20331.9785
296,-445.525,85150.1719
297,-250.47,33551.668
298,-281.527,41816.7812
299,-180.648,47266.457
300,-264.457,39660.4453
301,-16.746,13769.1611
302,-84.957,14916.6904
303,-81.991,13775.2129
304,-340.126,62465.7383
305,-702.265,159399.7656
306,-148.168,23944.5293
307,-292.363,67888.9688
308,-326.403,55127.1445
309,-431.693,78181.1016
310,-85.228,27749.0742
311,-395.409,66788.7891
312,-286.81,42609.5703
313,-110.991,31158.541
314,-124.667,21596.2188
315,-487.731,90585.8438
316,-441.706,69358.9375
317,-27.276,12382.5752
318,-472.755,85829.875
319,-177.735,31149.3105
320,-257.094,49454.3047
321,-293.029,48571.7578
322,-817.547,186386.3438
323,-98.749,18688.4062
324,-1088.748,309263.0312
325,-364.166,60081.418
326,-17.478,30203.6309
327,41.835,23568.6152
328,-135.561,28444.1289
329,-19.426,15194.7861
330,-637.849,138545.9219
331,-389.888,64099.0273
332,-361.841,64645.9102
333,-351.886,70033.4922
334,-343.505,49731.2617
335,-679.649,173533.1094
336,-674.206,161162.9844
337,63.861,31600.0508
338,-91.029,13227.1973
339,-56.407,13112.251
340,-228.24,34141.6094
341,325.083,15841.0059
342,-524.132,87313.0312
343,-362.816,60061.125
344,14.543,18771.625
345,-173.108,33942.5195
346,-184.228,40600.8672
347,-372.453,66219.2422
348,-81.266,29805.5156
349,-372.48,77813.3438
350,-201.621,40455.2773
351,-575.946,101693.3906
352,-290.377,57029.5352
353,39.767,17925.9316
354,-155.761,27993.6914
355,-263.476,45892.2852
356,-287.264,52070.2773
357,-173.69,35865.9844
358,-287.473,33413.3789
359,-470.739,98331.0703
360,-873.025,239271.7188
361,-350.401,79371.0
362,-552.314,110251.0312
363,-1124.979,323003.5625
364,-315.974,62029.9727
365,-137.304,26275.1016
366,-254.419,37078.1562
367,-595.293,146690.4219
368,-357.918,55739.8008
369,-225.148,44380.832
370,-574.175,129190.2344
371,-318.748,54113.8828
372,-330.96,57077.1406
373,49.792,16046.8223
374,-84.889,18204.1602
375,-814.05,179301.3438
376,329.922,24262.8652
377,-536.497,92612.9688
378,-287.763,57576.3477
379,-361.031,59125.9375
380,-484.083,99081.0781
381,-804.048,186447.7969
382,-188.814,28900.6719
383,-868.708,184417.8594
384,-17.601,7924.2915
385,-421.939,71448.25
386,-118.294,15696.2188
387,-370.047,73267.8828
388,225.811,10845.2598
389,-928.303,190394.4375
390,-188.604,47278.7617
391,-439.597,88466.7734
392,-30.241,16610.7441
393,-684.015,163120.6719
394,-125.821,41280.2188
395,-153.663,21337.3105
396,-509.038,102055.0391
397,-578.693,100484.9062
398,-620.336,130320.7031
399,-319.506,59459.5938
400,-145.766,23861.6914
401,-793.647,177518.9062
402,-325.674,59264.4805
403,-246.046,40860.0508
404,-609.889,105464.7422
405,-169.807,41180.7773
406,-352.672,46375.7852
407,-99.069,12891.3789
408,-455.774,74828.1719
409,-30.441,19857.8281
410,-117.61,18809.0879
411,-103.233,18389.9961
412,-129.248,15557.9805
413,-313.741,42987.3945
414,-106.338,24807.3125
415,-547.032,102124.4844
416,128.555,11245.8398
417,-1043.189,266514.8125
418,-951.82,251553.9531
419,-285.939,48153.8047
420,-716.722,173496.0
421,-39.587,10094.0947
422,-1021.447,238783.2969
423,-422.55,76114.7734
424,-32.733,22179.2832
425,-206.66,32729.1953
426,-907.953,229872.6875
427,-249.311,40585.9961
428,-239.861,41177.4883
429,-312.64,50132.2969
430,1.075,9332.8291
431,-304.673,48765.957
432,-555.968,107644.6094
433,-266.313,41428.0508
434,-290.828,40508.9922
435,-535.464,92075.2891
436,-896.393,194023.0781
437,-204.972,44774.0938
438,-374.756,57495.2148
439,-494.883,94351.5781
440,-111.814,26111.7773
441,-233.077,28085.2305
442,-259.794,45689.6562
443,-352.501,45802.9883
444,-332.552,65253.918
445,-601.293,118890.0
446,100.793,11411.9248
447,-244.039,43345.8125
448,-107.652,28290.459
449,-346.826,64535.6523
450,-365.209,57640.3398
451,-136.405,41638.7852
452,-690.983,138286.5781
453,-172.381,25607.9883
454,-305.521,46780.0117
455,-147.772,33823.5781
456,-284.259,53701.5312
457,-570.688,96943.0078
458,-387.363,63446.7695
459,-234.451,41595.7617
460,-235.985,35990.6914
461,-561.279,97211.6562
462,-506.191,96761.2969
463,-212.153,24789.4238
464,-199.922,37374.1328
465,-423.741,66246.1562
466,-313.669,47121.2227
467,-89.564,15314.6006
468,-291.436,60149.2891
469,-481.035,100648.7422
470,-158.992,33212.9727
471,-225.261,29258.4082
472,-548.672,118564.6094
473,-557.859,130886.5078
474,-252.044,39990.8555
475,-562.833,102603.25
476,-875.656,206679.9688
477,-733.497,180410.7188
478,-325.911,54139.8398
479,-283.516,50001.4414
480,-113.775,25304.3438
481,23.439,13865.1846
482,-496.073,78925.375
483,-172.307,24537.6719
484,-181.62,25698.9023
485,-178.0,34314.1758
486,47.41,11397.5996
487,-75.188,18612.0645
488,-80.758,15184.2178
489,-259.929,33899.0938
490,-542.621,119708.3047
491,-526.845,101055.2656
492,3.154,12575.1143
493,-191.62,22779.6543
494,-115.498,32708.8633
495,-745.475,162230.8125
496,-484.492,91656.6016
497,-382.171,68180.9922
498,-382.311,68358.9297
499,-338.622,49791.0234
500,-348.215,60761.1953
501,-260.66,49470.4453
502,-715.872,157875.1406
503,-274.968,49699.0039
504,-88.151,45603.8242
505,-1037.573,244638.1562
506,84.859,15115.0918
507,-654.365,147776.1875
508,-572.574,107669.4062
509,-1025.315,304722.6875
510,-203.31,29427.5508
511,-270.915,41211.2656
512,-228.156,37382.0859
513,-209.108,50767.2969
514,141.44,15516.2578
515,-416.879,73487.2812
516,-156.914,25129.8281
517,31.74,12047.7842
518,-538.903,90677.3828
519,-388.626,59716.5195
520,-832.465,221620.5469
521,-70.166,24060.0918
522,-87.796,19087.1914
523,-784.779,183056.2188
524,37.625,19351.2363
525,-249.591,65991.7734
526,-377.995,74653.5078
527,-453.915,86295.1641
528,-195.206,23732.5645
529,-153.858,29230.0605
530,21.676,11784.1855
531,-294.699,51366.3945
532,-314.816,55525.2969
533,-328.71,50769.8203
534,-422.201,67313.2578
535,-99.855,23453.207
536,-87.939,16948.3477
537,-363.748,61402.5078
538,-402.12,64081.6758
539,-389.279,60373.5859
540,-239.392,36107.6445
541,-898.712,240774.0312
542,-50.627,32190.0117
543,-631.086,141595.0312
544,-372.015,67221.3438
545,-272.642,69343.625
546,-126.607,29515.1719
547,-620.709,138527.8594
548,-199.251,23528.7305
549,-105.894,21747.0195
550,-78.089,22439.9766
551,-285.005,45388.5977
552,-173.125,29403.5371
553,-173.993,22137.0352
554,-670.798,125955.3438
