episode,reward,eps,n_states
0,1874.494000000001,1.0,77
1,1899.5360000000014,0.997,102
2,2040.0610000000004,0.9941,127
3,1936.241000000001,0.9911,140
4,1884.2739999999997,0.9881,159
5,1800.7369999999996,0.9852,178
6,1765.2510000000016,0.9822,199
7,1756.0220000000004,0.9792,217
8,1657.0380000000005,0.9762,226
9,1711.5160000000005,0.9733,230
10,1797.146000000001,0.9703,233
11,2020.0119999999997,0.9673,240
12,1803.765,0.9644,242
13,1779.1630000000005,0.9614,254
14,1834.7810000000004,0.9584,266
15,1855.9570000000003,0.9555,273
16,1890.1420000000007,0.9525,276
17,1947.652000000002,0.9495,299
18,1936.8870000000004,0.9466,302
19,2083.18,0.9436,306
20,1902.8890000000008,0.9406,314
21,1845.5180000000003,0.9377,321
22,1867.886000000001,0.9347,324
23,1904.750000000001,0.9317,332
24,1826.8570000000004,0.9287,333
25,1796.3900000000015,0.9258,335
26,1914.9560000000008,0.9228,335
27,1825.9020000000012,0.9198,337
28,2112.9880000000007,0.9169,343
29,1932.2780000000007,0.9139,347
30,1901.6700000000003,0.9109,353
31,1966.9110000000012,0.908,357
32,1775.4900000000005,0.905,361
33,1876.5600000000009,0.902,363
34,1891.9140000000007,0.8991,372
35,1889.0060000000008,0.8961,383
36,1820.708000000001,0.8931,384
37,1884.4650000000013,0.8902,385
38,1811.5640000000008,0.8872,391
39,1884.4660000000006,0.8842,395
40,1837.725000000001,0.8812,401
41,1857.1740000000002,0.8783,404
42,1791.1350000000002,0.8753,408
43,1944.1179999999993,0.8723,411
44,1961.0400000000006,0.8694,413
45,1934.0310000000009,0.8664,417
46,1768.3830000000019,0.8634,423
47,1975.4380000000015,0.8605,427
48,1923.4400000000003,0.8575,428
49,1931.2300000000005,0.8545,429
50,1885.0930000000008,0.8516,433
51,1787.007,0.8486,442
52,2026.3660000000013,0.8456,444
53,1890.1810000000007,0.8427,447
54,1812.345,0.8397,451
55,1890.8550000000002,0.8367,452
56,1818.5500000000015,0.8337,452
57,1878.9270000000004,0.8308,455
58,1806.9880000000005,0.8278,456
