step,episode,ep_return,epsilon
74,1,-332.0510,0.9998
182,2,-810.2710,0.9994
305,3,-624.5830,0.9990
357,4,-85.0490,0.9989
441,5,66.3980,0.9986
556,6,-57.2790,0.9982
605,7,-108.7180,0.9981
687,8,-346.3690,0.9978
738,9,-174.0200,0.9977
791,10,-165.9570,0.9975
851,11,-257.4370,0.9973
931,12,-558.3840,0.9971
1016,13,-129.4750,0.9968
1145,14,-750.4400,0.9964
1215,15,-426.4580,0.9962
1273,16,-113.5740,0.9960
1344,17,-343.5630,0.9957
1425,18,-22.2730,0.9955
1522,19,9.1450,0.9952
1611,20,-221.1070,0.9949
1682,21,-484.2940,0.9947
1753,22,-398.6340,0.9945
1862,23,-207.9760,0.9941
1940,24,-506.5010,0.9939
2004,25,-518.4900,0.9937
2066,26,-162.4580,0.9935
2138,27,-222.1880,0.9932
2209,28,-193.8830,0.9930
2282,29,-161.5740,0.9928
2351,30,-19.7920,0.9926
2479,31,-87.5860,0.9922
2563,32,-249.7290,0.9919
2627,33,-437.6020,0.9917
2702,34,-309.8750,0.9914
2768,35,-204.7090,0.9912
2863,36,-168.3540,0.9909
2943,37,-308.8680,0.9907
2998,38,-509.4900,0.9905
3108,39,201.7290,0.9902
3168,40,-310.3900,0.9900
3228,41,-70.9180,0.9898
3325,42,31.5480,0.9895
3449,43,65.4320,0.9891
3536,44,-297.2080,0.9888
3635,45,-57.7300,0.9885
3702,46,-304.5210,0.9883
3762,47,-129.9920,0.9881
3847,48,-246.7240,0.9878
3916,49,-221.9820,0.9876
3972,50,-115.4280,0.9874
4036,51,-142.3980,0.9872
4109,52,32.3220,0.9870
4198,53,205.5860,0.9867
4294,54,-564.8130,0.9864
4361,55,-449.2250,0.9862
4418,56,-70.4440,0.9860
4485,57,-98.9210,0.9858
4585,58,86.6050,0.9855
4635,59,-274.3060,0.9853
4743,60,-509.7020,0.9850
4804,61,-406.0580,0.9848
4852,62,-393.7500,0.9846
4912,63,-338.6080,0.9844
4976,64,-157.6940,0.9842
5057,65,-311.7110,0.9840
5106,66,-295.1650,0.9838
5171,67,-4.4320,0.9836
5219,68,-120.6340,0.9835
5298,69,-544.7440,0.9832
5378,70,-19.8040,0.9830
5440,71,-293.8610,0.9828
5523,72,-191.1100,0.9825
5614,73,-292.5730,0.9822
5683,74,-175.5970,0.9820
5757,75,-80.8500,0.9818
5823,76,-611.1560,0.9816
5900,77,-458.1100,0.9813
5943,78,-233.5150,0.9812
6023,79,-200.4610,0.9809
6104,80,-168.7900,0.9807
6161,81,-200.8630,0.9805
6269,82,-360.4070,0.9802
6332,83,-308.4950,0.9800
6419,84,-128.4420,0.9797
6526,85,208.4690,0.9793
6614,86,-184.6450,0.9791
6692,87,-151.6550,0.9788
6800,88,-19.0300,0.9785
6899,89,-97.8620,0.9782
6987,90,-280.7590,0.9779
7111,91,-111.9210,0.9775
7189,92,-7.0310,0.9772
7264,93,-492.1440,0.9770
7347,94,-114.6630,0.9767
7447,95,-9.9330,0.9764
7500,96,-263.1400,0.9763
7582,97,-327.1060,0.9760
7668,98,9.8170,0.9757
7723,99,-424.0940,0.9755
7796,100,-335.7940,0.9753
7885,101,-70.9540,0.9750
7947,102,-625.3350,0.9748
8047,103,-357.8420,0.9745
8113,104,-197.2700,0.9743
8186,105,-88.5200,0.9741
8251,106,-151.7770,0.9739
8330,107,-245.8700,0.9736
8411,108,63.5980,0.9734
8482,109,-208.1980,0.9731
8558,110,-26.7620,0.9729
8638,111,-87.7750,0.9726
8686,112,-346.1790,0.9725
8821,113,81.1750,0.9721
8913,114,173.2520,0.9718
9023,115,93.7070,0.9714
9103,116,-188.8650,0.9712
9171,117,-217.9010,0.9710
9246,118,-32.6510,0.9707
9332,119,-125.1000,0.9705
9386,120,-217.8030,0.9703
9438,121,-242.0330,0.9701
9493,122,-222.6570,0.9699
9571,123,-289.7950,0.9697
9637,124,-111.2180,0.9695
9715,125,-421.0950,0.9692
9791,126,-89.4470,0.9690
9892,127,-127.2930,0.9687
9970,128,43.5570,0.9684
10034,129,-292.3780,0.9682
10111,130,-204.2830,0.9680
10190,131,-160.7200,0.9677
10237,132,-186.1480,0.9676
10340,133,-31.6760,0.9673
10389,134,-244.1920,0.9671
10466,135,-435.3340,0.9669
10538,136,-456.8400,0.9666
10618,137,-175.3300,0.9664
10682,138,-202.6420,0.9662
10770,139,-681.7840,0.9659
10836,140,-395.2300,0.9657
10914,141,-349.2830,0.9654
11004,142,147.5800,0.9652
11057,143,-210.7590,0.9650
11134,144,-410.4600,0.9647
11196,145,-86.4870,0.9645
11260,146,-78.0490,0.9643
11361,147,-68.9990,0.9640
11443,148,-216.0190,0.9638
11518,149,-45.0490,0.9635
11610,150,-13.5780,0.9632
11689,151,-69.8630,0.9630
11741,152,-274.1610,0.9628
11821,153,-701.4140,0.9626
11896,154,-302.7320,0.9623
11980,155,-91.8970,0.9621
12058,156,-74.6510,0.9618
12119,157,-261.0650,0.9616
12204,158,-230.6090,0.9614
12305,159,105.5830,0.9610
12372,160,-91.2910,0.9608
12441,161,-69.4490,0.9606
12505,162,-248.1960,0.9604
12609,163,-126.7020,0.9601
12664,164,-316.1180,0.9599
12726,165,-3.3600,0.9597
12823,166,-145.6610,0.9594
12899,167,-669.9320,0.9592
12960,168,-420.2970,0.9590
13037,169,-317.4820,0.9587
13094,170,-341.9670,0.9585
13160,171,-265.6600,0.9583
13260,172,60.2930,0.9580
13332,173,-52.6730,0.9578
13432,174,-114.8640,0.9575
13529,175,25.6930,0.9572
13624,176,-886.0320,0.9569
13714,177,-251.3280,0.9566
13802,178,-721.2750,0.9563
13899,179,-275.5730,0.9560
13975,180,-201.2980,0.9557
14050,181,-265.0020,0.9555
14116,182,-264.7610,0.9553
14184,183,-644.4390,0.9551
14258,184,-276.7240,0.9549
14341,185,-43.5030,0.9546
14397,186,-391.9050,0.9544
14464,187,-10.1530,0.9542
14543,188,-344.8410,0.9540
14618,189,-504.5570,0.9537
14677,190,-225.8850,0.9535
14740,191,34.1470,0.9533
14823,192,-144.1180,0.9531
14903,193,-467.8570,0.9528
14962,194,-190.7050,0.9526
15021,195,-191.5290,0.9524
15112,196,11.8020,0.9521
15185,197,25.8820,0.9519
15255,198,-311.1150,0.9517
15332,199,-98.8830,0.9515
15400,200,-403.6620,0.9512
15480,201,1.8650,0.9510
15572,202,0.9370,0.9507
15656,203,126.8150,0.9504
15749,204,-19.9390,0.9501
15827,205,-173.5690,0.9499
15919,206,-512.2980,0.9496
16004,207,-92.1660,0.9493
16057,208,-198.3610,0.9492
16166,209,-45.1650,0.9488
16242,210,-243.4540,0.9486
16303,211,-110.3580,0.9484
16390,212,-512.7310,0.9481
16452,213,-206.0330,0.9479
16524,214,54.4200,0.9477
16580,215,-211.2020,0.9475
16676,216,-9.9410,0.9472
16757,217,-111.9200,0.9469
16817,218,-220.3090,0.9467
16876,219,-250.7800,0.9466
16947,220,-81.9360,0.9463
17026,221,-314.9640,0.9461
17093,222,-169.0140,0.9459
17171,223,-357.1900,0.9456
17227,224,-190.8260,0.9455
17313,225,20.5220,0.9452
17390,226,-127.1610,0.9449
17462,227,-342.4240,0.9447
17528,228,-176.7520,0.9445
17595,229,-347.0540,0.9443
17669,230,-503.8770,0.9441
17773,231,-178.5880,0.9437
17894,232,-103.5760,0.9433
17970,233,-123.4900,0.9431
18045,234,32.4930,0.9429
18114,235,-333.9050,0.9426
18165,236,-249.7820,0.9425
18213,237,-306.1820,0.9423
18275,238,-361.9950,0.9421
18335,239,-68.4300,0.9419
18401,240,-476.0730,0.9417
18481,241,-42.2560,0.9415
18550,242,-222.0300,0.9413
18634,243,-106.1990,0.9410
18702,244,-276.9490,0.9408
18759,245,-665.5320,0.9406
18833,246,-63.0370,0.9404
18900,247,-617.1230,0.9402
19001,248,-232.3810,0.9398
19082,249,-965.9650,0.9396
19158,250,-64.2060,0.9393
19246,251,-694.3510,0.9391
19335,252,-212.6670,0.9388
19401,253,-1092.0880,0.9386
19472,254,-183.3260,0.9383
19553,255,-174.1960,0.9381
19614,256,-377.1000,0.9379
19689,257,-644.1640,0.9377
19766,258,-117.7660,0.9374
19833,259,-95.9290,0.9372
19917,260,151.8120,0.9369
19988,261,-41.7420,0.9367
20048,262,-429.1300,0.9365
