episode,return,cost_per_order,loss
0,-337.233,337.233,-3.0935
1,-148.557,148.557,-8.2788
2,-203.885,203.885,-23.0117
3,-92.205,92.205,-7.1061
4,-382.189,382.189,-8.8352
5,-477.99,477.99,-16.6733
6,-26.796,26.796,-14.2103
7,13.441,-13.441,-23.0934
8,100.163,-100.163,2.3918
9,-213.505,213.505,-11.0936
10,-379.577,379.577,2.9923
11,92.237,-92.237,0.349
12,-236.403,236.403,-7.8579
13,-522.442,522.442,-12.872
14,-82.924,82.924,-10.5177
15,-136.26,136.26,-7.9185
16,-405.296,405.296,-9.9662
17,-248.792,248.792,9.0411
18,33.041,-33.041,-13.5926
19,-216.875,216.875,-6.9317
20,-537.619,537.619,-13.9077
21,-387.551,387.551,15.136
22,-625.927,625.927,13.9168
23,-356.589,356.589,-29.0208
24,-147.192,147.192,-15.7276
25,-525.871,525.871,-18.6833
26,-205.723,205.723,-5.5234
27,-247.34,247.34,-2.6897
28,-465.309,465.309,-4.8988
29,-433.303,433.303,-11.6867
30,-182.929,182.929,0.143
31,95.967,-95.967,-6.1934
32,-92.533,92.533,9.1982
33,-524.972,524.972,-10.2893
34,53.583,-53.583,-3.1922
35,-211.085,211.085,-0.2048
36,-181.47,181.47,5.2417
37,23.195,-23.195,-33.3241
38,-314.187,314.187,-7.7837
39,92.678,-92.678,4.5393
40,-310.138,310.138,18.7697
41,44.595,-44.595,-2.4162
42,-663.599,663.599,14.4079
43,-139.475,139.475,-18.812
44,-116.127,116.127,-16.9376
45,-50.544,50.544,-11.3219
46,-28.603,28.603,-24.639
47,-81.503,81.503,-18.9277
48,-395.138,395.138,6.6322
49,-196.926,196.926,5.4755
50,-408.864,408.864,-12.6763
51,-89.431,89.431,12.6259
52,-232.258,232.258,-19.3262
53,-125.455,125.455,-1.1525
54,-125.489,125.489,-12.9719
55,-586.748,586.748,-10.3319
56,-418.068,418.068,7.0825
57,-196.42,196.42,-14.2489
58,-292.647,292.647,-17.0571
59,-183.533,183.533,-4.4101
60,-394.729,394.729,-27.2899
61,-368.38,368.38,-1.9979
62,-98.142,98.142,2.1346
63,-108.431,108.431,-3.6132
64,-385.429,385.429,-9.5577
65,-398.703,398.703,-12.4079
66,-123.518,123.518,-8.8768
67,-295.921,295.921,12.041
68,-338.234,338.234,-3.8948
69,-295.239,295.239,-6.7044
70,-360.647,360.647,-3.5046
71,-251.155,251.155,-17.3219
72,-246.938,246.938,-20.3573
73,-71.759,71.759,-7.0543
74,-418.511,418.511,-18.2829
75,-291.781,291.781,-2.301
76,-100.207,100.207,-8.7664
77,-214.209,214.209,-11.7257
78,-333.821,333.821,-0.1217
79,-317.5,317.5,-11.0456
80,-307.49,307.49,0.6663
81,-215.173,215.173,2.1381
82,-199.087,199.087,-8.1638
83,-69.355,69.355,-7.1717
84,-233.693,233.693,-7.2041
85,-212.401,212.401,-1.6196
86,-282.879,282.879,0.2967
87,-284.864,284.864,-14.4302
88,-117.555,117.555,-26.3565
89,-513.566,513.566,19.3773
90,-484.289,484.289,-5.0895
91,-16.612,16.612,-1.1371
92,-534.069,534.069,-34.8858
93,-96.829,96.829,-22.4469
94,-125.708,125.708,3.5797
95,-317.019,317.019,-9.6255
96,-170.514,170.514,-1.6535
97,-379.343,379.343,-10.8257
98,-464.95,464.95,-30.2576
99,-154.684,154.684,-10.9503
100,-187.1,187.1,-38.8107
101,-211.564,211.564,7.5083
102,-528.0,528.0,-9.1931
103,-210.1,210.1,-4.2909
104,-489.69,489.69,-20.462
105,-519.475,519.475,-16.3559
106,-119.969,119.969,-34.6253
107,-91.54,91.54,-24.7943
108,-229.934,229.934,-22.6305
109,-214.188,214.188,0.2723
110,-68.294,68.294,16.2128
111,-255.635,255.635,-23.6283
112,-212.291,212.291,4.6864
113,-78.51,78.51,22.3126
114,-190.867,190.867,22.2383
115,-333.106,333.106,-15.207
116,-103.762,103.762,4.6412
117,-305.188,305.188,31.3709
118,-163.627,163.627,81.4746
119,-280.073,280.073,49.2355
120,-111.213,111.213,4.4753
121,-1154.781,1154.781,155.6954
122,-1401.211,1401.211,120.2924
123,-988.233,988.233,77.8476
124,-1675.999,1675.999,146.8436
125,-1385.89,1385.89,122.6623
126,-1229.947,1229.947,145.952
127,-983.245,983.245,128.2445
128,-387.206,387.206,74.5199
129,-840.261,840.261,183.7793
130,-1502.317,1502.317,169.4816
131,-1194.395,1194.395,126.0912
132,-448.502,448.502,73.9482
133,-877.787,877.787,126.2171
134,-641.475,641.475,146.9099
135,-123.197,123.197,70.704
136,-1356.856,1356.856,77.9547
137,-175.353,175.353,23.5017
138,-736.457,736.457,13.113
139,-641.007,641.007,73.0392
140,-44.74,44.74,52.1444
141,-154.756,154.756,-13.8927
142,-526.592,526.592,57.2701
143,-230.531,230.531,50.8816
144,-497.779,497.779,13.2853
145,-433.976,433.976,61.4675
146,-443.489,443.489,89.1064
147,-66.488,66.488,73.485
148,-275.249,275.249,82.5471
149,-389.706,389.706,80.9087
150,-879.56,879.56,169.6496
151,-340.97,340.97,62.0387
152,-592.192,592.192,77.5548
153,-298.326,298.326,97.0055
154,-395.926,395.926,44.8625
155,-1552.777,1552.777,55.4271
156,-484.905,484.905,156.4929
157,-967.153,967.153,114.6823
158,-1418.383,1418.383,142.7187
159,-779.374,779.374,132.4823
160,-1021.766,1021.766,140.5678
161,-317.818,317.818,93.9486
162,-753.956,753.956,147.6197
163,-1382.194,1382.194,93.9396
164,-1267.262,1267.262,144.9299
165,-929.882,929.882,112.074
166,-1344.937,1344.937,114.8215
167,-1309.593,1309.593,157.5614
168,-859.077,859.077,178.4072
169,-719.078,719.078,146.9163
170,-1902.711,1902.711,111.1677
171,-1049.246,1049.246,84.3719
172,-504.077,504.077,74.7624
173,-1688.99,1688.99,59.8761
174,-958.615,958.615,124.713
175,-937.714,937.714,111.8362
176,-1041.066,1041.066,79.9551
177,-645.642,645.642,146.7294
178,-1569.186,1569.186,28.1294
179,-1475.452,1475.452,117.4615
180,-1175.275,1175.275,99.4875
181,-1318.104,1318.104,45.6106
182,-837.153,837.153,193.6127
183,-1428.246,1428.246,128.6278
184,-1526.559,1526.559,175.3193
185,-1521.001,1521.001,162.0105
186,-258.178,258.178,87.3884
187,-961.561,961.561,84.6211
188,-822.845,822.845,69.5049
189,-1483.911,1483.911,125.4504
190,-1503.892,1503.892,129.8083
191,-735.561,735.561,112.1451
192,-779.065,779.065,171.0757
193,-965.604,965.604,134.6123
194,-1044.741,1044.741,99.7176
195,-1527.279,1527.279,94.3707
196,-358.915,358.915,101.1706
197,-743.847,743.847,80.4418
198,-322.665,322.665,24.9843
199,-287.437,287.437,48.3575
200,-282.574,282.574,75.9628
201,-216.154,216.154,63.9084
202,-175.872,175.872,26.7868
203,-115.008,115.008,58.7885
204,-388.415,388.415,64.7181
205,-212.061,212.061,47.6497
206,-1103.142,1103.142,48.2993
207,-486.315,486.315,44.3292
208,-573.663,573.663,49.1624
209,-546.562,546.562,156.2878
210,-1037.941,1037.941,73.2993
211,-382.459,382.459,102.5118
212,-1366.605,1366.605,50.4054
213,-530.586,530.586,75.8401
214,-1355.184,1355.184,138.5746
215,-728.141,728.141,96.3654
216,-924.779,924.779,103.4218
217,-816.107,816.107,103.1562
218,-896.973,896.973,40.9038
219,-707.255,707.255,82.0343
220,-617.908,617.908,38.2157
221,-738.235,738.235,145.5437
222,-590.785,590.785,46.2534
223,-927.778,927.778,107.2916
224,-1042.038,1042.038,91.5693
225,-625.547,625.547,73.6868
226,-1323.58,1323.58,82.9079
227,-857.578,857.578,24.9067
228,-1121.629,1121.629,58.7901
229,-910.92,910.92,107.3135
230,-1678.728,1678.728,93.7716
231,-1523.405,1523.405,53.7997
232,-1553.667,1553.667,79.9464
233,-1527.741,1527.741,54.7587
