episode,reward,eps,n_states
69,1721.275000000001,0.7952,490
70,1744.4939999999995,0.7922,492
71,1922.1920000000007,0.7892,494
72,1858.2870000000007,0.7863,497
73,1940.569000000001,0.7833,498
74,1888.2310000000004,0.7803,500
75,1796.5340000000006,0.7773,503
76,1872.0270000000016,0.7744,505
77,1904.8550000000016,0.7714,509
78,1977.9830000000015,0.7684,514
79,2157.212000000002,0.7655,515
80,1938.042,0.7625,515
81,1882.1360000000002,0.7595,517
82,2005.6760000000008,0.7566,518
83,1691.3280000000007,0.7536,518
84,1783.008999999999,0.7506,521
85,1997.1250000000007,0.7477,526
86,1757.9810000000002,0.7447,528
87,1771.5490000000011,0.7417,528
88,1926.2139999999993,0.7388,531
89,1755.7820000000004,0.7358,533
90,1977.637000000001,0.7328,533
91,1782.231,0.7298,534
92,1828.822000000001,0.7269,536
93,1840.8400000000017,0.7239,538
94,1748.5830000000014,0.7209,541
95,1785.788000000001,0.718,541
96,1798.4500000000005,0.715,547
97,1999.3430000000005,0.712,551
98,1993.6050000000007,0.7091,553
99,1927.1190000000004,0.7061,555
100,1936.1530000000007,0.7031,557
101,1996.700000000001,0.7002,557
102,2112.914000000001,0.6972,559
103,1685.4149999999997,0.6942,561
104,1887.1320000000012,0.6913,562
105,1707.444,0.6883,562
106,1910.883,0.6853,564
107,1871.539000000002,0.6823,567
108,2149.0080000000007,0.6794,567
109,2020.9400000000003,0.6764,568
110,1966.9940000000013,0.6734,569
111,1672.2839999999994,0.6705,570
112,1839.7970000000005,0.6675,571
113,1896.070000000001,0.6645,571
114,1892.268000000001,0.6616,572
115,1915.0280000000012,0.6586,576
116,1786.5920000000008,0.6556,576
117,1810.6950000000013,0.6527,576
118,1962.089,0.6497,576
119,1824.7949999999996,0.6467,577
120,1816.7400000000005,0.6438,577
121,1893.2320000000009,0.6408,579
122,1728.0580000000002,0.6378,579
123,1858.1310000000005,0.6348,580
124,1947.253,0.6319,581
125,2030.3019999999997,0.6289,581
126,1896.5129999999992,0.6259,583
127,1825.2960000000014,0.623,583
128,1905.457000000001,0.62,586
129,2152.3240000000005,0.617,588
130,1813.0080000000005,0.6141,589
131,1844.6899999999998,0.6111,590
132,1777.988000000001,0.6081,591
133,2069.807000000001,0.6052,591
134,1913.2820000000013,0.6022,591
135,1859.8960000000006,0.5992,593
136,1872.9740000000006,0.5962,595
