step,episode,ep_return,epsilon
15722,203,-34.5190,0.9502
15819,204,-238.2150,0.9499
15893,205,-507.3570,0.9497
15963,206,24.3670,0.9495
16029,207,-316.3100,0.9492
16113,208,101.5730,0.9490
16175,209,-135.3730,0.9488
16253,210,-245.9790,0.9485
16339,211,-289.8540,0.9483
16419,212,-194.8670,0.9480
16488,213,-553.4950,0.9478
16553,214,-497.1170,0.9476
16622,215,-19.5230,0.9474
16693,216,-248.7840,0.9471
16764,217,-620.3860,0.9469
16866,218,88.9300,0.9466
16961,219,-40.6110,0.9463
17024,220,-347.8870,0.9461
17078,221,-276.9640,0.9459
17154,222,-438.3800,0.9457
17231,223,-703.6770,0.9454
17288,224,-250.6550,0.9453
17327,225,-164.8990,0.9451
17387,226,-138.5590,0.9449
17456,227,-113.5700,0.9447
17536,228,-246.5150,0.9445
17622,229,-687.9180,0.9442
17697,230,-136.8820,0.9440
17761,231,-147.4420,0.9438
17852,232,7.1420,0.9435
17937,233,-425.7000,0.9432
18030,234,-132.5720,0.9429
18108,235,-71.2410,0.9427
18201,236,-67.2980,0.9424
18287,237,-584.8870,0.9421
18354,238,-501.7430,0.9419
18420,239,-362.7000,0.9417
18497,240,-389.8970,0.9414
18577,241,-125.6570,0.9412
18648,242,-44.5580,0.9410
18723,243,-273.4850,0.9407
18773,244,-115.2760,0.9406
18831,245,-366.8770,0.9404
18898,246,-433.7260,0.9402
18959,247,-202.5790,0.9400
19043,248,-2.6440,0.9397
19109,249,-323.6230,0.9395
19205,250,-350.1850,0.9392
19253,251,-153.0880,0.9390
19340,252,-345.3630,0.9388
19423,253,-457.2870,0.9385
19500,254,-381.5310,0.9383
19580,255,-732.9610,0.9380
19660,256,-215.8820,0.9377
19709,257,-386.7590,0.9376
19785,258,-484.9940,0.9374
19880,259,-81.5730,0.9370
19968,260,-866.1590,0.9368
20031,261,-271.2890,0.9366
20089,262,-231.1590,0.9364
20162,263,-138.4760,0.9362
20257,264,-97.1830,0.9359
20327,265,-215.5920,0.9356
20391,266,-144.0770,0.9354
20480,267,139.1720,0.9351
20546,268,-329.1600,0.9349
20601,269,-264.6170,0.9348
20707,270,36.7270,0.9344
20795,271,97.1640,0.9342
20850,272,-534.5420,0.9340
20924,273,-216.0130,0.9337
21000,274,-164.4790,0.9335
21082,275,-70.2580,0.9332
21166,276,-76.5400,0.9330
21236,277,-461.2240,0.9328
21305,278,-324.2720,0.9325
21360,279,-216.2620,0.9324
21442,280,-31.5450,0.9321
21531,281,-372.6980,0.9318
21580,282,-75.1800,0.9317
21631,283,-104.9260,0.9315
21705,284,-508.5830,0.9313
21758,285,-361.7170,0.9311
21834,286,-638.1210,0.9309
21900,287,-295.0460,0.9307
21983,288,-904.0660,0.9304
22054,289,-496.8300,0.9302
22169,290,-173.0420,0.9298
22247,291,-119.3920,0.9296
22312,292,-212.2030,0.9293
22379,293,-138.9250,0.9291
22472,294,-142.0570,0.9288
22535,295,-534.2670,0.9286
22607,296,-188.7900,0.9284
22690,297,-253.1170,0.9282
22742,298,-121.0100,0.9280
22820,299,-77.1400,0.9277
22896,300,-354.2450,0.9275
22948,301,-401.1080,0.9273
23012,302,-163.1630,0.9271
23121,303,-486.7630,0.9268
23182,304,-162.3860,0.9266
23281,305,-272.9510,0.9263
23389,306,-348.7030,0.9259
23461,307,-318.5670,0.9257
23525,308,-289.2610,0.9255
23585,309,-106.1210,0.9253
23673,310,54.0700,0.9250
23748,311,-130.6870,0.9248
23817,312,-255.0190,0.9246
23902,313,18.2420,0.9243
23958,314,-199.4860,0.9241
24029,315,128.0500,0.9239
24113,316,-309.8890,0.9236
24195,317,-385.4720,0.9234
24283,318,-29.6040,0.9231
24361,319,-396.5540,0.9229
24431,320,-54.4990,0.9226
24530,321,74.2140,0.9223
24608,322,-392.9030,0.9221
24683,323,-124.0920,0.9218
24771,324,75.2570,0.9216
24851,325,-79.2400,0.9213
24922,326,-81.2060,0.9211
24987,327,-35.8380,0.9209
25065,328,-212.5070,0.9206
25155,329,-200.8960,0.9203
25207,330,-801.0060,0.9202
25291,331,-49.4920,0.9199
25356,332,-178.1990,0.9197
25421,333,-259.6000,0.9195
25468,334,-345.7730,0.9194
25578,335,-175.5980,0.9190
25680,336,-302.5110,0.9187
25768,337,-141.7720,0.9184
25842,338,-99.4040,0.9182
