step,episode,ep_return,epsilon
15815,202,-342.7930,0.9499
15872,203,-220.6360,0.9497
15951,204,-558.8590,0.9495
16034,205,-426.4890,0.9492
16117,206,-195.8940,0.9490
16191,207,-5.9340,0.9487
16281,208,-137.1640,0.9484
16333,209,-279.3630,0.9483
16404,210,-176.8620,0.9481
16472,211,-483.1680,0.9478
16529,212,-71.7990,0.9477
16602,213,-242.3960,0.9474
16649,214,-219.5000,0.9473
16739,215,-688.8310,0.9470
16832,216,-95.2380,0.9467
16903,217,78.4750,0.9465
16993,218,-448.6870,0.9462
17076,219,-74.2660,0.9459
17147,220,64.7430,0.9457
17208,221,-123.8070,0.9455
17277,222,-179.0880,0.9453
17369,223,-33.1580,0.9450
17422,224,-803.5690,0.9448
17479,225,-55.0460,0.9447
17565,226,-115.3470,0.9444
17646,227,-183.0500,0.9441
17712,228,-393.9090,0.9439
17764,229,-175.8010,0.9438
17831,230,-770.9940,0.9435
17917,231,-180.0310,0.9433
17971,232,-220.3830,0.9431
18038,233,-19.5770,0.9429
18103,234,-143.1540,0.9427
18189,235,-33.3550,0.9424
18265,236,-419.3000,0.9422
18344,237,-532.8800,0.9419
18422,238,-631.5750,0.9417
18522,239,-361.7650,0.9414
18595,240,-106.3360,0.9411
18683,241,48.2820,0.9408
18767,242,-434.6980,0.9406
18859,243,-558.4270,0.9403
18953,244,66.3390,0.9400
19036,245,-287.8250,0.9397
19096,246,-146.4880,0.9395
19175,247,-322.7800,0.9393
19287,248,-609.3330,0.9389
19368,249,-308.8630,0.9387
19430,250,-211.3130,0.9385
19498,251,-161.0580,0.9383
19579,252,-318.7790,0.9380
19650,253,-121.9320,0.9378
19702,254,-194.0590,0.9376
19767,255,-94.4650,0.9374
19831,256,-286.0310,0.9372
19912,257,-207.6740,0.9369
19979,258,-196.4020,0.9367
20046,259,-338.3310,0.9365
20124,260,56.4360,0.9363
20196,261,-116.8930,0.9360
20315,262,256.5040,0.9357
20418,263,-484.8400,0.9353
20495,264,-204.6110,0.9351
20554,265,-130.6470,0.9349
20638,266,-735.1420,0.9346
20710,267,-170.9670,0.9344
20784,268,-333.8750,0.9342
20865,269,-328.9980,0.9339
20937,270,-393.7070,0.9337
21025,271,-372.8640,0.9334
21088,272,-524.8560,0.9332
21184,273,-325.0840,0.9329
21244,274,-556.7720,0.9327
21322,275,-142.9630,0.9325
21391,276,-594.8320,0.9323
21454,277,-371.4080,0.9321
21532,278,-184.3000,0.9318
21638,279,190.5300,0.9315
21737,280,-281.7900,0.9312
21793,281,-651.2890,0.9310
21877,282,-276.8850,0.9307
21960,283,-218.4180,0.9305
22052,284,-74.5120,0.9302
22108,285,-219.1140,0.9300
22169,286,-114.4000,0.9298
22254,287,-73.2320,0.9295
22337,288,-80.0640,0.9293
22414,289,-124.3670,0.9290
22470,290,-566.6950,0.9288
22527,291,-102.0060,0.9287
22587,292,-192.6840,0.9285
22676,293,-284.6700,0.9282
22744,294,-200.5720,0.9280
