episode,return,gae_lambda
0,-244.857,0.0
1,-336.068,0.0
2,-258.573,0.0
3,-70.968,0.0
4,-396.103,0.0
5,-295.928,0.0
6,-565.547,0.0
7,-652.811,0.0
8,-133.266,0.0
9,-77.731,0.0
10,-156.169,0.0
11,-3.059,0.0
12,-145.003,0.0
13,-227.934,0.0
14,-220.557,0.0
15,-54.554,0.0
16,-162.768,0.0
17,132.565,0.0
18,-282.701,0.0
19,-120.697,0.0
20,-153.989,0.0
21,-242.68,0.0
22,-18.497,0.0
23,-417.945,0.0
24,-116.717,0.0
25,-339.985,0.0
26,-303.984,0.0
27,-257.477,0.0
28,-405.659,0.0
29,172.889,0.0
30,-282.242,0.0
31,-227.493,0.0
32,-606.83,0.0
33,-86.424,0.0
34,-181.864,0.0
35,-131.033,0.0
36,-269.845,0.0
37,-391.711,0.0
38,-182.704,0.0
39,188.789,0.0
40,-363.074,0.0
41,-44.466,0.0
42,-60.434,0.0
43,-152.82,0.0
44,-77.059,0.0
45,-240.083,0.0
46,58.79,0.0
47,-19.492,0.0
48,-212.733,0.0
49,-166.603,0.0
50,-312.768,0.0
51,-374.193,0.0
52,-30.902,0.0
53,-25.357,0.0
54,-170.658,0.0
55,-171.716,0.0
56,7.969,0.0
57,-356.31,0.0
58,-341.047,0.0
59,-210.314,0.0
60,-138.862,0.0
61,-184.994,0.0
62,-26.903,0.0
63,-52.453,0.0
64,-161.303,0.0
65,5.057,0.0
66,-201.926,0.0
67,-600.384,0.0
68,-140.951,0.0
69,-6.999,0.0
70,-351.04,0.0
71,-740.293,0.0
72,-853.421,0.0
73,-295.782,0.0
74,-640.199,0.0
75,-475.815,0.0
76,-226.003,0.0
77,-829.622,0.0
78,-82.815,0.0
79,-72.158,0.0
80,80.836,0.0
81,101.745,0.0
82,-562.19,0.0
83,-540.994,0.0
84,-54.59,0.0
85,-531.83,0.0
86,-488.007,0.0
87,16.292,0.0
88,17.125,0.0
89,-264.64,0.0
90,-362.729,0.0
91,247.717,0.0
92,-310.074,0.0
93,-93.726,0.0
94,-412.162,0.0
95,-503.143,0.0
96,-16.087,0.0
97,-116.094,0.0
98,-594.199,0.0
99,-242.62,0.0
100,-1.862,0.0
101,-303.857,0.0
102,-61.818,0.0
103,-311.933,0.0
104,-1.784,0.0
105,-76.943,0.0
106,-294.878,0.0
107,-289.374,0.0
108,78.48,0.0
109,-115.953,0.0
110,-305.983,0.0
111,-33.171,0.0
112,-285.968,0.0
113,-234.219,0.0
114,-220.137,0.0
115,-51.865,0.0
116,-77.321,0.0
117,-99.277,0.0
118,-377.454,0.0
119,-101.393,0.0
120,-167.086,0.0
121,-191.448,0.0
122,-39.132,0.0
123,5.906,0.0
124,-126.881,0.0
125,-167.715,0.0
126,-1248.796,0.0
127,-221.62,0.0
128,-237.339,0.0
129,27.444,0.0
130,-252.068,0.0
131,-268.884,0.0
132,-140.49,0.0
133,1.946,0.0
134,-363.229,0.0
135,-172.608,0.0
136,137.763,0.0
137,-488.715,0.0
138,72.374,0.0
139,-205.681,0.0
140,-359.054,0.0
141,14.333,0.0
142,-201.126,0.0
143,-110.608,0.0
144,-4.45,0.0
145,-319.66,0.0
146,-235.038,0.0
147,-168.979,0.0
148,-188.251,0.0
149,-369.623,0.0
150,48.506,0.0
151,-582.992,0.0
152,-575.353,0.0
153,-391.881,0.0
154,-316.981,0.0
155,-47.353,0.0
156,-187.527,0.0
157,-395.99,0.0
158,-135.033,0.0
159,-368.733,0.0
160,-82.946,0.0
161,-423.508,0.0
162,-2.983,0.0
163,-212.146,0.0
164,-185.41,0.0
165,-125.034,0.0
166,-100.733,0.0
167,-160.887,0.0
168,-255.719,0.0
169,-629.895,0.0
170,-16.974,0.0
171,-127.499,0.0
172,-1091.153,0.0
173,-138.568,0.0
174,-99.755,0.0
175,-299.89,0.0
176,-158.235,0.0
177,-25.82,0.0
178,-94.981,0.0
179,-12.949,0.0
180,-193.198,0.0
181,-129.182,0.0
182,-113.616,0.0
183,-415.487,0.0
184,-412.687,0.0
185,-92.549,0.0
186,91.605,0.0
187,-473.375,0.0
188,-345.951,0.0
189,-27.056,0.0
190,-275.361,0.0
191,-728.494,0.0
192,-409.398,0.0
193,-127.856,0.0
194,-64.09,0.0
195,-422.565,0.0
196,72.183,0.0
197,-51.901,0.0
198,-70.123,0.0
199,-137.746,0.0
200,19.219,0.0
201,-699.982,0.0
202,-635.25,0.0
203,-112.73,0.0
204,-318.457,0.0
205,-395.314,0.0
206,34.772,0.0
207,-212.102,0.0
208,-123.606,0.0
209,-327.802,0.0
210,-339.7,0.0
211,-316.985,0.0
212,-872.331,0.0
213,-97.928,0.0
214,-290.291,0.0
215,-351.601,0.0
216,-629.085,0.0
217,-97.776,0.0
218,-82.921,0.0
219,-295.698,0.0
220,-1014.586,0.0
221,-342.829,0.0
222,-1375.572,0.0
223,-347.416,0.0
224,-942.98,0.0
225,-858.41,0.0
226,-380.537,0.0
227,-769.401,0.0
228,-1135.314,0.0
229,-1024.964,0.0
230,-1172.0,0.0
231,-77.989,0.0
232,-262.33,0.0
233,-474.066,0.0
234,-708.16,0.0
235,-548.287,0.0
236,-372.315,0.0
237,-444.88,0.0
238,-499.275,0.0
239,-199.214,0.0
240,-500.855,0.0
241,-47.599,0.0
242,-945.499,0.0
243,-296.89,0.0
244,-1052.822,0.0
245,-707.866,0.0
246,-159.725,0.0
247,-324.478,0.0
248,-91.663,0.0
249,-597.922,0.0
250,-310.218,0.0
251,-32.372,0.0
252,-229.62,0.0
253,8.221,0.0
254,-955.689,0.0
255,-683.58,0.0
256,-241.309,0.0
257,-75.646,0.0
258,-265.414,0.0
259,88.993,0.0
260,-443.999,0.0
261,-435.738,0.0
262,-924.239,0.0
263,-326.339,0.0
264,-1277.543,0.0
265,-204.617,0.0
266,-387.677,0.0
267,107.292,0.0
268,-84.959,0.0
269,-888.564,0.0
270,-183.753,0.0
271,-941.534,0.0
272,-138.242,0.0
273,44.071,0.0
274,-529.696,0.0
275,-230.038,0.0
276,-133.621,0.0
277,-507.484,0.0
278,-876.631,0.0
279,-106.414,0.0
280,-222.15,0.0
281,-142.197,0.0
282,-383.452,0.0
283,-312.734,0.0
284,-635.746,0.0
285,-703.254,0.0
286,-91.822,0.0
287,-200.239,0.0
288,-700.264,0.0
289,-446.366,0.0
290,-251.113,0.0
291,-224.315,0.0
292,-128.081,0.0
293,-382.986,0.0
294,-737.096,0.0
295,-55.92,0.0
296,-47.26,0.0
297,-412.165,0.0
298,-345.828,0.0
299,-445.535,0.0
