episode,return,shaped_return,loss
0,124.991,2839.991,1083834.0
1,86.088,2346.088,747360.5625
2,-263.094,3726.906,2026775.0
3,-268.322,2346.678,886230.4375
4,-19.553,2735.447,922583.75
5,-484.305,2750.695,1384598.0
6,-33.331,1781.669,577761.375
7,-53.208,2991.792,1306665.875
8,-303.662,3201.338,1576064.5
9,194.87,3799.87,1391129.5
10,-200.292,2739.708,1159925.0
11,-765.803,3964.197,2526457.0
12,-144.097,3170.903,1370127.875
13,-325.131,2899.869,1260643.875
14,-226.685,2738.315,1154594.375
15,-182.052,4262.948,2076742.5
16,-240.419,3544.581,1723553.375
17,2.981,3037.981,1249735.625
18,-517.355,3472.645,1843982.375
19,42.453,3247.453,1388575.625
20,-141.586,3423.414,1434148.875
21,-62.288,2722.712,959647.625
22,-362.604,3467.396,1815746.5
23,69.449,2689.449,923875.8125
24,-120.162,3839.838,1680738.875
25,-616.465,4018.535,2289428.75
26,-404.049,3245.951,1659236.0
27,-415.265,3214.735,1501367.5
28,94.331,3004.331,889444.75
29,-279.19,4040.81,2131369.0
30,-286.394,2648.606,1150105.375
31,-122.741,2842.259,1136971.5
32,120.152,4830.152,2131727.0
33,-334.92,3785.08,1860322.25
34,-100.985,3394.015,1330458.625
35,-894.473,5090.527,3483173.75
36,-566.609,3198.391,1690134.5
37,-123.592,2736.408,1046860.4375
38,-449.77,4355.23,2143432.75
39,-211.417,2393.583,951423.6875
40,-764.133,6200.867,4376978.5
41,-169.56,2405.44,729656.6875
42,36.499,3516.499,1440905.5
43,113.271,3263.271,1330882.375
44,-362.984,3322.016,1539688.75
45,-618.304,3831.696,1877127.125
46,-694.564,5385.436,3477176.25
47,-350.029,4724.971,2574534.0
48,-181.409,2543.591,956193.1875
49,-165.759,2869.241,1182537.25
50,38.472,4648.472,2157504.0
51,-399.459,4980.541,2697748.75
52,-48.978,4621.022,2028829.625
53,-583.304,4351.696,2569723.75
54,-678.541,3741.459,2147636.25
55,-586.661,4643.339,2544961.0
56,-345.051,3964.949,1944705.25
57,-237.787,3022.213,1220519.25
58,-262.267,2992.733,1389922.75
59,-422.824,3127.176,1593697.25
60,-505.864,2904.136,1430839.375
61,-206.934,2828.066,1063961.75
62,-419.319,2645.681,1119725.0
63,-591.52,4218.48,2347547.0
64,-230.731,3919.269,1869542.25
65,-73.93,1391.07,361306.4062
66,-140.241,2829.759,1112117.625
67,-267.606,3082.394,1221193.5
68,-289.74,3590.26,1697092.125
69,-370.355,2109.645,756766.375
70,-170.152,2364.848,829605.5625
71,-559.067,3530.933,1565308.25
72,-100.987,2829.013,1094122.25
73,32.555,3082.555,1185368.5
74,-484.515,3455.485,1623650.0
75,-753.98,4981.02,3128500.75
76,-85.389,2379.611,805372.5625
77,-291.371,4288.629,2093120.375
78,-224.845,2570.155,1092185.625
79,-151.337,3363.663,1272502.375
80,-82.574,2812.426,1062632.875
81,-446.323,3308.677,1818767.375
82,-109.323,2915.677,1121366.625
83,-431.511,3203.489,1791224.75
84,-88.59,2721.41,1099458.125
85,-277.539,3127.461,1376924.25
86,-152.88,3677.12,1653752.25
87,-241.913,2453.087,780877.375
88,-175.595,2034.405,712206.125
89,-169.81,3875.19,1689107.5
90,-426.959,3713.041,1995758.75
91,-499.452,2500.548,1279286.25
92,-354.643,3695.357,1796572.875
93,-356.975,2423.025,1094050.375
94,40.898,3035.898,1092266.5
95,-961.813,4983.187,3402058.0
96,-184.172,2185.828,839275.1875
97,-146.904,2843.096,1224044.375
98,-25.028,2049.972,577645.125
99,-251.938,3128.062,1477984.875
100,-492.17,3637.83,2057889.875
101,-463.156,3961.844,2071233.625
102,-308.743,2346.257,921238.0625
103,-103.728,3141.272,1303564.75
104,-822.896,5132.104,3390764.0
105,-395.859,3199.141,1529853.625
106,-188.886,1961.114,650377.5625
107,-217.389,2902.611,1189729.375
108,57.295,2902.295,922766.5625
109,-200.692,2139.308,812038.4375
110,-99.077,3395.923,1407215.25
111,-173.544,3621.456,1559478.5
112,-140.626,2724.374,986868.5625
113,-520.442,2934.558,1481297.25
114,142.791,3872.791,1364765.5
115,-897.673,5107.327,3248018.25
116,-238.116,2781.884,884521.1875
117,-424.438,4175.562,2297052.25
118,-217.479,3217.521,1456384.875
119,-9.11,6225.89,2979554.75
120,-420.828,2359.172,1025813.3125
