episode,return,shaped_return,loss
0,-117.822,3172.178,1372548.375
1,-436.25,3473.75,1847784.125
2,-885.57,4024.43,2645699.5
3,-611.049,3993.951,2198323.25
4,-748.757,3516.243,2184446.0
5,-469.183,3140.817,1626800.5
6,-59.24,3500.76,1643054.5
7,78.138,2573.138,844313.1875
8,-330.33,3829.67,1995598.75
9,-593.901,3861.099,2248337.0
10,-377.517,3562.483,1920077.5
11,-33.499,3081.501,1197550.5
12,-121.846,3618.154,1606145.625
13,-198.614,4291.386,2228865.0
14,-26.697,3453.303,1423091.625
15,-640.976,4789.024,2843615.75
16,-451.551,3543.449,1709713.625
17,-157.658,2572.342,869365.625
18,-277.83,3022.17,1430734.125
19,-351.946,2648.054,1207663.0
20,-302.442,3977.558,1815257.25
21,-733.078,4611.922,2998248.5
22,-186.772,3023.228,1408049.375
23,-288.377,2961.623,1303691.875
24,-551.88,3338.12,1844670.875
25,-338.763,3036.237,1435879.5
26,-243.392,2201.608,894991.1875
27,127.592,3167.592,1067719.625
28,-141.828,3643.172,1599290.125
29,-79.691,2395.309,930732.4375
30,-182.512,2542.488,821288.1875
31,-35.94,2829.06,1065763.875
32,-193.234,2406.766,836961.625
33,-87.022,4242.978,1762082.5
34,-163.715,3786.285,1682855.125
35,-604.158,3485.842,1879546.75
36,-130.973,1944.027,616890.0
37,24.929,3379.929,1375516.25
38,-257.553,2902.447,1412874.625
39,165.877,3125.877,1131736.625
40,-271.627,3143.373,1367317.75
41,-155.973,2544.027,879105.9375
42,75.641,3305.641,1134047.75
43,-305.384,2739.616,1161710.0
44,11.102,3201.102,1147212.125
45,19.073,4349.073,1728812.0
46,-229.422,3365.578,1412765.75
47,-128.289,1881.711,520527.0625
48,-173.315,2811.685,1136157.25
49,-298.577,2826.423,1120632.0
50,-91.541,4503.459,2173736.0
51,-58.567,2631.433,887857.5
52,-154.569,2125.431,770432.625
53,-410.359,3439.641,1772992.625
54,46.983,3051.983,1060619.25
55,-124.312,1960.688,543450.25
56,-121.418,2003.582,725957.25
57,-251.957,2528.043,953907.3125
58,-610.723,3324.277,2100886.25
59,-232.62,2197.38,737976.8125
60,-129.512,2825.488,1170544.875
61,-385.162,2454.838,984052.625
62,-389.459,2440.541,1066058.125
63,-241.303,3543.697,1787380.625
64,-123.559,2171.441,743559.5625
65,-93.102,1691.898,557120.0625
66,-63.904,2051.096,729340.375
67,-289.487,2395.513,791295.0
68,-232.854,2407.146,948822.4375
69,-116.5,3213.5,1358917.0
70,-280.365,2454.635,998283.8125
71,-9.384,2125.616,752999.75
72,-50.944,2964.056,1126784.375
73,-796.306,4653.694,3255340.5
74,-505.95,4204.05,2347896.0
75,-590.12,3559.88,1900078.125
76,-295.124,4309.876,2317887.5
77,-229.256,3185.744,1508058.375
78,-353.616,4261.384,2262551.0
79,-144.556,3065.444,1295943.5
80,-261.256,2753.744,1091485.0
81,-293.065,2946.935,1249238.5
82,-161.548,2808.452,1206022.875
83,-204.507,2305.493,938579.4375
84,-322.861,2482.139,1130392.5
85,-206.411,2513.589,913797.875
86,-31.669,2453.331,720922.5
87,-477.987,3827.013,2104819.5
88,-283.795,2796.205,1214692.375
89,-156.851,2858.149,1030476.0625
90,-232.261,2932.739,1392786.125
91,-298.859,3846.141,2021088.625
92,-307.575,2452.425,973427.1875
93,-72.388,2767.612,1030485.9375
94,-72.967,2902.033,1158266.0
95,-585.156,3249.844,1840436.0
96,-134.536,2810.464,1036656.375
97,-1211.139,5948.861,5487925.0
98,-253.794,3051.206,1406811.625
99,-476.455,3828.545,1981639.625
100,-9.778,2900.222,1064740.75
101,-235.19,1734.81,500565.4375
102,-9.871,3425.129,1443547.125
103,-376.795,2933.205,1430267.75
104,-125.717,2589.283,984288.625
105,-237.068,2917.932,1237794.25
106,-111.342,3398.658,1551437.625
107,-38.267,3171.733,1289702.875
108,-531.472,3048.528,1600200.5
109,-243.991,3396.009,1562722.25
110,-163.591,3186.409,1324899.375
111,-425.961,3924.039,2199073.25
112,-342.878,2602.122,1044563.0625
113,106.318,3391.318,1295580.25
114,-155.986,2544.014,842721.3125
115,-211.539,2393.461,831102.375
116,-143.72,3066.28,1268972.625
117,-87.17,3007.83,1256347.125
118,-169.422,3980.578,1936951.5
119,-189.665,1960.335,737102.9375
120,-351.653,3633.347,1827033.875
121,-260.928,2469.072,956391.5625
122,-340.676,2259.324,958232.875
123,-496.725,3383.275,1743779.625
124,-410.103,4144.897,2340832.75
125,-603.555,3696.445,2055762.5
126,-363.978,3321.022,1773747.5
127,-241.791,2663.209,1125789.875
128,-189.221,2630.779,1045358.4375
129,13.248,2258.248,741671.4375
130,-237.459,2602.541,996158.8125
131,-74.723,3815.277,1734123.75
132,-191.387,2168.613,821486.6875
133,-127.967,2512.033,955960.375
134,-38.995,3276.005,1278547.75
135,-103.606,3666.394,1511276.75
136,-129.941,3560.059,1612029.125
137,-132.587,2392.413,903887.9375
138,-128.545,2721.455,1127843.0
139,-65.32,2154.68,609863.5625
140,-384.881,4385.119,2464652.5
141,-75.959,3634.041,1638957.25
142,-25.428,2154.572,655799.0
143,-513.827,4251.173,2394400.75
144,-519.948,3920.052,2080664.25
145,-627.738,3562.262,2079396.875
146,-138.772,1886.228,594502.375
147,-81.111,3023.889,1093467.0
148,-42.798,2812.202,979859.4375
149,-78.832,2436.168,820949.625
150,-45.595,3334.405,1355474.125
151,-490.622,2874.378,1426673.875
152,-411.379,3683.621,2115343.75
153,-550.712,4294.288,2709632.75
154,-106.977,1763.023,531954.25
155,-327.308,3277.692,1583899.5
156,-78.206,3696.794,1524072.125
157,-488.482,3441.518,1983391.5
158,-198.115,2466.885,978526.3125
159,-236.506,3033.494,1255235.5
160,-174.96,3125.04,1431781.375
161,-198.955,2676.045,998459.375
162,-258.156,4831.844,2521895.75
163,-211.709,2183.291,770565.5625
164,-425.949,3399.051,1772274.5
165,-287.917,2962.083,1278933.875
166,114.373,3409.373,1377916.125
167,-269.364,2945.636,1260214.75
168,103.027,2603.027,961636.3125
169,-178.108,3396.892,1436419.25
170,-158.92,2571.08,960842.1875
171,-923.789,5116.211,3554798.25
172,-51.872,3108.128,1395134.875
173,-94.042,2005.958,671112.875
174,-389.23,3530.77,1869074.125
175,65.179,2750.179,1015179.875
176,-172.078,3692.922,1749540.0
177,-132.596,3202.404,1394050.375
178,-168.362,2051.638,736123.8125
179,-485.929,3309.071,1760343.875
180,-257.872,2482.128,877986.625
181,-236.541,2048.459,669848.1875
182,-156.433,5353.567,2958048.75
183,-303.401,3516.599,1771672.625
184,-116.098,2228.902,698104.0625
185,-1.755,2813.245,1063702.5
186,-232.492,3427.508,1663681.375
187,-114.745,2375.255,803002.5625
188,-390.627,2964.373,1496031.625
189,-235.386,2574.614,1092052.25
190,-722.25,3797.75,2035537.25
191,-251.959,2603.041,1012003.0
192,-573.43,4161.57,2209039.25
193,-135.569,3124.431,1343118.25
194,-36.398,2543.602,973112.0625
195,-271.893,2618.107,1137414.0
196,35.485,2810.485,952433.0
197,-391.566,3423.434,1780504.25
198,-18.44,1856.56,576554.4375
199,-489.147,3020.853,1396046.5
200,-289.913,2710.087,1143145.625
201,-71.078,2243.922,728365.8125
202,-244.147,2620.853,1088145.375
203,-354.166,2395.834,1039576.5625
204,-86.843,2168.157,748635.25
205,-272.426,3037.574,1252005.625
206,-524.78,3935.22,2295654.25
207,-505.687,3919.313,2290820.5
208,-540.232,3619.768,2168886.75
209,-406.202,3348.798,1542274.625
210,-167.003,2722.997,1222301.625
211,-761.13,4713.87,3119894.75
212,-545.469,4834.531,3059498.75
213,-60.917,2829.083,957013.25
214,-752.718,4102.282,2685268.25
215,-267.396,3962.604,1842548.75
216,-607.023,4847.977,3054068.25
217,-487.413,3652.587,2055602.25
218,-504.691,2590.309,1318963.5
219,-190.79,2799.21,1178371.125
220,-662.646,3187.354,1880371.125
221,-213.976,2141.024,683997.9375
222,-427.18,2902.82,1205639.375
223,-136.874,2453.126,987336.0625
224,-279.301,1930.699,631639.6875
225,-837.911,4472.089,2776990.75
226,-151.403,2273.597,798687.875
227,-491.344,2663.656,1238298.125
228,-243.177,2661.823,1127017.5
229,-302.584,4187.416,2234843.75
230,-540.264,4039.736,2345579.5
231,-412.62,3437.38,1820161.875
232,-544.878,4100.122,2344175.25
233,-205.832,2409.168,958736.0625
234,-167.132,2932.868,1257151.75
235,-281.329,2348.671,879891.875
236,-595.304,2664.696,1367968.25
237,-292.042,2527.958,925428.25
238,-455.546,3529.454,1783939.875
239,-89.469,3245.531,1348461.75
240,-327.854,2887.146,1089516.375
241,-475.518,3619.482,2089856.125
242,-246.004,2373.996,935819.625
243,-93.032,3241.968,1281763.25
244,-190.77,1959.23,495693.9062
245,-358.38,5096.62,3082414.0
246,-95.883,2739.117,991079.5
247,-1114.755,5240.245,4495905.0
248,-324.099,2230.901,932314.0
249,-298.878,3741.122,1777412.125
250,25.91,2645.91,864199.75
251,-49.475,2720.525,941529.0625
252,-273.839,2261.161,945157.3125
253,-428.328,3466.672,1729934.375
254,-427.104,3847.896,2285065.0
255,-315.496,3694.504,1713781.875
256,-145.105,2079.895,640364.4375
257,-345.992,3189.008,1383535.75
258,-22.533,2092.467,692664.875
259,-61.432,2723.568,1089690.375
260,-129.208,1840.792,567506.9375
261,-197.971,3727.029,1905435.625
262,-777.031,3442.969,2308540.5
263,-105.815,2499.185,771938.1875
264,-63.599,3706.401,1619566.5
265,1.822,2721.822,855785.25
266,-231.397,3323.603,1513857.375
267,-265.683,2739.317,1156201.625
268,-322.303,4342.697,2520256.25
269,-609.924,3890.076,2080709.25
270,-652.891,3562.109,2025638.25
271,78.215,2888.215,991654.6875
272,-222.663,4302.337,2381513.25
273,-455.508,4304.492,2334689.25
274,-286.95,3883.05,1871865.75
275,-99.768,1780.232,494594.5938
276,-88.895,2301.105,823849.25
277,-422.57,2812.43,1321713.625
278,-347.293,3187.707,1603847.375
279,-286.604,2858.396,1407247.125
280,-189.418,2945.582,1346940.625
281,-601.281,3068.719,1723341.0
282,-433.996,3411.004,1861017.5
283,-757.915,4087.085,2575584.5
284,-150.708,2904.292,1272011.625
285,-560.853,3774.147,2403524.75
286,-195.006,1944.994,688585.625
287,-15.748,3304.252,1424639.375
288,-126.156,1778.844,553068.375
289,-307.466,2767.534,1222091.25
290,-113.004,3921.996,1945191.375
291,-547.226,3987.774,2224839.75
292,-538.775,3486.225,1639630.25
293,-242.828,4277.172,2252739.0
294,-174.422,2705.578,1018918.6875
295,-580.886,4984.114,3295417.75
296,-1149.888,5725.112,4891777.5
297,-59.342,1465.658,359007.1562
298,-333.4,3051.6,1357971.25
299,-374.037,3785.963,1785065.5
300,-264.469,4215.531,2093326.0
301,-245.285,3424.715,1639087.875
302,-417.505,3737.495,1787067.125
303,-360.18,3854.82,2009674.125
304,-83.894,3051.106,1161710.5
305,-620.618,5734.382,3781008.0
306,-438.233,4561.767,2426199.25
307,102.988,2707.988,858850.5625
308,-768.246,5491.754,3673633.0
309,-18.935,3366.065,1465186.5
310,-153.685,3216.315,1257929.625
311,-1084.546,5690.454,4306851.5
312,-534.59,2440.41,1239183.375
313,-970.045,6224.955,4362665.0
314,-447.901,3937.099,2421859.5
315,-924.138,5450.862,3915045.75
316,-241.516,2348.484,960966.5
317,-298.97,3811.03,1875450.0
318,-736.127,5058.873,3328998.0
319,-479.869,4130.131,2378749.5
320,-626.769,5143.231,3088968.0
321,-248.521,3066.479,1504186.125
322,-448.323,3726.677,1967479.875
323,-771.524,4683.476,3067611.0
324,-335.376,2694.624,1047194.1875
325,-600.994,3844.006,2099601.5
326,-258.261,4726.739,2190387.5
327,-146.193,3798.807,1788861.125
328,-818.19,5391.81,3712514.25
329,-475.695,4039.305,2430509.25
330,-778.252,5706.748,4075793.0
331,-532.11,3007.89,1591063.875
332,-702.959,5977.041,4333839.5
333,-33.227,2346.773,714003.875
334,-431.835,3173.165,1576526.875
335,-414.899,2830.101,1247151.75
336,-909.691,4910.309,3494161.75
337,-693.799,5511.201,3607610.5
338,-617.55,4112.45,2377724.5
339,-129.41,3350.59,1467697.0
340,-161.445,2318.555,888459.3125
341,-264.553,4920.447,2363698.0
342,-963.976,5316.024,4125167.5
343,-126.538,2903.462,1172019.875
344,-610.29,6159.71,3907675.25
345,-350.389,3144.611,1380534.375
346,-498.396,3486.604,1752849.625
347,-674.057,5565.943,3714783.5
348,-467.894,3427.106,1882688.5
349,-727.549,4417.451,2876898.75
350,-640.625,3594.375,2177698.0
351,-951.002,3783.998,2361518.5
352,-411.247,4143.753,2280270.75
353,-455.657,4304.343,2480873.25
354,-593.825,4386.175,2772760.75
355,-856.544,5423.456,4025702.5
356,-1118.673,4636.327,3768938.0
357,15.731,4305.731,1961172.875
358,-472.774,5027.226,3257081.75
359,-916.092,6108.908,4245473.5
360,-535.897,4054.103,2443180.5
361,-77.428,2647.572,999991.3125
362,-349.533,2125.467,786088.0625
363,-257.54,2797.46,1158938.25
364,-366.952,3203.048,1657322.125
365,-305.663,3584.337,1718430.125
366,-873.844,3991.156,2568718.0
367,-582.555,4487.445,2474100.5
368,-301.978,4398.022,2343840.25
369,-169.172,2825.828,1147275.375
370,-1074.024,5965.976,5003025.0
371,-835.434,5554.566,3913792.0
372,-536.663,5898.337,3529908.5
373,-243.399,4066.601,1875119.75
374,-996.874,4923.126,3805286.75
375,-886.593,3888.407,2509221.25
376,-769.095,4960.905,3557843.5
377,-305.713,3334.287,1558837.5
378,-711.57,6083.43,4489727.5
379,-1056.242,5733.758,4159476.0
380,-889.994,5900.006,4523759.0
381,-812.914,4502.086,3096774.25
382,-245.21,2544.79,1127610.5
383,-5.08,4004.92,1802749.875
384,-325.403,3454.597,1735134.25
385,-367.935,3977.065,2149253.0
386,-1376.814,5103.186,4267908.5
387,-319.868,6080.132,3288111.25
388,-871.483,5808.517,3617254.75
389,-283.665,2166.335,685488.25
390,-351.187,3918.813,1845949.0
391,-987.986,5727.014,4185085.25
392,-627.895,5832.105,3131150.75
393,-703.066,5871.934,4169284.75
394,-511.148,4438.852,2267948.25
395,-988.469,5181.531,3585159.5
396,-1166.007,5648.993,4499857.0
397,-962.832,5287.168,3943867.5
398,-81.666,2528.334,836642.9375
399,-1141.783,5343.217,3625204.0
400,-280.885,6344.115,3787185.75
401,-726.967,5128.033,3458349.25
402,-1342.397,5947.603,4937955.5
403,-262.569,3347.431,1539615.5
404,-519.78,5105.22,3026433.5
405,-971.505,5973.495,4323724.0
406,-847.192,5427.808,4011704.0
407,-1057.362,4517.638,3024447.0
408,-436.75,3408.25,1535906.5
409,-457.439,4547.561,2427992.0
410,-424.036,5160.964,2906978.0
411,-616.398,5718.602,4076862.75
412,-957.381,6277.619,5029795.0
413,-1143.947,5266.053,4352452.5
414,-750.638,4039.362,2591447.5
415,-737.149,5382.851,3670399.0
416,-206.223,6153.777,3659409.5
417,-437.107,3157.893,1524648.125
418,-1398.377,5871.623,5202109.0
419,-766.058,5633.942,4034274.5
420,-1419.091,5425.909,5110140.5
421,-594.78,6165.22,4059762.75
422,-1047.165,5867.835,4641473.0
423,-981.966,4578.034,3438309.25
424,-209.226,3875.774,1928187.375
425,-537.814,3907.186,2190344.25
426,-252.111,2917.889,1343457.875
427,-1469.979,6370.021,5357988.5
428,-1017.142,5557.858,4209220.5
429,-226.882,2633.118,1026515.9375
430,-832.699,4592.301,2649246.25
431,-956.518,4998.482,3565132.0
432,-818.582,4246.418,2724237.25
433,-979.39,4925.61,3607049.25
434,-588.228,3981.772,2178531.5
435,-1090.653,6049.347,4975696.5
436,-1009.994,5580.006,4490041.0
437,-469.825,5095.175,2670029.0
438,-1082.299,5662.701,4311978.0
439,-258.858,2691.142,1093933.75
440,-548.665,5501.335,3049652.75
441,-997.903,5677.097,4444263.5
442,-958.046,5856.954,4337155.5
443,-1264.883,5275.117,4621370.0
444,-584.811,6205.189,3962364.25
445,-209.91,6550.09,4159389.75
446,-657.848,5402.152,3213265.75
