step,episode,ep_return,epsilon
15604,202,-678.3120,0.9671
15697,203,-282.2540,0.9669
15769,204,-84.1860,0.9667
15836,205,-247.2110,0.9666
15911,206,-437.0980,0.9664
15985,207,-99.8770,0.9663
16043,208,-140.1030,0.9661
16098,209,-454.7760,0.9660
16171,210,-15.5800,0.9659
16235,211,-225.8660,0.9657
16330,212,-257.5060,0.9655
16458,213,-611.8850,0.9653
16523,214,-288.5200,0.9651
16589,215,-91.3980,0.9650
16670,216,-26.6460,0.9648
16732,217,-122.1320,0.9647
16804,218,-94.4760,0.9645
16876,219,-627.4790,0.9644
16947,220,-84.2370,0.9642
17023,221,-265.4660,0.9641
17093,222,-116.8860,0.9639
17166,223,-81.4060,0.9638
17275,224,-63.2990,0.9635
17360,225,-341.9490,0.9634
17457,226,-185.6310,0.9631
17532,227,76.8500,0.9630
17632,228,246.4630,0.9628
17719,229,104.3330,0.9626
17820,230,-329.6450,0.9624
17931,231,-90.1260,0.9621
18012,232,-513.7490,0.9620
18063,233,-94.4040,0.9619
18142,234,-227.2770,0.9617
18214,235,-38.1570,0.9616
18319,236,-852.2830,0.9613
18391,237,-445.3990,0.9612
18474,238,-319.1830,0.9610
18586,239,-23.1750,0.9608
18668,240,-46.2290,0.9606
18740,241,-87.4180,0.9604
18824,242,-65.5340,0.9603
18892,243,-197.3250,0.9601
18938,244,-317.2960,0.9600
19006,245,-131.5800,0.9599
19075,246,-175.2180,0.9597
19132,247,-250.0160,0.9596
19175,248,-495.1090,0.9595
19280,249,-118.3210,0.9593
19342,250,-23.9640,0.9592
19428,251,-128.1330,0.9590
19494,252,-262.0780,0.9588
19560,253,-378.3120,0.9587
19625,254,-386.6940,0.9586
19712,255,-149.7060,0.9584
19809,256,-139.1390,0.9582
19900,257,-369.9160,0.9580
19979,258,-416.3700,0.9578
20040,259,-387.1260,0.9577
20142,260,-326.7790,0.9575
20232,261,-215.1090,0.9573
20303,262,-285.7110,0.9571
20375,263,-191.8490,0.9570
20449,264,-199.7680,0.9568
20549,265,-153.9600,0.9566
20637,266,-470.1920,0.9564
20703,267,-206.4130,0.9563
20776,268,27.5200,0.9561
20862,269,94.6690,0.9560
20945,270,0.1400,0.9558
21029,271,116.4900,0.9556
21093,272,-843.6560,0.9555
21187,273,21.0510,0.9553
21246,274,-46.5620,0.9551
21320,275,37.0230,0.9550
21403,276,-340.7620,0.9548
21455,277,-39.4170,0.9547
21508,278,-133.9530,0.9546
21599,279,29.8440,0.9544
21688,280,-203.4830,0.9542
21768,281,-510.2280,0.9540
21854,282,83.9390,0.9539
21924,283,-96.6000,0.9537
21988,284,-365.2410,0.9536
22056,285,-247.9810,0.9534
22128,286,-237.7590,0.9533
22192,287,21.2720,0.9532
22255,288,-94.3630,0.9530
22327,289,-198.9990,0.9529
22391,290,-466.4730,0.9527
22468,291,-213.4000,0.9526
