episode,return,cost_per_order,loss
0,-255.581,255.581,-7.6208
1,-108.679,108.679,2.7088
2,-292.566,292.566,-1.4937
3,-408.504,408.504,0.9454
4,-249.457,249.457,-12.4482
5,-48.335,48.335,-3.3858
6,-326.885,326.885,-3.4071
7,-317.271,317.271,-13.9307
8,-342.851,342.851,-18.8728
9,-162.876,162.876,-18.1501
10,-191.709,191.709,2.7254
11,90.313,-90.313,-23.5619
12,-489.606,489.606,-6.7632
13,-5.028,5.028,-11.5527
14,-216.383,216.383,-17.34
15,27.504,-27.504,-14.0108
16,-284.955,284.955,-8.7204
17,41.208,-41.208,-4.8078
18,-330.527,330.527,5.9363
19,-206.74,206.74,-5.6148
20,-178.594,178.594,-6.4682
21,-236.421,236.421,-2.8379
22,-94.124,94.124,7.7686
23,-381.957,381.957,-3.3249
24,-319.991,319.991,-1.4111
25,-116.103,116.103,-0.7506
26,-140.723,140.723,-3.7447
27,-254.432,254.432,-22.0984
28,-395.779,395.779,-8.2877
29,-33.745,33.745,-15.3927
30,-352.76,352.76,-12.1882
31,-181.451,181.451,-4.2684
32,-287.827,287.827,0.9213
33,380.606,-380.606,-4.5832
34,136.969,-136.969,6.8675
35,-23.989,23.989,-5.0926
36,-834.014,834.014,-30.9505
37,-172.585,172.585,-0.4661
38,-309.721,309.721,7.9979
39,-84.273,84.273,-10.784
40,-248.353,248.353,-11.8199
41,-140.602,140.602,1.1519
42,-352.361,352.361,-0.8284
43,-160.975,160.975,-1.8885
44,-168.946,168.946,1.6677
45,-614.449,614.449,-13.6471
46,-270.401,270.401,2.0455
47,29.701,-29.701,-14.073
48,-188.158,188.158,-25.8297
49,-134.135,134.135,-5.5328
50,-131.354,131.354,-7.3397
51,-169.999,169.999,-6.1605
52,-124.293,124.293,5.7006
53,-300.57,300.57,3.5643
54,-548.996,548.996,4.6267
55,-155.782,155.782,-4.3257
56,205.894,-205.894,-10.6951
57,141.589,-141.589,-18.0863
58,-535.858,535.858,-3.3895
59,-411.97,411.97,-7.2417
60,-293.418,293.418,-20.8197
61,-138.573,138.573,-4.604
62,-375.547,375.547,-18.0702
63,-354.636,354.636,4.1087
64,-451.375,451.375,15.4784
65,-303.501,303.501,-3.1538
66,-102.867,102.867,1.8798
67,-423.577,423.577,-3.2054
68,-92.213,92.213,-3.9088
69,-169.326,169.326,-20.315
70,-185.954,185.954,-3.8833
71,76.489,-76.489,-15.7503
72,-457.964,457.964,2.6258
73,-135.725,135.725,-9.7304
74,-147.198,147.198,-5.463
75,16.034,-16.034,1.9011
76,-1042.723,1042.723,7.5286
77,-528.757,528.757,0.0025
78,-478.224,478.224,-19.6896
79,-210.723,210.723,-13.1054
80,-119.922,119.922,0.7186
81,-29.922,29.922,-5.1538
82,-508.325,508.325,2.8503
83,-405.69,405.69,-11.158
84,-174.169,174.169,-4.7178
85,-464.046,464.046,-13.6721
86,-331.676,331.676,-11.6687
87,14.645,-14.645,-10.7888
88,-119.845,119.845,5.9319
89,-379.066,379.066,-4.2512
90,-177.093,177.093,-7.2481
91,-430.639,430.639,-4.9444
92,-433.941,433.941,-3.668
93,-766.476,766.476,-7.4026
94,-294.778,294.778,-25.4521
95,-142.139,142.139,-14.0972
96,-351.028,351.028,7.2097
97,-127.557,127.557,0.5283
