episode,return,critic_loss,actor_loss
0,-1715.258,0,0
1,-1301.594,138.3547,4.7679
2,-6.562,52.8267,2.8959
3,-5.99,28.4606,2.1236
4,-280.19,20.6456,1.1717
5,-80.217,16.4546,0.0229
6,-5.04,13.5543,-1.2475
7,-129.676,12.0947,-1.9417
8,-280.021,11.1546,-2.3348
9,-4.955,10.5246,-2.7352
10,-6.053,9.3906,-2.8333
11,-130.213,8.157,-2.5993
12,-6.322,8.3129,-2.945
13,-78.962,7.6765,-3.0117
14,-180.772,7.6073,-2.9779
15,0.411,7.6195,-4.342
16,-904.95,10.9977,-6.0321
17,-1104.459,12.0392,-8.3247
18,-5.014,11.5092,-9.1124
19,15.458,11.0617,-9.0619
20,-8.218,10.7952,-10.1075
21,-7.169,9.8906,-11.1552
22,-2.748,9.2181,-12.3618
23,-304.807,9.2037,-13.493
24,-5.413,9.2661,-14.2848
25,-1.815,9.2498,-16.298
26,-24.918,8.7316,-18.8497
27,-80.353,8.2544,-20.7914
28,-6.368,8.0691,-21.7964
29,-7.715,7.8411,-22.5243
30,-5530.252,11.4368,-23.2072
31,-2.148,14.6114,-23.9503
32,-5.246,13.0285,-24.9088
33,-5.72,12.2808,-25.7987
34,-1379.191,12.256,-26.6161
35,-8.305,12.5625,-26.7174
36,-206.373,11.7406,-27.0221
37,-5.384,11.9173,-28.1326
38,-732.194,11.74,-29.0667
39,-53.981,12.8733,-30.7707
40,-9.532,12.8046,-32.026
41,-377.677,12.6141,-32.4305
42,-3.151,12.4479,-32.8766
43,-79.222,11.966,-34.1882
44,-74.052,12.6874,-35.4252
45,-8.656,11.9572,-35.7471
46,-652.733,12.3509,-36.2996
47,-408.389,12.7564,-36.9963
48,-6.161,12.5657,-37.7436
49,-179.849,11.8183,-38.273
50,-1651.106,12.4277,-38.9898
51,-3.215,12.845,-39.5879
52,-907.708,12.3388,-40.1803
53,-3.545,12.5339,-40.7665
54,-154.207,12.3104,-41.4357
55,-52.823,12.4039,-42.1504
56,-300.901,12.004,-42.7857
57,-108.307,12.49,-43.3264
58,-4.388,13.0474,-43.8265
59,-7.133,12.4038,-44.487
60,12.14,12.6511,-44.8347
61,-430.229,12.1411,-45.1978
62,-359.825,12.6694,-45.4078
63,-6.898,12.9239,-45.6655
64,-582.711,13.1941,-46.2502
65,-6.745,12.9329,-46.6104
66,-4.568,12.7838,-46.8925
67,-84.14,12.4903,-47.2133
68,-56.065,12.7688,-47.6891
69,-1.383,12.3167,-48.0994
70,-3110.824,12.2738,-48.4147
71,-2.599,13.8476,-48.1929
72,-483.584,13.0734,-48.2162
73,-3078.84,14.1716,-48.1383
74,-107.054,14.4295,-47.7406
75,13.428,14.8922,-47.5256
76,-5.901,13.37,-47.5651
77,-6.929,13.2701,-47.4674
78,-3.909,12.5307,-47.4722
79,-10.916,13.0503,-47.6367
80,-129.576,12.5212,-47.7903
81,-654.565,12.2134,-47.9483
82,-9.04,12.2397,-48.0408
83,-181.948,12.136,-48.1674
84,-436.828,12.0105,-48.2767
85,-657.898,11.7947,-48.4488
86,-1608.539,12.7029,-48.3464
87,-4.309,13.2172,-48.3299
88,-6.927,12.3735,-48.4451
89,-1430.945,12.8874,-48.4137
90,-105.958,12.7618,-48.3796
91,-305.245,13.0376,-48.4068
92,-9.324,11.939,-48.3783
93,-6.118,11.9066,-48.4178
94,-212.177,12.1098,-48.5527
95,-354.519,11.9763,-48.7366
96,-6.595,12.001,-48.8107
97,-106.987,11.6566,-48.7302
98,-155.331,11.2671,-48.6168
99,-1057.54,11.7532,-48.4788
100,-1249.568,11.4899,-48.3841
101,-1908.128,12.12,-48.3144
102,-2.626,12.0906,-48.3166
103,-775.737,12.3619,-48.252
104,-2897.495,12.098,-48.3559
105,-202.275,12.6678,-48.4071
106,-2278.306,12.4781,-48.526
107,-7.949,13.4151,-48.4208
108,-1.179,12.8805,-48.3861
109,-31.374,12.8592,-48.4478
110,-2232.368,12.7662,-48.5539
111,-8.552,12.5067,-48.6584
112,-1730.395,12.7297,-48.5125
113,-481.162,13.2944,-48.2428
114,-3.497,12.5647,-48.267
115,-481.27,12.757,-48.3551
116,-1076.558,12.9748,-48.5636
117,-454.417,12.9396,-48.6147
118,-860.373,13.0414,-48.6672
119,-6.279,12.5468,-48.6575
120,-732.556,12.717,-48.685
121,-1355.329,13.1477,-48.7511
122,-1652.254,13.4116,-49.0309
123,-1781.884,14.1172,-49.111
124,-853.122,13.5446,-49.1988
125,-1378.751,14.3709,-49.131
126,-2404.317,14.4488,-49.2114
127,-0.4,14.5639,-49.229
128,-4.844,13.9342,-49.262
129,-181.322,13.9328,-49.4305
130,-19.566,13.7897,-49.6616
131,-8.379,13.7686,-49.8083
132,-5.959,13.7227,-50.0254
133,-682.682,13.6166,-50.1856
134,-12.922,13.1574,-50.1524
135,-1432.89,13.23,-50.3011
136,-4058.541,13.5611,-50.2814
137,-4632.327,15.0866,-50.2018
138,-3828.95,15.539,-50.2139
139,-6.659,15.8978,-50.1393
140,-3.885,14.8464,-50.324
141,-9.714,14.6008,-50.6439
142,-358.005,14.6997,-50.8847
143,-253.682,14.6843,-51.1554
144,0.105,14.3763,-51.2684
145,-5656.336,14.5517,-51.5422
146,-950.551,14.5566,-51.7906
147,-57.399,14.2194,-52.042
148,-276.458,14.4724,-52.3016
149,-28.676,14.5261,-52.5064
150,-697.062,14.5144,-52.7455
151,-2185.47,14.8009,-53.1124
152,-334.469,15.0184,-53.4687
153,-6004.482,14.8436,-53.6502
154,-129.453,14.8591,-53.7242
155,-178.51,14.8947,-53.8422
156,-806.682,14.3031,-53.9126
157,-44.741,14.164,-54.1921
158,-830.565,14.0792,-54.5152
159,-2556.109,14.4888,-54.5061
160,-2.081,14.3418,-54.5976
161,-5156.043,14.7935,-54.8093
162,-235.521,15.1544,-54.8689
163,-79.544,14.9629,-54.9763
164,-9.001,14.5784,-54.9343
165,-1708.958,15.0246,-55.0826
166,-1809.539,14.6761,-55.0453
167,-1376.304,15.3754,-55.0057
168,-7.297,14.4173,-54.9397
169,-725.666,14.7742,-54.8734
170,0.434,14.599,-54.8705
171,-355.12,14.4355,-54.689
