step,episode,ep_return,epsilon
15515,202,-276.3070,0.9509
15596,203,85.4530,0.9506
15646,204,-165.1630,0.9505
15715,205,-6.7330,0.9502
15775,206,-236.2660,0.9500
15846,207,-56.9720,0.9498
15918,208,-127.4380,0.9496
15967,209,-139.2230,0.9494
16012,210,-346.1910,0.9493
16065,211,-115.4390,0.9491
16171,212,37.5060,0.9488
16274,213,-142.6580,0.9485
16345,214,-137.8770,0.9482
16416,215,-102.1970,0.9480
16486,216,-136.9200,0.9478
16580,217,-458.0040,0.9475
16658,218,-64.2590,0.9473
16731,219,-100.6850,0.9470
16781,220,-99.3130,0.9469
16849,221,-289.4850,0.9466
16904,222,-400.8820,0.9465
17017,223,-249.2180,0.9461
17081,224,-100.5160,0.9459
17143,225,-307.8610,0.9457
17223,226,-258.6550,0.9455
17285,227,-154.0310,0.9453
17363,228,-477.9210,0.9450
17425,229,-214.9480,0.9448
17510,230,-260.8750,0.9446
17621,231,-804.8970,0.9442
17727,232,-817.5030,0.9439
17840,233,-127.5310,0.9435
17930,234,-477.7430,0.9432
18007,235,-89.3780,0.9430
18074,236,-240.9220,0.9428
18142,237,-332.7870,0.9426
18195,238,-141.3040,0.9424
18243,239,-213.4830,0.9422
18326,240,-241.8600,0.9420
18409,241,-317.7630,0.9417
18467,242,-382.1630,0.9415
18557,243,-617.1120,0.9412
18619,244,-186.7330,0.9410
18698,245,-26.4020,0.9408
18767,246,-116.4050,0.9406
18838,247,-561.3560,0.9403
18906,248,-766.2260,0.9401
18960,249,-267.5360,0.9400
19019,250,-370.9970,0.9398
19088,251,-357.4240,0.9396
19160,252,-338.7250,0.9393
19226,253,11.2490,0.9391
19302,254,-603.6790,0.9389
19365,255,-474.2350,0.9387
19442,256,-384.5440,0.9384
19512,257,-326.8350,0.9382
19580,258,-265.8150,0.9380
19660,259,-143.2720,0.9377
19713,260,-359.5620,0.9376
19778,261,-106.0720,0.9374
19854,262,-293.4950,0.9371
19916,263,-319.4160,0.9369
19999,264,-234.2860,0.9367
20081,265,-237.2320,0.9364
20177,266,-92.8820,0.9361
20248,267,-287.5150,0.9359
20341,268,-421.8560,0.9356
20446,269,118.3590,0.9353
20515,270,-569.7150,0.9350
20573,271,-248.8590,0.9349
20645,272,-371.3250,0.9346
20742,273,-23.2530,0.9343
20827,274,20.6590,0.9341
20910,275,-113.6890,0.9338
20987,276,-104.4870,0.9335
21062,277,-42.5020,0.9333
21137,278,-113.8910,0.9331
21200,279,-124.9160,0.9329
21256,280,-79.4820,0.9327
21360,281,-418.7090,0.9324
21441,282,-49.5770,0.9321
21505,283,-406.3990,0.9319
21572,284,-429.5290,0.9317
21627,285,-289.1360,0.9315
21697,286,-731.9190,0.9313
21791,287,-57.3600,0.9310
21865,288,-123.6490,0.9308
21925,289,-24.6310,0.9306
22023,290,121.5290,0.9303
22073,291,-263.4930,0.9301
22127,292,-77.2640,0.9299
22197,293,-48.6110,0.9297
22274,294,-94.8210,0.9295
22360,295,-42.8820,0.9292
22435,296,-329.6420,0.9290
22498,297,-117.0070,0.9288
22548,298,-482.2690,0.9286
22629,299,-42.4680,0.9283
22705,300,-235.2580,0.9281
22773,301,-167.9260,0.9279
22878,302,8.5370,0.9276
22944,303,-453.1240,0.9273
23006,304,-132.2590,0.9272
23071,305,-617.5370,0.9269
23159,306,-120.8820,0.9267
23232,307,111.8470,0.9264
23287,308,-214.5270,0.9263
23341,309,-393.4250,0.9261
23430,310,96.4720,0.9258
23505,311,-705.7030,0.9256
23577,312,-447.8640,0.9253
23661,313,18.8220,0.9251
23731,314,-163.2280,0.9249
23837,315,240.3360,0.9245
23906,316,-22.1220,0.9243
24006,317,-266.9430,0.9240
24090,318,-377.5370,0.9237
24171,319,-225.5140,0.9235
24246,320,-199.3100,0.9232
24307,321,-151.3740,0.9230
24372,322,-280.8270,0.9228
24440,323,-234.9060,0.9226
24498,324,-190.5080,0.9224
24562,325,-317.7390,0.9222
24650,326,75.5940,0.9219
24734,327,124.1360,0.9217
24808,328,36.4450,0.9214
24872,329,75.6120,0.9212
24938,330,-242.0480,0.9210
25016,331,-330.8300,0.9208
25111,332,-339.8420,0.9205
25168,333,-71.5890,0.9203
25221,334,-154.9210,0.9201
25296,335,-37.8420,0.9199
25379,336,-208.2310,0.9196
25455,337,-132.5770,0.9194
25516,338,-146.2610,0.9192
25605,339,-326.5490,0.9189
25681,340,56.0180,0.9187
25751,341,-476.4930,0.9185
25827,342,-197.9610,0.9182
25907,343,-41.2620,0.9180
25982,344,-469.0210,0.9177
26040,345,-286.2140,0.9175
26098,346,-107.0260,0.9174
26194,347,-56.1570,0.9171
26282,348,-88.8100,0.9168
26344,349,-228.1520,0.9166
26401,350,-104.3910,0.9164
26460,351,-104.7890,0.9162
26532,352,-618.5500,0.9160
26604,353,-217.4040,0.9158
26681,354,54.3380,0.9155
26770,355,163.5170,0.9152
26848,356,63.2980,0.9150
26915,357,-684.9160,0.9148
27000,358,1.7620,0.9145
27056,359,-124.5400,0.9143
27130,360,-372.4030,0.9141
27196,361,-14.0760,0.9139
27309,362,134.0410,0.9135
27377,363,-130.5660,0.9133
27448,364,-162.6600,0.9131
27517,365,-147.1350,0.9129
27603,366,-183.8890,0.9126
27692,367,-480.8520,0.9123
27752,368,-198.1750,0.9121
27821,369,167.4490,0.9119
27898,370,-1035.5620,0.9117
27955,371,-316.8590,0.9115
28033,372,-123.4990,0.9112
28119,373,0.3450,0.9110
28233,374,149.5030,0.9106
28304,375,-533.8970,0.9104
28404,376,159.8640,0.9101
28462,377,-427.1380,0.9099
28546,378,-140.2920,0.9096
28646,379,-55.5020,0.9093
28704,380,-292.2730,0.9091
28762,381,-264.1190,0.9089
28829,382,-335.3070,0.9087
28913,383,-70.2320,0.9084
28987,384,-84.0450,0.9082
29090,385,-236.2630,0.9079
29168,386,-316.3840,0.9076
29258,387,61.4710,0.9074
29358,388,171.9200,0.9070
29420,389,30.6600,0.9068
29483,390,-281.6920,0.9066
29585,391,-169.8360,0.9063
29638,392,-501.6680,0.9061
29723,393,-122.4000,0.9059
29812,394,-125.1630,0.9056
29881,395,-369.8210,0.9054
29965,396,-26.2550,0.9051
30023,397,-243.8890,0.9049
30074,398,-195.5060,0.9048
30137,399,-287.4000,0.9046
30190,400,-234.6660,0.9044
30257,401,-361.9540,0.9042
30322,402,-236.7720,0.9040
30384,403,-227.3690,0.9038
30475,404,-73.4050,0.9035
30542,405,-88.8990,0.9033
30598,406,-875.3100,0.9031
30658,407,-291.2760,0.9029
30729,408,-101.7830,0.9027
30824,409,-43.6410,0.9024
30875,410,-429.8370,0.9022
30936,411,-668.8040,0.9020
31008,412,-268.6260,0.9018
31075,413,-130.3300,0.9016
31148,414,59.6670,0.9014
31219,415,-171.3740,0.9011
31292,416,-182.6380,0.9009
31376,417,-149.5820,0.9006
31443,418,-245.9620,0.9004
31515,419,-92.4770,0.9002
31567,420,-214.2360,0.9000
31626,421,-393.3180,0.8999
31715,422,-129.0860,0.8996
31791,423,-90.9690,0.8993
31899,424,-237.3410,0.8990
31968,425,-530.9700,0.8988
32016,426,-214.4600,0.8986
32104,427,-353.6830,0.8983
32182,428,-138.3360,0.8981
32251,429,-408.5110,0.8979
32328,430,-218.0620,0.8976
32442,431,334.3460,0.8973
32508,432,-346.6670,0.8971
32567,433,-207.0800,0.8969
32621,434,-250.4220,0.8967
32706,435,-253.7700,0.8964
32787,436,-194.6930,0.8962
32883,437,-106.9490,0.8959
32948,438,-43.5860,0.8957
33034,439,-99.6780,0.8954
33103,440,-356.8610,0.8952
33153,441,-54.6900,0.8950
33200,442,-269.3980,0.8949
33271,443,-249.6190,0.8946
33339,444,-318.8040,0.8944
33410,445,-441.7240,0.8942
33474,446,-56.3830,0.8940
33531,447,-304.9460,0.8938
33589,448,-109.3080,0.8936
33637,449,-462.0060,0.8935
33694,450,-139.1320,0.8933
33750,451,-10.3600,0.8931
33804,452,-315.5120,0.8930
33882,453,-30.7120,0.8927
33963,454,-570.6180,0.8925
34039,455,-328.0690,0.8922
34108,456,-314.9100,0.8920
34192,457,-343.2400,0.8917
34249,458,-213.1850,0.8915
34310,459,-388.7140,0.8914
34383,460,-220.7370,0.8911
34452,461,-433.7240,0.8909
34522,462,-551.9470,0.8907
34627,463,-141.7350,0.8904
34692,464,-56.4710,0.8901
34769,465,39.6450,0.8899
34844,466,-483.3290,0.8897
34905,467,-505.1550,0.8895
35002,468,-183.9780,0.8892
35072,469,-68.8710,0.8889
35143,470,8.3140,0.8887
35221,471,-79.0850,0.8885
35290,472,-48.3850,0.8883
35360,473,-335.3040,0.8880
35424,474,-120.9210,0.8878
35513,475,69.5610,0.8875
35578,476,-75.9450,0.8873
35666,477,75.7730,0.8871
35736,478,-131.9350,0.8868
35802,479,-115.0000,0.8866
35868,480,-185.0740,0.8864
35945,481,-193.4300,0.8862
36028,482,-113.6420,0.8859
36132,483,-287.8760,0.8856
36197,484,-576.9000,0.8854
36263,485,-772.8190,0.8852
36340,486,27.9810,0.8849
36414,487,-52.0820,0.8847
36474,488,-336.7250,0.8845
36525,489,-175.1430,0.8843
36601,490,-14.9160,0.8841
36670,491,-79.1500,0.8839
36720,492,-316.9570,0.8837
36828,493,-133.9250,0.8834
36898,494,-55.6730,0.8832
36969,495,-44.0870,0.8829
37041,496,-142.3550,0.8827
37089,497,-220.2320,0.8826
37179,498,99.5890,0.8823
