episode,return,gae_lambda
0,-333.931,1.0
1,-56.36,1.0
2,-125.252,1.0
3,-367.304,1.0
4,-590.898,1.0
5,-208.519,1.0
6,-706.603,1.0
7,-396.98,1.0
8,-190.907,1.0
9,-56.412,1.0
10,-275.654,1.0
11,-283.07,1.0
12,-317.538,1.0
13,-15.537,1.0
14,-260.42,1.0
15,-122.889,1.0
16,-49.696,1.0
17,-206.141,1.0
18,-540.269,1.0
19,-234.504,1.0
20,-339.177,1.0
21,-630.567,1.0
22,-52.782,1.0
23,-77.761,1.0
24,-69.494,1.0
25,-351.36,1.0
26,-123.572,1.0
27,-334.712,1.0
28,-35.319,1.0
29,-157.881,1.0
30,-50.479,1.0
31,-46.348,1.0
32,-109.068,1.0
33,71.999,1.0
34,-85.42,1.0
35,-523.301,1.0
36,-60.988,1.0
37,-44.574,1.0
38,-301.834,1.0
39,-118.765,1.0
40,-317.319,1.0
41,54.605,1.0
42,-774.645,1.0
43,21.446,1.0
44,-93.719,1.0
45,-380.226,1.0
46,-228.25,1.0
47,87.611,1.0
48,-116.55,1.0
49,-146.945,1.0
50,-170.808,1.0
51,31.338,1.0
52,81.967,1.0
53,52.432,1.0
54,-170.728,1.0
55,-250.662,1.0
56,16.613,1.0
57,-120.659,1.0
58,-498.45,1.0
59,-288.284,1.0
60,-181.97,1.0
61,-406.348,1.0
62,-96.054,1.0
63,-97.111,1.0
64,-301.922,1.0
65,-507.681,1.0
66,-731.693,1.0
67,-246.792,1.0
68,-336.913,1.0
69,-188.865,1.0
70,-262.411,1.0
71,47.896,1.0
72,-320.403,1.0
73,-168.742,1.0
74,-211.453,1.0
75,-873.78,1.0
76,-56.76,1.0
77,-302.905,1.0
78,-154.311,1.0
79,-318.428,1.0
80,-163.309,1.0
81,-53.823,1.0
82,-137.905,1.0
83,-797.908,1.0
84,-43.026,1.0
85,-422.419,1.0
86,-300.642,1.0
87,-77.801,1.0
88,-338.593,1.0
89,-295.455,1.0
90,-48.79,1.0
91,196.92,1.0
92,-304.114,1.0
93,-557.313,1.0
94,-406.102,1.0
95,-220.943,1.0
96,-908.13,1.0
97,-340.701,1.0
98,-284.807,1.0
99,-342.961,1.0
100,-18.353,1.0
101,-214.235,1.0
102,-355.695,1.0
103,-140.137,1.0
104,-609.139,1.0
105,-269.707,1.0
106,-26.791,1.0
107,-723.371,1.0
108,-33.3,1.0
109,-97.477,1.0
110,-300.915,1.0
111,-108.748,1.0
112,-153.468,1.0
113,-10.139,1.0
114,-466.721,1.0
115,-329.528,1.0
116,-211.955,1.0
117,-222.63,1.0
118,-267.289,1.0
119,-77.981,1.0
120,84.31,1.0
121,-234.453,1.0
122,-194.846,1.0
123,-209.118,1.0
124,-386.821,1.0
125,-618.292,1.0
126,-177.022,1.0
127,-112.235,1.0
128,-48.287,1.0
129,-714.945,1.0
130,-275.341,1.0
131,-253.259,1.0
132,-225.348,1.0
133,-141.647,1.0
134,-641.392,1.0
135,-232.129,1.0
136,53.587,1.0
137,-98.408,1.0
138,-790.623,1.0
139,-362.439,1.0
140,-227.892,1.0
141,65.594,1.0
142,-59.643,1.0
143,-230.41,1.0
144,38.493,1.0
145,-65.753,1.0
146,-71.254,1.0
147,-160.999,1.0
148,-362.499,1.0
149,-159.017,1.0
150,-99.163,1.0
151,-429.982,1.0
152,119.254,1.0
153,-123.386,1.0
154,-179.731,1.0
155,-91.822,1.0
156,-205.728,1.0
157,-234.336,1.0
158,-319.555,1.0
159,-776.938,1.0
160,-536.048,1.0
161,-1340.635,1.0
162,-63.788,1.0
163,-78.206,1.0
164,58.657,1.0
165,-503.331,1.0
166,-130.601,1.0
167,81.331,1.0
168,-11.821,1.0
169,65.703,1.0
170,-150.251,1.0
171,-412.298,1.0
172,-392.395,1.0
173,-97.366,1.0
174,-247.19,1.0
175,-280.887,1.0
176,-190.885,1.0
177,-170.454,1.0
178,-161.091,1.0
179,-678.435,1.0
180,-226.566,1.0
181,-5.503,1.0
182,-203.479,1.0
183,1.423,1.0
184,-218.142,1.0
185,-80.883,1.0
186,68.953,1.0
187,-295.896,1.0
188,100.553,1.0
189,-88.85,1.0
190,-280.982,1.0
191,-145.864,1.0
192,-386.123,1.0
193,-347.58,1.0
194,-436.811,1.0
195,-821.745,1.0
196,-212.23,1.0
197,-291.301,1.0
198,-459.247,1.0
199,-17.472,1.0
200,-630.013,1.0
201,-313.666,1.0
202,-57.944,1.0
203,-540.884,1.0
204,-14.397,1.0
205,-554.961,1.0
206,21.459,1.0
207,-679.048,1.0
208,-166.072,1.0
209,-392.68,1.0
210,-109.013,1.0
211,-170.034,1.0
212,-243.918,1.0
213,143.378,1.0
214,-112.512,1.0
215,-93.457,1.0
216,-62.286,1.0
217,-57.364,1.0
218,9.321,1.0
219,-69.667,1.0
220,-543.755,1.0
221,-131.726,1.0
222,-360.738,1.0
223,-185.545,1.0
224,-211.722,1.0
225,-400.576,1.0
226,-352.684,1.0
227,-157.834,1.0
228,-175.835,1.0
229,-158.986,1.0
230,-75.126,1.0
231,-609.854,1.0
232,-141.306,1.0
233,-212.549,1.0
234,-426.563,1.0
235,-514.635,1.0
236,-342.218,1.0
237,-616.315,1.0
238,-376.907,1.0
239,-218.266,1.0
240,-464.585,1.0
241,-316.742,1.0
242,-998.16,1.0
243,-1141.942,1.0
244,-251.303,1.0
245,164.94,1.0
246,-131.16,1.0
247,122.87,1.0
248,-131.204,1.0
249,-138.81,1.0
250,-318.52,1.0
251,-373.35,1.0
252,-718.899,1.0
253,106.755,1.0
254,-502.852,1.0
255,-406.772,1.0
256,-302.491,1.0
257,25.559,1.0
258,-188.074,1.0
259,-127.657,1.0
260,-490.066,1.0
261,-81.642,1.0
262,-455.117,1.0
263,-137.09,1.0
264,-263.793,1.0
265,-188.367,1.0
266,-275.454,1.0
267,-100.642,1.0
268,-185.051,1.0
269,-260.191,1.0
