episode,return,gae_lambda
270,-263.123,1.0
271,-250.629,1.0
272,-289.785,1.0
273,-184.086,1.0
274,-90.515,1.0
275,-96.162,1.0
276,-402.991,1.0
277,-287.74,1.0
278,-290.779,1.0
279,-521.586,1.0
280,-1051.412,1.0
281,-687.202,1.0
282,-200.043,1.0
283,-174.304,1.0
284,-503.336,1.0
285,-176.892,1.0
286,-154.79,1.0
287,-464.802,1.0
288,-402.201,1.0
289,-52.256,1.0
290,-174.839,1.0
291,-170.423,1.0
292,-17.009,1.0
293,-194.328,1.0
294,-12.371,1.0
295,-269.542,1.0
296,40.728,1.0
297,-430.852,1.0
298,-103.547,1.0
299,-282.688,1.0
