episode,return,shaped_return,loss
178,-560.673,3354.327,2061793.75
179,-144.152,4050.848,1999376.375
180,-1152.278,5102.722,3946892.5
181,-34.613,2200.387,743590.4375
182,-185.942,2604.058,1059761.5
183,-406.157,3978.843,2042641.625
184,-299.193,5250.807,2902464.0
185,-423.985,3891.015,2191972.5
186,320.163,3995.163,1617897.75
187,-112.176,3782.824,1770480.625
188,-778.215,4666.785,3010137.25
189,-187.363,3407.637,1541449.0
190,-195.203,3034.797,1275317.25
191,-575.528,3384.472,2020275.375
192,-315.87,2709.13,1188085.25
193,-240.921,3124.079,1463206.625
194,-405.958,4399.042,2600949.5
195,-716.271,5043.729,3442083.25
196,-244.356,3710.644,1914306.5
197,-69.328,2140.672,799401.125
198,53.042,2718.042,1021941.375
199,17.601,2797.601,1115041.875
200,-144.048,1975.952,746979.3125
201,-409.596,4185.404,2428719.0
202,-172.949,4427.051,2247004.25
203,-572.689,4622.311,2839570.25
204,-591.101,4008.899,2540391.5
205,-365.296,3739.704,1984284.0
206,18.775,4098.775,1921702.75
207,-1471.202,6548.798,6215237.0
208,-123.476,2241.524,875437.9375
209,-133.193,3481.807,1652978.875
210,-264.202,2570.798,1089126.625
211,105.636,2930.636,976602.6875
212,-97.916,2662.084,1038618.5
213,-484.789,4575.211,2846664.75
214,-696.533,4953.467,3206617.0
215,-8.145,4201.855,2088880.5
216,-125.171,3329.829,1523196.125
217,-754.869,5315.131,3423974.75
218,-735.451,4734.549,3213332.0
219,-318.064,3126.936,1469206.125
220,-468.751,3321.249,1727990.125
221,-196.549,3663.451,1893816.75
222,-437.834,3262.166,1702375.75
223,-281.636,3123.364,1466117.25
224,-722.921,4922.079,3215335.5
225,-733.096,4756.904,3433097.25
226,-424.926,3965.074,2139634.25
227,-610.896,4204.104,2724044.0
228,-17.984,2527.016,943137.5
229,-409.267,2810.733,1344572.75
230,-318.47,3231.53,1664781.875
231,-32.304,2662.696,877827.9375
232,-496.365,3843.635,2182709.5
233,-1061.203,4683.797,3908879.0
234,-107.414,2287.586,744909.8125
235,-329.424,3800.576,2130929.5
236,-1015.887,5074.113,3617387.5
237,-264.344,3660.656,1878935.875
238,-1161.563,4728.437,3893898.75
239,-520.825,3919.175,2159572.5
240,-722.542,4147.458,2691767.5
241,-320.71,3189.29,1587522.25
242,-612.9,5007.1,3470654.0
243,-824.503,5315.497,4056470.5
244,-1070.162,6079.838,4463338.0
245,-399.357,5335.643,3105192.5
246,-933.09,5571.91,4297045.0
247,-153.756,3256.244,1326860.25
248,-948.204,5296.796,4023952.5
249,-321.142,3678.858,1993841.125
250,-1391.984,5888.016,5403102.0
251,-752.39,5947.61,4371574.5
252,-974.782,5225.218,4481348.5
253,-130.791,4334.209,2107555.25
254,-161.932,2843.068,1276995.875
255,-606.854,5023.146,3127238.0
256,-820.742,5149.258,3772375.0
257,65.203,6075.203,3120903.5
258,-438.029,4246.971,2374144.0
259,-750.176,6134.824,4264547.0
260,-662.428,3607.572,2180649.75
261,-630.593,4364.407,2891419.5
262,-1158.238,5071.762,4333731.5
263,-454.546,4865.454,3189951.0
264,-619.341,3125.659,1872059.875
265,-5.143,3019.857,1203935.375
266,-619.84,5935.16,4145755.75
267,-729.589,5385.411,3126674.0
268,-431.408,3278.592,1823031.5
269,-1075.374,6064.626,4815391.5
270,-761.729,5133.271,3743135.0
271,-962.498,5632.502,4248429.0
272,-957.141,5632.859,4260181.0
273,-361.374,6288.626,4257284.5
274,-858.011,5946.989,4249564.0
275,-299.025,3635.975,1827897.875
276,-1095.758,5389.242,4332435.5
277,-746.593,5983.407,4450739.5
278,-1115.602,5539.398,4607360.5
279,41.741,2826.741,1107062.5
280,-689.783,5045.217,3488470.25
281,-280.467,4069.533,2095617.0
282,-237.727,3977.273,2115777.5
283,-921.058,3973.942,2606540.75
284,-1190.847,6184.153,5445786.5
285,-308.604,3396.396,1749990.625
286,-469.26,3950.74,2236102.75
287,-1081.335,5738.665,4359894.0
288,-498.827,2781.173,1465190.75
289,224.101,3739.101,1559997.75
290,-1175.077,5764.923,4837450.5
291,-447.18,4227.82,2226253.25
292,-328.365,5206.635,3096417.5
293,-115.837,2964.163,1268673.375
294,-313.335,4441.665,2256439.5
295,-483.02,3876.98,2211074.0
296,-391.614,5973.386,3782122.5
297,-59.096,4275.904,2085595.375
298,-1105.662,5704.338,4768877.0
299,-1004.607,5450.393,3884741.25
300,-601.087,4548.913,2701068.5
301,-817.035,6007.965,4190106.0
302,-1056.685,5663.315,4291464.0
303,-545.629,5944.371,4001087.25
304,-291.572,3553.428,1614679.25
305,-675.989,3889.011,2503129.0
306,-262.312,5812.688,3402483.0
307,-631.31,5683.69,3547057.5
308,-1279.996,5255.004,4295021.0
309,123.565,6313.565,3586183.25
310,-44.993,3155.007,1321796.125
311,-719.807,5375.193,3392861.75
312,-429.881,6035.119,3691892.5
313,-950.536,5944.464,4340519.5
314,-1590.749,6159.251,6045347.5
315,-966.743,6193.257,4692803.5
316,-947.28,5432.72,4028996.25
317,-1074.445,5195.555,3770040.25
318,-1052.842,4847.158,3567923.5
319,-865.947,5509.053,3980803.0
320,-42.462,3022.538,1285398.5
321,-355.278,3904.722,2089589.5
322,-892.097,5857.903,4235973.5
