episode,return,loss
0,-18.194,11731.6172
1,-115.854,35431.2617
2,-155.182,33272.7461
3,-241.492,39386.8047
4,-327.249,46461.5859
5,-360.7,57639.1406
6,-531.571,113588.8047
7,-682.299,163889.625
8,-1006.658,273377.8438
9,-82.047,29987.8164
10,-168.886,28083.9922
11,-1221.507,411289.625
12,-747.723,169000.2812
13,-367.064,56787.6875
14,-733.931,168584.9688
15,-383.951,61250.168
16,-1051.862,247940.7344
17,-928.803,201705.5469
18,-247.608,30114.5547
19,-982.3,212474.7656
20,-1138.572,270964.375
21,-769.236,153446.3906
22,-792.652,124620.8125
23,-778.595,129445.1562
24,-1261.73,333060.7188
25,-1388.43,381562.0
26,-1344.33,374147.8438
27,-1391.263,253741.8594
28,-788.991,150532.0781
29,-1002.631,160873.6406
30,-964.356,156792.7188
31,-1265.177,277208.5938
32,-733.019,89211.9141
33,-1246.584,320595.6562
34,-947.969,145238.875
35,-1301.491,217427.5469
36,-973.104,185640.2812
37,-1153.037,244231.4844
38,-814.499,94088.1641
39,-884.454,201349.2969
40,-676.029,119098.6172
41,-510.861,49832.3711
42,-79.009,5706.0415
43,-69.186,4871.1821
44,-93.99,5201.5825
45,-54.842,4256.627
46,-100.809,16017.8389
47,-56.791,8335.3711
48,-123.586,5823.1162
49,-197.152,10833.2275
50,-186.529,14844.5342
51,-83.785,5559.7129
52,-621.672,62058.5742
53,-1137.322,216196.375
54,-1331.206,273147.3125
55,-746.563,82992.6875
56,-1388.789,274721.0
57,-1256.306,261418.8594
58,-1333.64,263059.875
59,-1343.349,302708.9688
60,-1444.231,328779.1562
61,-1287.189,232929.8906
62,-1553.476,420763.7812
63,-1253.398,239226.625
64,-1288.328,199126.875
65,-1742.585,443311.8438
66,-1295.128,236528.0156
67,-1350.207,227102.0
68,-1373.664,206501.3125
69,-1221.808,195473.1719
70,-1419.389,237480.8906
71,-1300.061,228117.3125
72,-1368.973,256896.2344
73,-1244.564,145456.9688
74,-1254.715,172890.0781
75,-1207.834,149432.625
76,-1478.452,276214.0625
77,-1433.791,186785.6406
78,-1646.959,278868.6875
79,-1273.952,155414.0781
80,-1252.473,126419.2891
81,-1422.152,262694.1875
82,-1069.087,114366.6406
83,-1625.58,236121.75
84,-1871.636,363254.875
85,-1153.53,125315.4297
86,-1201.044,142676.4844
87,-1372.128,164326.0156
88,-1484.368,234165.5625
89,-1612.754,226644.4688
90,-1028.546,97396.4922
91,-1498.669,224166.5781
92,-1073.654,88759.4297
93,-1680.246,243105.0938
94,-1212.032,85916.3672
95,-1583.149,231806.2031
96,-1586.375,212604.0312
97,-1383.008,156069.375
98,-1504.243,190651.4219
99,-1647.332,162276.0781
100,-1339.989,123374.75
101,-1313.773,120558.6328
102,-1464.209,191102.7812
103,-1308.506,140504.0
104,-1260.5,120495.5391
105,-1557.972,206140.2344
106,-1654.862,203944.5312
107,-1238.477,86216.6016
108,-1291.747,90110.7734
109,-1253.304,85877.7344
110,-986.912,47524.5508
111,-1434.943,157067.2031
112,-1263.846,56661.7969
113,-1310.793,93821.8359
114,-1386.283,150075.5
115,-1127.19,92496.3828
116,-1220.839,71566.2188
117,-1572.979,137223.2656
118,-1250.172,89436.6953
119,-1124.362,51445.0625
120,-1615.118,102393.6484
121,-1087.817,60356.0898
122,-1142.401,50967.2578
123,-1483.158,70850.4688
124,-1498.06,119845.7578
125,-1547.107,89377.4375
126,-1290.919,74636.9609
127,-1450.874,75836.1406
128,-1637.797,142946.9375
129,-1332.43,61455.2344
130,-908.188,40801.6914
131,-1560.295,102776.4219
132,-1477.019,65716.5
133,-1571.395,80904.6406
134,-1207.253,61205.7344
135,-1179.026,48377.168
136,-1208.555,32340.4883
137,-1461.286,51866.707
138,-1262.9,35064.1094
139,-1519.425,66207.5312
140,-1316.635,36757.3828
141,-1623.635,91203.2031
142,-1265.636,55372.4219
143,-1558.744,58891.5156
144,-1314.797,47094.9141
145,-1402.084,62523.5938
146,-1490.937,62921.2383
147,-1320.774,41882.5273
148,-1352.445,57965.8828
149,-1305.292,85576.2812
150,-1606.468,80057.8906
151,-1307.344,82629.6328
152,-1425.025,31697.1367
153,-1207.161,41445.1211
154,-1372.649,46891.3398
155,-1065.837,36026.3164
156,-1613.682,61135.8984
157,-1286.871,61666.3359
158,-1447.788,28068.0566
159,-1581.744,63055.7227
160,-1858.278,103643.3281
161,-1698.08,117450.1797
162,-1289.772,237071.5469
163,-1555.504,144461.1875
164,-1585.275,116929.1719
165,-1723.733,105352.5156
166,-1760.865,119341.2578
167,-1426.866,148910.9844
168,-1847.241,132325.5156
169,-1477.633,156739.625
170,-1512.205,115417.9453
171,-2049.223,93090.7891
172,-1839.495,82566.8828
173,-1650.088,116343.4062
174,-1653.84,95028.4453
175,-1641.67,75101.2891
176,-1762.726,91590.5156
177,-1672.795,73187.7031
178,-1700.424,66451.8672
179,-1703.422,68535.5781
180,-1785.647,42134.6328
181,-1875.722,41785.6641
182,-1698.605,43019.9844
183,-1548.784,54668.8906
184,-1642.89,46270.7539
185,-1878.755,39248.4766
186,-1784.994,21311.3613
187,-1705.068,33517.6094
188,-1629.017,25663.2539
189,-1901.972,18875.209
190,-1679.314,16730.5723
191,-1918.177,16220.6064
192,-1886.043,15622.2695
193,-1542.759,27477.3945
194,-1510.636,21097.3027
195,-1667.16,15771.9785
196,-1842.503,15127.6709
197,-1776.979,13560.9307
198,-1907.671,17015.2871
199,-1843.165,11334.0029
200,-1719.385,14863.4385
201,-1418.702,13887.21
202,-1474.238,11398.4766
203,-1954.733,15790.0332
204,-1546.142,14622.7236
205,-1621.403,10218.4199
206,-2275.846,26835.248
207,-1596.979,7822.4854
208,-1902.397,11972.792
209,-2156.301,13596.4951
210,-1671.36,10000.4824
211,-1902.817,26006.9746
212,-1888.182,12977.5195
213,-1701.285,9899.0059
214,-1644.592,7568.3643
215,-1792.704,5673.5483
216,-1613.149,9862.0312
217,-1393.425,8784.3447
218,-1694.749,11291.3496
219,-1765.252,4412.5474
220,-1866.396,6532.3701
221,-2101.765,4914.6348
222,-1789.146,5105.2798
223,-1788.621,9414.9883
224,-1638.151,6124.4067
225,-1579.753,7824.373
226,-1640.103,6183.5435
227,-1829.026,7266.2852
228,-2142.606,7065.646
229,-1936.034,4800.0454
230,-2024.544,7807.1177
231,-1907.684,5381.583
232,-2151.298,6983.1846
233,-1982.436,5979.9375
234,-1607.659,5580.689
235,-1698.477,5157.7563
236,-1721.88,4413.0015
237,-2037.24,6537.2637
238,-1581.29,6091.29
239,-2068.914,5678.3872
240,-1886.706,4972.5083
241,-1593.676,5766.5166
242,-2084.924,5654.0664
243,-1977.068,8415.9414
244,-1707.328,6882.6992
245,-1827.842,8505.7461
246,-1723.747,7989.7471
247,-1922.341,7470.8521
248,-2006.748,9813.7939
249,-2017.991,9844.2305
250,-1796.802,7246.4595
251,-1822.987,8987.916
252,-1367.477,6147.2847
253,-1798.23,6963.9658
254,-1737.962,6566.5166
255,-2021.989,7904.2949
256,-1566.499,5408.396
257,-1907.524,7461.9775
258,-1827.067,7363.3198
259,-1638.095,8695.8574
260,-2027.806,6647.7056
261,-1695.439,6343.8794
262,-1801.698,8312.1377
263,-1922.989,9302.0508
264,-1587.129,6471.0737
265,-1743.176,6925.2349
266,-1586.778,8268.0049
267,-2106.5,7811.043
268,-1881.489,11206.7891
269,-1711.834,5686.5044
270,-1766.786,6003.4155
271,-1826.645,7485.7246
272,-1622.404,6327.0068
273,-1686.408,5048.4131
274,-1696.784,7003.7607
275,-1776.39,7462.1279
276,-1782.904,7257.7524
277,-1868.24,7323.2031
278,-1614.071,6717.5986
279,-1721.536,6373.8408
280,-1857.395,8291.5586
281,-1813.57,7184.603
282,-1737.214,7174.5454
283,-2033.966,8266.4316
284,-1991.984,8514.4619
285,-1712.427,6318.2988
286,-1848.17,6882.7666
287,-2132.941,9861.0693
288,-1646.865,5906.2354
289,-1915.073,6577.2515
290,-1506.442,10097.7422
291,-1881.499,6846.7861
292,-1697.974,7510.668
293,-1806.475,7814.7451
294,-1678.075,6012.4951
295,-1611.506,6516.4341
296,-1881.505,6830.5288
297,-1802.343,7834.0488
298,-1696.871,4734.8628
299,-1692.166,5179.9497
300,-1791.498,7876.2866
301,-1819.73,7197.6304
302,-1641.307,6002.3706
303,-1663.613,4653.0024
304,-1746.51,5793.4673
305,-1422.716,5334.0723
306,-1616.975,4598.5518
307,-1836.486,7770.1011
308,-1782.804,6467.1069
309,-1638.319,5579.4897
310,-1607.554,5487.1748
311,-1616.653,6291.9365
312,-1926.493,8455.5244
313,-2293.097,15619.2451
314,-1917.191,6829.8638
315,-1671.498,7016.2354
316,-1691.951,7761.228
317,-1757.885,6373.1904
318,-1751.536,6294.896
319,-1897.267,6003.9102
320,-1926.454,6734.4941
321,-1761.517,5430.1191
322,-1932.264,6080.4102
323,-1721.527,7191.2295
324,-1656.467,6880.6543
325,-1931.602,7517.0762
326,-1782.691,7937.8457
327,-1457.305,4570.3765
328,-1833.427,4782.1865
329,-1622.355,6290.0352
330,-1631.563,5055.3066
331,-1581.458,7857.4702
332,-1855.265,7395.8252
333,-1812.187,6430.5728
334,-1931.879,5828.2632
335,-1392.05,5113.4287
336,-2031.452,7650.686
337,-1626.47,6033.8145
338,-1616.64,7369.0713
339,-1428.309,6507.8105
340,-1776.515,4854.4248
341,-2021.644,7582.8223
342,-1362.181,4242.4814
343,-1772.986,6757.1606
344,-1706.875,5599.6016
345,-1782.158,5664.5767
346,-1842.563,7799.7368
347,-1806.481,6343.6904
348,-1717.453,5914.2676
349,-1806.438,7176.7549
350,-1532.192,4942.4375
351,-1801.875,5705.7026
352,-1826.605,7543.4146
353,-1751.602,5368.4331
354,-1768.235,6286.6821
355,-1686.495,5133.7461
356,-1663.295,7542.8364
357,-1997.446,8852.7734
358,-1713.894,4403.9751
359,-1656.502,4806.0068
360,-1791.374,5975.3081
361,-1878.994,7951.1968
362,-1907.245,9952.6006
363,-1952.0,8328.8672
364,-1811.744,4268.2607
365,-1887.596,6773.1201
366,-1992.204,7660.6626
367,-1956.449,7529.8677
368,-1811.976,7001.4771
369,-1731.471,4749.1172
370,-1798.306,5860.9863
371,-1923.802,7209.8701
372,-1701.515,5434.7705
373,-1661.8,6238.6729
374,-1691.708,6070.1143
375,-1866.456,8341.834
376,-1707.408,7501.4312
377,-1572.668,4380.5713
378,-1749.083,6073.7046
379,-1870.8,5891.2104
380,-1896.508,8861.751
381,-1746.473,5912.2085
382,-1986.434,6979.1738
383,-1698.61,7025.7236
384,-1671.496,6419.8589
385,-2031.492,7316.7969
386,-1683.305,4584.126
387,-2193.125,8878.9062
388,-1581.433,5282.2959
389,-1827.879,6392.1743
390,-1612.901,4498.7793
391,-1401.586,5700.7734
392,-1911.46,5795.9756
393,-1727.545,7989.1904
394,-1581.508,5834.5674
395,-1586.63,5439.7607
396,-1617.481,5756.1748
397,-1881.5,10637.1055
398,-1641.461,5044.8857
399,-1686.485,8241.083
400,-2106.476,11835.3115
401,-1706.625,6792.3169
402,-1597.596,5379.3184
403,-1978.0,11677.3838
404,-1581.502,6696.8428
405,-1386.517,5684.1279
406,-1851.499,8276.5029
407,-2046.499,8529.9619
408,-1781.993,6517.8105
409,-1616.798,6952.2729
410,-1587.336,5158.1133
411,-1652.783,5933.6328
412,-1686.489,5832.791
413,-1962.261,6886.1558
414,-1802.743,5954.0649
415,-1884.586,8378.6211
416,-1611.408,8430.958
417,-1572.788,7701.0879
418,-1887.348,8893.498
419,-2007.055,6841.8696
420,-1647.671,6135.6162
421,-1918.019,8717.2188
422,-1806.502,4577.6284
423,-1927.592,6279.3315
424,-1999.149,10958.9863
425,-1416.511,8455.4854
426,-1506.464,7498.5508
427,-1802.478,6066.3926
428,-2171.608,10975.7041
429,-1821.469,3907.0962
430,-1866.48,8605.1953
431,-1557.608,8220.6152
432,-1662.389,6582.4517
433,-1956.467,8737.9365
434,-1617.167,3986.1006
435,-1391.547,5440.2666
436,-1952.383,4830.6309
437,-1752.108,5639.3115
438,-1377.791,5051.6562
439,-1791.473,8258.4131
440,-1811.895,3860.6465
441,-1551.467,5943.771
442,-1783.261,5092.0996
443,-1773.988,5769.6909
444,-1781.677,7458.3315
445,-1671.485,7337.2002
