episode,return,loss
0,348.804,21416.166
1,93.346,28366.7832
2,-273.768,106025.0625
3,275.087,11275.0479
4,-524.844,122237.5938
5,-67.216,21422.916
6,91.627,8332.8066
7,232.49,12893.8467
8,298.861,4450.4863
9,266.926,22088.873
10,-573.517,160137.9062
11,-402.433,97330.6641
12,-41.77,35790.0195
13,1172.531,86397.7266
14,-457.729,108051.7969
15,219.02,10088.2393
16,-64.985,31065.8203
17,-297.59,97010.5234
18,5.59,35727.7969
19,414.527,9746.6807
20,-105.407,83087.8359
21,365.173,12773.7021
22,21.481,19380.875
23,92.058,12878.9512
24,-467.897,114472.0625
25,-685.978,170155.7031
26,-39.541,16791.6465
27,-346.074,54118.8477
28,-1243.509,385402.9688
29,370.53,23497.3027
30,611.355,31935.1152
31,-201.198,40831.6484
32,-155.452,69468.5234
33,-159.171,52323.8359
34,-503.8,104487.0859
35,-676.023,223090.1875
36,-367.629,70872.6719
37,359.531,24017.9902
38,206.264,17988.7344
39,136.947,19436.5879
40,362.268,10664.8447
41,-682.915,196016.8906
42,-625.913,124339.5625
43,866.559,43978.0234
44,-511.564,125391.5391
45,476.467,10401.1641
46,-887.386,257506.8281
47,476.1,35886.0195
48,401.626,13115.1357
49,110.334,23141.1836
50,-597.935,105958.6016
51,588.936,20824.7402
52,-775.389,230480.2656
53,-30.897,25084.6367
54,-583.246,115855.0781
55,60.48,28273.4043
56,303.507,15624.3154
57,17.806,19126.4199
58,59.853,22069.4043
59,874.663,42178.3242
60,-71.867,13841.8535
61,-197.433,54696.1289
62,645.412,34014.5156
63,-1040.612,336735.5938
64,204.09,24120.7871
65,418.709,9793.8711
66,-368.236,77257.6953
67,30.191,21248.8574
68,-594.5,122708.9297
69,-270.023,56233.5742
70,176.988,14648.7998
71,244.314,27478.582
72,65.545,20754.9609
73,1149.18,74240.1328
74,486.618,20938.8008
75,-271.245,47696.2031
76,-331.199,60892.6055
77,-375.806,49504.9141
78,-279.463,74290.5312
79,-238.605,51680.9531
80,572.719,18243.1523
81,-779.146,221250.3594
82,414.949,12094.583
83,-365.222,52656.6758
84,-143.689,64473.9023
85,-15.447,44247.918
86,-748.484,155840.8906
87,136.972,15788.9268
88,-97.151,46512.9766
89,23.853,32300.3828
90,-235.078,68501.2891
91,-193.496,69435.9219
92,-254.001,39021.4688
93,1013.985,64608.5859
94,-407.944,40870.0039
95,-541.206,77020.2656
96,-292.235,55837.0664
97,-607.882,149929.3125
98,692.223,22583.9707
99,-58.2,27465.7676
100,-692.582,121341.4453
101,-339.199,56780.9414
102,-25.4,22303.125
103,350.83,9101.583
104,257.659,17583.7871
105,69.075,13803.8105
106,-798.991,202349.0312
107,-1119.688,292802.9688
108,-28.843,13465.2725
109,-214.81,98874.9219
110,387.513,14359.0195
111,233.532,15515.9766
112,-320.321,57926.543
113,91.937,11716.4004
114,-25.774,22104.3633
115,-390.563,74209.8594
116,-79.639,12568.6953
117,258.997,21976.3984
118,-217.287,64197.418
119,238.425,17715.2637
120,474.004,26546.3984
121,-375.794,40764.6641
122,1062.733,66238.9609
123,-814.823,174257.3125
124,85.966,8287.8037
125,-285.096,52407.9961
126,145.701,14408.3047
127,212.661,5281.7417
128,508.796,20951.1895
129,-281.995,61495.1562
130,-478.081,55623.9727
131,80.936,13835.7158
132,-589.091,100714.875
133,-248.965,39792.8984
134,-398.989,54991.6875
135,-202.625,30798.5352
136,-157.484,40852.0
137,-412.846,110849.375
138,133.433,34590.0703
139,-178.427,24467.3047
140,-347.353,54805.5
141,-266.286,56256.2148
142,-581.149,110034.9844
143,-35.53,23897.0586
144,-209.103,42705.9141
145,-543.224,123794.4297
146,-485.632,76861.1328
147,-849.629,155532.7031
148,-230.466,38440.1445
149,-773.759,182755.3281
150,18.721,29660.0195
151,-716.522,161657.7812
152,-117.053,40283.3008
153,247.785,8259.0596
154,-822.913,153653.75
155,128.943,14235.7178
156,-218.564,37034.8125
157,-314.595,29504.4277
158,-473.098,117945.7344
159,336.092,24834.8438
160,-755.402,124256.9766
161,-729.952,163733.5625
162,145.899,27928.8281
163,134.239,5906.3174
164,581.304,28148.5508
165,-49.311,11947.0371
166,-452.758,55846.9453
167,-302.96,76655.4453
168,148.366,6462.6846
169,176.346,27371.5156
170,608.518,25766.4082
171,-58.858,19662.2676
172,-509.048,70753.6562
173,-232.988,32587.4102
174,-170.153,29288.4043
175,-333.849,55803.8281
176,-97.488,14706.3545
177,194.98,32689.2793
178,-18.062,22290.3613
