episode,return,gae_lambda
249,-386.103,0.5
250,-505.41,0.5
251,-54.337,0.5
252,17.989,0.5
253,-240.349,0.5
254,-103.79,0.5
255,-488.305,0.5
256,-214.646,0.5
257,-57.527,0.5
258,-247.139,0.5
259,-184.128,0.5
260,-206.784,0.5
261,-115.325,0.5
262,-475.372,0.5
263,-142.126,0.5
264,-517.781,0.5
265,39.488,0.5
266,-421.473,0.5
267,-24.321,0.5
268,97.951,0.5
269,-146.908,0.5
270,-102.02,0.5
271,-176.764,0.5
272,-96.176,0.5
273,37.889,0.5
274,-17.264,0.5
275,-504.793,0.5
276,-521.312,0.5
277,-261.069,0.5
278,-663.972,0.5
279,-221.993,0.5
280,-341.095,0.5
281,-496.561,0.5
282,-478.09,0.5
283,-194.781,0.5
284,-470.518,0.5
285,-225.112,0.5
286,-356.553,0.5
287,-887.326,0.5
288,-322.888,0.5
289,-556.722,0.5
290,-440.677,0.5
291,-744.54,0.5
292,-40.443,0.5
293,-219.735,0.5
294,-533.62,0.5
295,-353.953,0.5
296,-411.194,0.5
297,-431.637,0.5
298,-238.325,0.5
299,-215.245,0.5
