episode,return,gae_lambda
0,-157.863,0.5
1,114.103,0.5
2,-409.643,0.5
3,-306.143,0.5
4,-211.985,0.5
5,-102.063,0.5
6,-130.864,0.5
7,-558.38,0.5
8,-270.84,0.5
9,-41.668,0.5
10,116.533,0.5
11,-82.263,0.5
12,-256.9,0.5
13,-579.799,0.5
14,-87.976,0.5
15,-65.797,0.5
16,22.557,0.5
17,156.288,0.5
18,-297.784,0.5
19,-420.884,0.5
20,34.006,0.5
21,-724.277,0.5
22,-410.34,0.5
23,-427.102,0.5
24,89.813,0.5
25,-347.995,0.5
26,-587.178,0.5
27,-425.458,0.5
28,-1314.842,0.5
29,99.595,0.5
30,-26.296,0.5
31,-209.606,0.5
32,121.106,0.5
33,-118.55,0.5
34,-343.151,0.5
35,-181.75,0.5
36,17.8,0.5
37,-48.548,0.5
38,-114.333,0.5
39,-237.274,0.5
40,-296.208,0.5
41,104.277,0.5
42,-163.321,0.5
43,-179.69,0.5
44,-29.913,0.5
45,-107.477,0.5
46,-343.446,0.5
47,-139.592,0.5
48,-88.328,0.5
49,-186.943,0.5
50,-233.521,0.5
51,-390.284,0.5
52,-128.595,0.5
53,94.857,0.5
54,-54.672,0.5
55,-136.742,0.5
56,9.164,0.5
57,-113.604,0.5
58,-337.562,0.5
59,-311.691,0.5
60,-474.94,0.5
61,-196.775,0.5
62,-170.226,0.5
63,-267.799,0.5
64,-125.356,0.5
65,-85.172,0.5
66,-112.779,0.5
67,-144.024,0.5
68,-430.985,0.5
69,-142.27,0.5
70,-368.594,0.5
71,-181.424,0.5
72,-76.876,0.5
73,-182.699,0.5
74,143.205,0.5
75,-150.3,0.5
76,-294.504,0.5
77,-659.685,0.5
78,-216.799,0.5
79,-745.484,0.5
80,56.371,0.5
81,-320.874,0.5
82,-255.794,0.5
83,-289.565,0.5
84,-153.151,0.5
85,-265.71,0.5
86,-422.779,0.5
87,-234.527,0.5
88,-273.184,0.5
89,-585.031,0.5
90,-366.966,0.5
91,-279.543,0.5
92,-98.114,0.5
93,-159.476,0.5
94,-774.911,0.5
95,-170.959,0.5
96,-331.139,0.5
97,-442.914,0.5
98,-121.9,0.5
99,-212.451,0.5
100,-274.995,0.5
101,-43.193,0.5
102,-85.961,0.5
103,-136.332,0.5
104,-142.312,0.5
105,-135.482,0.5
106,-175.691,0.5
107,-740.088,0.5
108,-63.37,0.5
109,0.871,0.5
110,-266.385,0.5
111,-26.679,0.5
112,-170.173,0.5
113,-224.211,0.5
114,-324.55,0.5
115,192.187,0.5
116,86.152,0.5
117,-13.353,0.5
118,-328.357,0.5
119,-436.708,0.5
120,160.224,0.5
121,-1086.431,0.5
122,-185.917,0.5
123,-666.21,0.5
124,-143.298,0.5
125,-237.147,0.5
126,-681.585,0.5
127,-262.39,0.5
128,-582.065,0.5
129,-386.597,0.5
130,-282.006,0.5
131,-151.331,0.5
132,-158.562,0.5
133,-334.069,0.5
134,-334.456,0.5
135,-438.929,0.5
136,133.933,0.5
137,-304.46,0.5
138,-317.973,0.5
139,-362.932,0.5
140,-156.347,0.5
141,-78.884,0.5
142,-325.733,0.5
143,-74.508,0.5
144,-129.291,0.5
145,-41.624,0.5
146,-433.176,0.5
147,-21.746,0.5
148,-287.126,0.5
149,-551.471,0.5
150,-111.242,0.5
151,-827.954,0.5
152,132.018,0.5
153,-329.021,0.5
154,-313.685,0.5
155,-229.136,0.5
156,-261.806,0.5
157,-660.685,0.5
158,-391.465,0.5
159,-483.342,0.5
160,-129.261,0.5
161,-372.473,0.5
162,-337.8,0.5
163,-28.029,0.5
164,-230.431,0.5
165,-295.287,0.5
166,-343.228,0.5
167,-164.021,0.5
168,-28.653,0.5
169,-89.057,0.5
170,-312.66,0.5
171,-499.067,0.5
172,-279.124,0.5
173,-129.91,0.5
174,-23.707,0.5
175,-716.29,0.5
176,-183.704,0.5
177,-157.496,0.5
178,-308.55,0.5
179,-274.988,0.5
180,-286.726,0.5
181,-156.944,0.5
182,-254.453,0.5
183,-176.083,0.5
184,-50.774,0.5
185,2.749,0.5
186,146.237,0.5
187,-33.474,0.5
188,-177.709,0.5
189,-83.771,0.5
190,-64.274,0.5
191,-381.167,0.5
192,-210.143,0.5
193,14.944,0.5
194,128.661,0.5
195,-51.119,0.5
196,-44.38,0.5
197,-123.313,0.5
198,-22.801,0.5
199,-386.04,0.5
200,-124.076,0.5
201,-555.38,0.5
202,-604.829,0.5
203,-269.943,0.5
204,-41.032,0.5
205,-71.567,0.5
206,-355.654,0.5
207,-444.066,0.5
208,7.334,0.5
209,-222.6,0.5
210,-334.486,0.5
211,-286.827,0.5
212,-184.278,0.5
213,-213.339,0.5
214,-280.626,0.5
215,-123.657,0.5
216,-565.951,0.5
217,-76.616,0.5
218,96.733,0.5
219,-54.065,0.5
220,-259.93,0.5
221,-147.185,0.5
222,-567.283,0.5
223,-729.267,0.5
224,-94.567,0.5
225,-583.033,0.5
226,-294.199,0.5
227,-258.212,0.5
228,-655.065,0.5
229,-302.085,0.5
230,-213.471,0.5
231,-421.238,0.5
232,-97.457,0.5
233,-78.759,0.5
234,-99.603,0.5
235,-513.468,0.5
236,-125.058,0.5
237,-341.15,0.5
238,-320.646,0.5
239,-376.847,0.5
240,-414.302,0.5
241,-522.14,0.5
242,-614.595,0.5
243,-41.307,0.5
244,-129.454,0.5
245,-190.731,0.5
246,-589.224,0.5
247,-209.899,0.5
248,-268.142,0.5
